b16,b32,b64,b128,b256,b512,b1024,b2048,b4096,b8192,b16384,b32768,b65536,b131072,b262144,b524288,b1048576
71773,62073,83017,69968,68141,65605,67794,73191,95157,100876,142674,195863,342175,605961,1158443,2211345,4455161
36623,38021,41744,43923,43810,46169,42750,48669,56164,60986,93022,152647,253545,418459,766320,1563350,2926079
32417,33082,37495,37250,35920,36349,32568,38671,56820,65100,84898,150677,253160,417272,758395,1545448,4164968
30398,48839,35939,34363,31814,31490,28650,33790,42571,54755,85845,154691,254670,405721,761181,1568862,3105696
30772,32142,32947,33988,45259,31094,26663,33390,44332,59161,91331,154702,254380,404786,760106,1575319,2900085
30663,47192,33133,34029,29526,29748,42611,31936,42294,57566,86061,152340,279751,431231,763366,1557657,3083885
30995,29726,32305,30740,28899,27767,24189,28158,35044,58459,84524,154846,254847,407221,767206,1547396,2922934
29661,29255,32342,31203,29344,25935,22793,26236,36815,59029,87044,156836,256385,414198,762579,1568669,2972277
29890,27128,32695,30897,28188,26468,21775,24647,44123,56731,87449,151841,255423,415239,767352,1554970,2950785
28654,27073,30444,30542,28480,25266,21263,25139,42234,60017,85573,152190,276426,405622,761073,1571791,2932345
28136,27413,30463,28810,26208,23929,21364,24558,37623,58289,88116,155176,254863,414248,761225,1550533,3044187
27874,27286,30093,29097,26004,23819,28815,36264,38701,60003,85813,150862,255492,407029,759147,1631095,3672092
27860,27853,30710,28716,24780,23417,20338,25172,42373,57489,93309,152247,265117,403270,758150,1556016,4167507
28550,27495,30341,28926,24934,26305,20085,19828,39211,57372,89239,153457,256275,406859,765793,1589255,4083516
28169,27454,30559,27687,24797,23337,18583,19296,36104,69167,85032,148918,268860,417642,761942,1560416,3636279
27396,25933,28745,27499,23510,18394,17907,18711,41469,56485,86025,151369,256634,405050,762029,1559787,3582285
28071,25726,28652,27624,23166,16075,18288,19688,43434,59961,89905,151395,268348,417424,764826,1570052,3681628
27230,25545,28077,26770,23317,16230,17840,19074,35711,52236,85846,160295,269643,406406,763114,1571889,2929787
27297,25986,27677,25570,22489,16072,27276,20284,34983,56541,88375,152094,254897,406827,766004,1568401,2953490
28121,26897,27589,26073,22751,16075,16957,19043,35277,60843,93839,151668,271616,418759,757464,1579422,3036592
28075,25659,28404,25857,22272,16194,16968,18858,42765,56449,89492,153394,260124,416326,763851,1562269,2963962
26462,26754,27484,27008,21922,16295,17164,19223,41946,58217,84656,154421,270963,404220,757632,1959154,5340687
26231,26722,27390,26715,22132,15761,16544,18815,38022,60341,88268,164304,251261,443491,770950,1869170,2987619
25898,26293,27279,24898,21912,15610,16031,19123,45340,57056,86924,152715,269954,454895,763058,1479881,2834637
25146,26414,27288,24806,20995,15739,16182,19070,36850,54884,87026,158225,257753,452004,760811,1492684,2841830
25099,24651,26674,24520,20943,15783,15720,19293,41261,55838,87605,154855,268665,440798,764196,1484906,3517070
25663,24556,27326,24906,21034,15157,15027,18500,36118,56125,92224,149160,255497,440410,766163,1490240,3908549
25781,24597,26754,23715,19890,15559,15203,18437,45413,62619,88098,153966,253637,442908,790801,1478931,3028853
25720,24092,25462,23666,19456,15287,14797,18535,38105,55986,85958,151726,265250,437982,768353,2135410,3125345
25654,23979,25942,23984,20025,14824,15778,18286,38288,56124,89773,153073,264879,436997,765105,1877274,2873237
25275,25635,25108,23563,19287,14995,15174,19323,40134,56727,90386,152292,251099,453583,770963,1482875,2851195
24991,24729,25548,24093,19128,14861,14683,35086,48818,59047,88127,158752,252706,439082,772941,1498486,2906755
26011,25177,25439,22898,17816,14562,14912,25724,39089,60025,89272,154067,265830,461195,769593,1484622,3582162
25312,25057,25192,22134,17911,14324,14713,20668,43939,70980,86251,162033,254374,452557,775113,1489005,4067806
24887,24095,25551,22780,17665,14667,14851,18149,36072,60087,87582,153320,250673,454017,772457,1616757,2873121
24282,23107,23657,22216,17291,14627,14444,18866,39631,58148,88782,165370,272948,456837,768624,1480311,3195124
25138,22731,23705,22302,16624,14388,14969,18007,45778,57125,83380,154230,255610,440710,768469,1585677,2957976
23795,23150,24009,21512,17097,14228,14941,18289,37796,60974,86147,154010,257915,437051,766106,1551968,3010738
24033,22786,24183,21405,17400,14210,14592,17887,39048,56805,90133,154551,270014,437600,762056,1557442,2934343
24090,23282,24459,21891,16456,13769,14719,19635,47717,55916,87480,152539,257744,461712,759090,1545198,3008053
23543,22898,24564,21446,16374,14130,24606,18367,39613,58408,88301,154301,256190,440371,771811,1550159,3066068
23942,22749,23894,21242,16339,15117,14984,18867,35971,60574,85355,152828,252868,443826,757978,2019919,2906246
23809,23496,23104,21878,16294,13633,14886,18790,34680,59433,85844,150445,258279,464751,760759,1947359,2882673
24491,23129,22798,20296,16170,14282,14853,18308,36042,56912,85031,167751,268070,438186,765843,1480846,2902920
23552,23083,22702,21491,26537,19597,17095,18403,32193,55407,86813,154483,256214,438478,767440,1481527,3075208
24447,22603,22888,21086,16233,13860,30796,18519,47164,59844,86735,152314,253913,446944,769769,1492220,2941056
24813,22234,23805,20568,16614,13964,19223,19977,46587,57214,92801,151862,255112,453592,766271,1509805,2922882
24328,22394,23106,21190,16133,16078,15621,20582,52977,65891,88475,165258,252468,449331,766836,1477102,2898725
24307,22449,22745,38833,15827,15248,14674,36441,38168,59871,86347,152717,279150,452769,760719,1520823,2918575
22268,22252,21753,34984,15533,16209,14199,48461,44792,61314,85997,157790,279759,437732,765834,1476029,2925787
22484,22028,22115,33110,25521,15896,14630,25815,37764,58895,86264,153790,254565,441539,763879,1487478,2943280
22508,22105,35042,33275,15454,15870,13731,22567,44719,55516,84818,154039,253811,452560,763103,1475275,2888224
37805,22042,21750,33089,15348,16111,14409,21699,36863,56702,87742,154463,252785,439196,765368,1492505,3238751
