b16,b32,b64,b128,b256,b512,b1024,b2048,b4096,b8192,b16384,b32768,b65536,b131072,b262144,b524288,b1048576
492581,413911,395931,480736,501583,538409,644509,688791,1932358,2105831,4943909,6948359,12466227,23828876,65984961,80417730,137948984
108397,140926,198821,209003,206707,314179,438023,577093,935611,1592416,4352325,6688231,12683627,23661419,66130332,81618657,140912852
88965,126303,187739,170795,203143,216903,444829,514528,2130817,2237404,4253661,5792652,12339792,22600669,66342418,81649159,134042990
92571,130649,191272,151545,168960,179819,362319,455776,749903,1340998,4250011,5740787,12924231,23810538,66714747,81573139,142576888
91751,130159,213291,172319,157408,171634,375789,426959,757111,1306796,4373414,5605565,12271861,22636352,66161313,81384184,140001676
93213,127433,183364,155960,171522,166253,333684,424845,690821,1360569,4302849,5604275,12911955,22677176,66114437,81504809,140846118
92498,132334,179506,149831,157508,159658,357042,404568,670100,1375398,4367352,5570313,12378595,23773876,67021522,81492782,136874620
91755,126233,182297,151547,147239,154634,336754,441382,701191,1332683,4210229,5625407,12667499,23710995,65667462,81232749,140516709
93251,121613,179171,166994,153039,149052,333483,422984,1813788,1354192,4398081,5582224,12320014,23302717,66432188,81207186,140582453
84969,120111,167489,158138,147790,142358,377596,414334,754932,1333332,4264590,5575468,12792691,23384856,66287830,79605355,139719247
85104,118678,170351,155841,137895,146980,345989,414955,720149,1361475,4249764,5530100,12266035,23353565,66389971,81260860,146000876
85827,117439,170092,150079,136589,141543,324176,421690,709169,1350432,4394068,5609305,12682064,22324856,66016551,79892994,146144166
113611,130522,168223,153068,123799,158027,287318,331560,1712261,1352870,4337900,5594156,12298304,22397827,65472061,82234278,141744967
84125,114885,191305,152243,126943,174105,370144,349798,623892,1400989,4357304,5516695,12381120,23265936,67038512,77215446,141875641
87184,116993,202316,132425,122840,165230,291127,362259,609075,1266717,4396586,6134265,12253652,22390884,65577163,79488576,139174978
83896,111761,160955,132212,119017,143439,292811,415456,682203,1369120,4302071,7441039,12374893,22329277,66137954,79579287,141060001
83695,109602,156889,141667,120451,133961,299020,391283,696918,1334724,4286370,6826583,12250548,22355205,65539374,81147957,140677041
85315,119150,158341,126716,118058,144746,319262,387091,679328,1391484,4383983,6866047,12389962,22345559,65648340,80511415,141937193
84922,111217,157356,125605,129156,145233,268459,403499,642137,1382046,4266965,6968779,12368677,22320005,65250578,81282390,137862257
85595,113341,175973,122558,126592,125740,247734,426843,610983,1274865,4619223,6880719,12283124,22278870,65923387,79800085,141770967
86679,112514,159655,138109,126823,124778,290880,386370,574037,1319617,4229380,6895434,12385582,22358783,66995771,81050995,141643298
85981,108518,164896,124435,126483,126330,325785,474767,662818,1281297,4402741,6942127,12340329,22379262,66129815,79308346,140353422
82483,107484,150169,132997,134604,137660,257544,376022,720905,1314824,4444493,6910226,12388327,22452932,65823175,80869900,146252267
82946,124484,170488,130110,124082,126278,263414,404849,718101,1321564,4342279,6839711,12362481,22495067,65946926,78448194,139086436
82665,110514,151537,114882,118597,123716,317451,396519,676587,1410746,4399760,7462833,12383178,22374690,66220727,80554134,138325173
79840,102671,152070,124149,120491,119682,274449,392873,649747,1326855,4237026,6899975,12418998,22364947,65688880,78994593,144192332
80170,103941,164828,118531,123250,120256,308870,394503,606852,1375591,4309443,6868762,12393378,22411962,65789598,79546172,145285335
80076,102438,153121,110575,117290,133321,283207,383359,665920,2236709,4333260,7406749,12433478,22387289,65935049,79237457,144388932
80944,105994,143524,111261,104662,127915,290239,380442,733693,1337673,4277381,6940938,12411508,22418805,65922778,81517427,141403657
