b16,b32,b64,b128,b256,b512,b1024,b2048,b4096,b8192,b16384,b32768,b65536,b131072,b262144,b524288,b1048576
34113,32295,33591,34552,33229,34139,32642,33559,33145,33650,31706,30644,33699,35340,34297,34320,33021
24881,25695,27532,28389,26370,27007,25476,27644,29006,28081,27497,28577,31072,28480,26350,30392,31416
23724,24306,25003,25241,24485,24152,23198,26903,28616,27567,27377,29091,31231,28114,29173,30184,35409
23365,23941,25046,24185,23497,22952,21720,24172,27641,26591,28945,28181,29569,27999,27863,31071,30767
23012,24068,23755,24021,23495,22467,21354,22503,25692,26014,27630,29615,30721,28064,28235,31607,29761
22556,23800,24285,23793,22649,22301,20744,23057,25133,26340,28677,28960,31086,27906,26495,30050,30797
23014,22956,24170,23149,22389,21587,20400,22603,23749,25238,28826,28285,30576,27898,27175,29793,28811
22963,23008,24337,22951,22607,21420,20196,20491,25916,25645,27469,29994,30528,28956,27240,31182,31220
23034,22558,24039,22968,21841,21326,19650,21058,27304,25669,28901,28310,30549,29396,26118,30086,50231
22208,21933,23208,22977,22406,21120,19427,21231,26409,27717,27480,30296,32128,28453,25958,30026,29194
21921,22365,23052,22472,21688,20746,19817,20304,24599,26461,27087,29135,30673,27985,27221,30599,31586
22335,22258,23288,22504,21821,20601,19719,27071,24977,26927,27743,27778,31154,28915,27222,30783,33856
22124,22356,23293,22821,21447,20277,19276,20684,26260,25857,27654,29454,32064,29316,26167,28133,322394
22926,22143,23385,22386,21120,21330,19835,19415,24900,26441,26846,29238,30675,28389,27212,31186,66739
21911,22138,23656,22170,21242,20534,19940,18804,24539,26021,27459,27238,31370,28590,27595,30316,31550
22099,21702,22744,21684,21183,19031,19364,18644,27872,25572,27467,28392,30326,28569,27089,38669,34698
22124,22135,22771,21934,20796,18719,18794,19469,26408,26546,26925,28392,30011,28081,27859,31564,421438
22091,21853,22846,22099,20949,18771,18922,18616,24996,32514,27645,28250,30633,27964,27394,46407,29801
22236,21651,22536,21533,20425,18689,18946,19532,22745,25631,27822,28566,30791,28185,27503,29024,53388
22230,21501,22858,21578,21049,18833,18440,18195,23007,25756,28771,27912,30948,28426,26999,31124,31665
22374,21686,23222,21282,20838,18716,18385,18836,23895,26392,28021,29185,29801,27794,26494,29495,30021
22127,21679,22444,21344,20493,18736,18379,18454,27199,26761,27276,38354,30117,28138,28234,38733,53839
21938,22047,22572,21448,20346,18772,18482,18575,24420,27458,27791,27268,31373,29166,27587,29378,31085
22200,21856,22397,21109,20271,18453,18299,18332,24425,26841,27750,27947,31232,29599,26750,29098,30212
21631,21663,22087,21289,20094,18383,18124,18018,23991,25881,28308,29066,31253,30347,26946,28816,29277
21771,21530,22308,21227,20212,18614,18069,18735,23325,25464,28323,29483,30346,30338,26014,28680,32898
21672,21628,22029,21343,19940,18224,17993,18129,24286,26483,27342,29777,30201,30644,28768,28327,57850
21868,21206,22387,20838,19857,18384,17899,18050,26890,26151,29170,26776,31420,30242,27350,29165,31713
21821,21618,21857,20768,19845,18596,17773,17969,25286,25500,27861,26849,31597,33609,27525,38675,34068
21872,21585,21591,20758,19876,17995,17882,18248,25591,25773,27761,29369,31498,30002,27113,44929,29324
21474,21338,21428,20710,19335,18232,17903,18160,32399,25599,28906,27373,30939,30875,27020,29468,29626
21571,21163,21393,20775,19560,18363,17867,27524,27158,26324,27369,28993,32515,38207,26602,29816,31522
21751,30208,21638,20160,19120,18145,17941,22113,25622,26005,28122,28427,32890,29899,27077,27702,31852
21483,21225,21537,20372,19311,18190,17959,19107,26573,27393,27314,27606,31000,30333,26368,28420,35776
21641,21460,21457,20492,18973,18057,18067,18242,24503,26253,28023,29324,32299,30045,26092,49708,29264
35120,21124,21256,20457,18998,18172,17965,18248,25455,26605,27866,28571,30666,29953,27473,29529,34786
21314,21034,21432,20597,18837,18137,18189,17996,26522,27331,27178,28246,31152,28930,26511,30243,50690
21330,21202,21589,20237,19083,18065,17977,17802,25435,26506,27814,29078,31609,31106,26222,29984,31460
21315,21338,21304,20054,18918,18054,18006,18151,26276,26903,28405,29193,30092,30530,26556,31190,48766
21175,20967,21584,20436,18861,18021,17950,18055,27783,26467,29487,29040,31777,30150,25825,30359,32479
21028,20993,21344,20267,18799,17996,17868,17874,26728,25785,28364,264519,32789,30737,28245,32287,34450
21329,21233,21342,20457,18934,18218,17915,18295,25720,27117,28997,26452,31583,30440,36594,58870,30879
20937,21208,21023,20339,18765,17984,18171,17921,23800,27138,28405,29340,31632,29449,25861,31765,30226
21148,21367,21118,19820,18704,18202,18000,18210,23216,25808,27118,29060,32076,30920,27750,29632,50361
21075,21136,21041,19878,19406,17957,19636,18409,22721,25823,27229,28492,30868,29966,26432,28736,29355
21469,20995,21010,20198,18761,17866,26601,18087,26312,26481,27378,27757,31712,30200,26245,28768,39802
21272,20590,20979,20034,18885,18031,20782,18875,28145,24944,27017,30169,31858,30363,27774,42514,31014
21124,21119,20881,20022,18739,18532,18192,18827,26398,26196,28529,29241,32393,29452,27005,30971,31199
21248,20771,21064,35858,18674,18267,17825,28055,24140,25883,27786,28756,30207,30813,27291,280340,30727
20810,20773,20767,23727,18383,18515,17810,26817,24835,27708,27880,29785,32737,28809,27935,28083,33574
20569,20494,20674,23506,26698,18648,18021,22600,24441,26609,27807,27811,32482,29349,26373,28287,49875
21023,20625,20506,23707,18562,18498,17723,20672,27998,26643,27587,28460,32558,30728,27142,28503,30062
20705,20793,20698,23744,18671,18540,17762,21127,23962,24894,27342,29464,31031,29300,28951,28724,35439
20706,20730,20887,22953,18600,18949,18047,21256,23034,26763,29284,28594,32506,29828,26874,44381,33525
20861,20961,20667,22767,18569,18601,18271,20544,23333,25766,27274,28589,29899,29437,27854,31643,31833
20911,20573,20710,22485,18644,17797,17880,19318,24567,26195,27279,29308,32162,29642,27838,29668,28313
20679,20659,20386,22958,18647,17943,17696,18850,23954,27460,28859,30069,31036,30793,26792,27947,34598
20737,20178,20413,22312,18500,18292,17911,18557,26638,25831,27455,30070,31168,29107,27704,38095,62812
20851,20470,20365,22168,18342,18152,17743,18395,25651,27261,26956,29357,30885,29979,26860,46691,31582
20640,20414,20350,22056,18589,18223,17726,19016,27030,27348,28830,28141,32080,29294,27884,29544,33832
20644,20484,20487,22290,18530,17833,17692,18047,25164,26686,40128,28621,31248,30136,27219,42334,31356
20726,29861,20377,22242,18587,17802,17790,18000,24216,26500,28769,28383,30589,28469,27452,29038,34195
20707,20195,20300,21850,18463,17801,17641,19018,35401,25214,28292,28729,31021,30251,28774,29186,34975
20673,19953,20139,21872,18110,18271,17703,17681,28735,27783,27609,28486,32736,29683,27177,28502,65377
20363,20501,20466,21408,18222,17961,17780,18263,27584,25749,27832,29518,30944,30678,26268,29471,34089
