b16,b32,b64,b128,b256,b512,b1024,b2048,b4096,b8192,b16384,b32768,b65536,b131072,b262144,b524288,b1048576
21052,19089,22252,21475,23790,24971,27922,34238,50111,79844,126292,235505,421018,838349,1375600,2155489,3566875
11126,11736,13076,13979,14891,16908,16824,21661,29662,31983,53225,80660,182790,394565,836904,1681156,3220448
10478,11153,12514,13022,13010,14671,13666,18565,25096,26060,42004,86448,181523,411791,769297,1573919,3254388
9614,10669,16768,31014,11911,13449,13223,16563,17118,24814,42018,81059,176952,390416,762127,1624516,3548278
9960,10797,11675,11682,12202,12847,12295,14805,16082,26452,41995,89391,192105,399925,782423,1661879,3570478
9683,10584,11074,11299,11183,12338,11577,13872,20194,24275,41813,80264,187191,397612,814190,1677408,3491770
9520,9917,11007,11297,11463,11309,11076,12719,15480,25338,42623,80567,184842,395300,793589,1571585,3584119
9800,10093,11118,10794,11212,11171,10394,12221,15232,26646,42249,81164,180117,398210,781438,1699727,3503814
10248,9307,11134,10650,10476,10255,9977,11550,16059,25104,42272,82341,186570,381380,813152,1692406,3472802
8645,9283,10354,10791,10869,10466,9771,11057,16055,24853,41210,80819,173916,397168,775903,1677845,3576018
9057,9289,9976,9943,10239,9687,9470,10784,14869,25020,41658,81335,180871,399144,775602,1596443,2950549
9070,9158,10117,10069,9709,9692,9515,11224,15536,25800,42248,79399,182805,389874,779045,1675177,5093010
9012,9336,10342,9968,9138,9510,9097,9136,15759,25340,43104,81536,180545,394704,801929,1617991,5114369
8936,9022,10082,10506,9197,10389,8656,8763,14841,24847,41173,81795,175981,398219,750173,1692648,3668627
9177,9469,10377,9419,9271,8913,8641,8524,15260,24688,41850,81609,182048,387101,803706,1654763,3636584
9278,8461,9607,9164,8710,6902,8512,8784,15808,24715,41963,79412,189056,400018,767789,1588981,3617948
8903,8521,9658,9178,8913,6245,7957,8507,16261,24897,42500,81161,179577,388680,815216,1677504,2981651
8798,8481,9710,9104,8877,6413,7709,8328,15586,24665,41441,81763,172465,391577,844542,1603967,3675038
8745,8595,9425,8765,8280,6064,20454,8544,14868,24880,41828,80802,176945,389402,805908,1675404,3211456
9085,8560,9609,9017,8387,6091,7767,8741,15492,25489,41641,82413,178122,392136,797014,1724952,3511915
9927,9394,10709,9625,9344,6781,7890,8860,14997,25558,41552,80189,180713,406438,828929,1701213,3466341
8543,24506,9139,8671,8102,6224,7520,8456,15434,25224,42745,81010,178475,412869,818130,1920545,3256869
8683,8989,8922,8958,8079,6093,7302,8457,15544,25760,42146,81867,200891,398576,822207,1688010,3426624
8589,8896,8993,8187,8031,5795,7058,8515,15278,25334,41888,81307,178392,402794,788900,1590675,3527886
8418,8732,9013,8440,7700,5983,6841,8741,15356,25548,43053,80382,183605,392409,775691,1700091,3493353
8250,8464,9461,8297,7848,5932,6603,8226,15273,26299,41627,81334,179390,405271,789481,1717900,3651457
8430,8315,9294,8346,7746,5829,6591,8126,15343,25654,42374,80442,177245,404736,818186,1731989,3452930
8419,8281,9205,7910,7417,5778,6510,8105,16151,24724,41804,80643,183880,399206,796454,1707916,3551339
