SHIR inductor b16,SHIR inductor b32,SHIR inductor b64,SHIR inductor b128,SHIR inductor b256,SHIR inductor b512,SHIR inductor b1024,SHIR inductor b2048,SHIR inductor b4096
8091202783,2066220051,2066553192,2244805677,2079824459,2054760913,2051045593,2004074650,2066353602
767884,1085720,1781527,2762104,769709,830830,1104852,2081559,4639521
715750,945116,1729741,2697334,629438,728759,1038591,1989879,3481676
665860,960028,1577520,2548852,626875,671786,950411,1851090,3220949
655438,953471,1532958,2554243,603020,669467,914802,1820601,3037704
650083,955096,1519493,2526557,590270,657959,894878,1815849,2853517
643959,952427,1449583,2373671,578199,635999,874985,1677088,2837587
655523,944249,1419481,2362499,568939,605236,843653,1622176,3178005
661312,898004,1419469,2324995,559560,573106,800746,1615843,2953628
655914,877099,1418633,2263018,584707,617003,782613,1512329,2982357
652877,856994,1352240,2221036,563065,603432,817007,1576627,3490965
644741,907416,1360297,2162171,544640,581330,739162,1565030,3173312
654410,903075,1324272,2108301,523562,568325,730998,1503582,3002720
601875,906441,1369365,2103268,520045,540910,757176,1528629,2853321
599845,892953,1282922,2071856,511028,553597,706513,1460486,2703179
609254,848547,1264532,2004471,505947,507622,711060,1508481,3994197
610085,848998,1269364,2011859,473715,543510,723684,2060358,3352294
608992,824919,1263759,2007222,479720,524881,764833,1705774,3135494
609968,846947,1209236,1903023,477839,525920,810611,1698670,3392108
607517,847203,1233300,1899056,468596,506271,763350,1701743,3156466
607643,845190,1206872,1894414,450059,540006,916769,1686844,3277637
611587,844549,1206657,1806386,442934,502499,897674,1634241,2817221
606899,786725,1151312,1815198,433710,508657,723066,1578728,2869345
565296,791301,1154798,1816071,440663,516076,1043173,1700669,2763300
573077,797725,1153541,1836222,410535,501744,943478,1659399,2955225
591477,797200,1171736,1748552,421219,474162,1026118,1610498,3407385
565328,800407,1152583,1739175,431778,475557,1003536,1621653,3206011
581534,802361,1109246,1760697,415705,489336,1023174,1537254,2972342
564170,790094,1110589,1751660,404348,473318,955857,1541308,2876703
575866,796800,1104903,1648695,414887,488412,888328,1515082,2909374
574005,758156,1107361,1658971,401409,474888,1027398,1574129,2864918
574719,753108,1067010,1683219,408622,468077,964505,1487727,2963970
565897,752232,1058027,1641949,398715,464672,889383,1617944,3006831
578585,758222,1065422,1600907,403920,473873,1029955,1452691,3520426
545056,753339,1070470,1606960,392338,464149,986514,1436060,3161697
529368,756983,1072803,1618864,404485,451856,1004437,1520847,3110383
531155,760650,1031836,1586374,390721,478302,868035,1388050,3913513
539782,758812,1035882,1543007,396655,479402,778003,1436632,3166697
522500,718153,1028905,1550704,392245,450695,742549,1454873,3677917
528372,720623,1025212,1551552,399497,436624,994602,1456684,3774605
533159,714472,1029663,1537111,381020,440864,1016041,2054480,2983059
536548,721262,1177829,1488662,379834,456580,1012911,1748329,3398836
537344,720338,1137189,1476889,376263,424605,771346,1581066,3258041
524221,718080,1075585,1475817,375264,433318,723846,1558502,3171947
542472,713699,1079520,1485224,384517,437162,1046642,1645231,3779752
542567,706727,1092891,1430757,360614,425752,844780,1607786,2873922
513092,721084,1080841,1432505,369520,435211,1062511,1687030,2879760
514621,685770,935149,1437051,374337,423377,1020471,1583583,3780857
505994,676008,864149,1434271,373319,435357,1008494,1567866,3514170
506636,684540,842225,1400747,366170,422937,815344,1499699,3205018
508196,682963,846368,1385161,366264,420111,987216,1543893,3050525
507890,652204,853552,1374604,346247,435289,898433,1561645,2827128
511995,683902,832915,1390232,360009,427832,990019,1466779,2948249
512752,642722,823273,1393867,352713,420867,731765,1470618,2969732
516463,684206,848543,1353742,346380,413778,1004694,1499018,3015971
511108,654457,843512,1346187,352714,435458,751713,1435524,3489120
502804,624584,830376,1347571,334070,422632,956438,1576927,3220808
501568,623967,817168,1337457,355384,422791,911081,1462392,3027360
509783,622559,846042,1333671,327978,432877,930685,1492102,2898528
458857,614814,829211,1316168,332549,431818,836281,1566103,2930968
462290,613236,844860,1308428,337338,422777,942651,1407428,3238621
458109,615229,846248,1308954,336635,420988,758712,1352973,3140281
452870,624911,846773,1315405,336035,431885,795175,1399159,3001855
455655,620274,800863,1306658,354663,422568,709014,1358754,3556817
461829,620585,823336,1311467,342853,423907,1033859,1990262,3190892
459602,618795,806876,1303295,321825,432351,1038969,1739426,2971017
452568,594425,829895,1306197,324171,426407,856871,1624380,3012162
452695,595458,817745,1307490,335678,423540,860901,1664747,3158046
454374,586446,816931,1311057,335242,445638,1038133,1625726,3314296
459497,587379,829738,1303252,317027,418217,732855,1619329,3181332
493757,587102,808944,1310494,333733,424212,899155,1559741,3142495
450758,572834,895480,1307530,322548,443656,919223,1659466,3525472
428793,588605,877861,1307731,323130,431723,929014,1636967,3210355
432969,587855,870829,1319721,340623,419692,1039130,1635371,3030484
440016,572923,864585,1319461,327671,423003,1058032,1565545,3038166
436386,594554,874737,1329906,348600,426188,777541,1509647,2992967
432357,567315,865372,1297808,330175,428654,741727,1590209,3272241
433325,567927,875299,1327174,346924,420906,1029273,1592507,3303996
441333,575223,862586,1316831,338915,426391,915556,1547294,3513898
436914,569223,864486,1322690,329834,416428,1061642,1513033,3184111
428873,569844,661173,1308160,337385,405809,871969,1555944,3223758
429669,569077,663973,1332915,324372,421159,1281926,1662541,2831165
