SHIR inductor b16,SHIR inductor b32,SHIR inductor b64,SHIR inductor b128,SHIR inductor b256,SHIR inductor b512,SHIR inductor b1024,SHIR inductor b2048,SHIR inductor b4096
8173632026,2190935710,2175359210,2171144683,2148120993,2143418903,2137829797,2140832796,2136028634
679602,1003460,1587088,2801820,499057,828622,1879520,2239988,5063730
577571,942281,1450976,2778811,467681,728469,1348397,2864405,4700508
562893,882549,1448078,2594383,453837,624222,1202777,2031522,3751439
569584,878904,1447006,2586374,468081,589200,1158576,1899011,4031147
529084,889035,1440178,2578597,442816,581791,1099647,1858867,3886825
524533,874338,1351592,2415098,428460,579780,1015386,1788193,4214177
526735,872044,1358938,2425427,423793,580244,1071737,1647583,4777381
528342,872979,1356011,2371116,425231,554476,925046,1650671,4471930
554199,834837,1359967,2281860,421564,542908,817208,1726766,3425094
521106,787177,1250250,2277070,430388,527941,860639,1708801,4144523
524940,828887,1261452,2224040,411270,516039,870033,1639958,3830075
523657,831821,1265708,2159715,426074,542980,1036708,1633035,3215474
517755,831498,1271729,2149256,413174,481141,782304,1509061,4148468
518697,826601,1270831,2119482,394280,500904,1107817,1602806,3943082
521881,828243,1195997,2040886,392055,487965,990362,1515221,3033138
522711,779188,1194966,2042692,394991,475546,922776,1440493,3563715
520983,778912,1190268,2036858,394514,484653,930723,1618371,3498344
519620,776832,1184339,1943216,389490,467695,895459,1453702,2897142
517896,781231,1158520,1951904,383579,461213,869666,1480097,4157548
521540,773441,1127079,1937964,347039,460530,841902,1532409,3885450
520186,778416,1139940,1865139,372818,449063,829847,1474953,3549835
512769,779710,1130778,1857811,370892,463361,808931,1441217,4757560
519724,780830,1138529,1841537,355816,441055,798170,1435570,4473178
480509,740720,1130856,1855174,356274,440221,793802,1461980,4993439
477859,726764,1081119,1765115,362228,450459,760496,1482074,3891312
480859,735044,1071495,1794727,349583,425770,712654,1470991,3865181
480551,735375,1068759,1766869,369413,419946,745655,2109776,2941343
481912,726948,1071958,1747974,351844,398234,695994,1674968,7688939
488753,730788,1078370,1715112,342504,410099,697096,1519455,4203691
490063,728480,1029076,1711184,333794,427440,695734,1519010,5430884
491592,725301,1021927,1690150,344051,415898,673477,1589442,3697244
489523,698816,1038393,1653874,336299,407431,651372,1604693,3566526
485432,697294,1027673,1632476,327061,416141,658462,1576933,2921827
481764,690450,1037521,1647777,334957,406531,645138,1657592,3636909
480713,697865,1026759,1628630,334348,393872,629785,1614403,3929651
455016,698843,988838,1608520,331052,393987,636510,1618546,3532147
457688,697849,988217,1557848,321610,404301,600001,1638372,4072961
461197,685568,982147,1563791,319577,403679,593108,1512849,3721379
462024,694797,988587,1563867,319102,397210,659370,1631447,2909478
458263,703879,986006,1545474,319886,388902,886956,1438191,3624709
450876,663828,979548,1514992,315098,395244,666826,1478874,3481324
454408,652311,948029,1515198,311630,389946,828994,1481579,2892194
455162,664676,944936,1508631,316832,381301,928154,1427998,4110162
461724,661332,950207,1537234,309820,373022,640421,1491085,3912676
463408,661439,954084,1456339,323048,391222,641040,1480975,3046797
461676,655434,944987,1462301,333583,380819,789270,1495316,3522097
452089,656675,963306,1456786,313830,385177,677694,1392836,3539749
455772,661851,919487,1457542,301363,398879,888215,1507116,2936601
453999,664674,904238,1431273,313900,397150,751980,1465609,3973188
437818,592880,1060095,1408779,317098,397597,825656,1345802,3630642
440176,596737,1032488,1393276,303818,383661,875320,2112167,3511376
428792,587338,1016739,1397324,306789,398745,825841,1751124,3897938
428313,593252,1009235,1424188,309519,389804,856848,1586134,3670736
424624,588422,1016439,1369827,291847,398532,676301,1652362,2989992
435297,583699,1016637,1354761,308567,392734,809441,1539786,3804891
437507,598082,1026145,1369381,278513,385390,677109,1679951,3866657
431436,595610,934493,1371414,304466,388895,782099,1568605,3125863
432362,594094,791753,1379385,389299,370854,761481,1506329,3572139
440135,596342,788193,1319082,379997,403693,632282,1590488,4193897
433378,575564,784524,1329451,374903,406350,861711,1561035,3171852
427258,573530,783624,1329780,384352,383048,751211,1532351,3807628
429528,562784,781553,1321886,394778,380036,647296,1479142,3571663
407206,560836,785530,1336666,371013,396205,662984,1527218,2841267
384963,561329,781687,1341762,366564,384087,818315,1527330,3599504
382726,563871,788038,1315153,357015,379701,611501,1426638,3452935
382358,564539,764874,1341538,360395,394764,636341,1490573,3463997
392958,562474,770633,1344904,366426,385420,695532,1487743,4074665
386990,562628,755870,1335999,351484,384444,853303,1527194,3680024
373354,568840,794680,1329509,358141,396209,912160,1514112,2871190
384276,544757,792112,1348807,360256,392218,672094,1419014,3603303
388439,541908,777603,1348490,359217,385530,834245,1422226,3634528
381892,541300,765711,1346897,364099,387235,724517,1484255,2875583
