x86 inductor b16,x86 inductor b32,x86 inductor b64,x86 inductor b128,x86 inductor b256,x86 inductor b512,x86 inductor b1024,x86 inductor b2048,x86 inductor b4096,x86 inductor b8192,x86 inductor b16384,x86 inductor b32768,x86 inductor b65536,x86 inductor b131072,x86 inductor b262144,x86 inductor b524288,x86 inductor b1048576
10080376649,2143345113,2160205049,2132048909,2154246248,2140988683,2133594619,2125463464,2157606667,8254018365,2182713643,2286809121,2221421920,8228485641,8392084571,8167630199,8194907066
314170,568066,424813,567691,554331,579311,681861,700424,1025529,2044553,2136817,3506918,7723548,13085357,25963138,52711548,93961836
238818,465321,356172,496839,440349,500468,603046,607809,1150642,2050061,2177176,3634420,7611074,12882996,25665411,52025025,92854356
239887,468092,345227,494547,432993,493445,600493,572637,782159,1301710,1887196,3504965,7673407,12816710,25929320,52586531,94105567
227943,451393,344934,502357,413583,506318,608349,565864,890176,1174980,1929904,3691004,7654461,12822863,25509039,52610212,92982202
235893,469143,357901,495355,397486,471390,579965,562136,802480,1146179,1978930,3530748,7575648,12929161,25895581,52406400,93955272
225421,444087,361276,475337,391493,432373,531508,738867,724182,1096558,1959296,3531473,7617846,12918437,25787428,52662197,92955392
224365,458955,345143,468724,392667,369210,539401,627007,703760,1257497,1990921,3463254,7666751,12860895,25957206,52852267,94084986
222836,399234,328311,487334,384378,426600,497655,533966,666827,1175814,1996373,3522062,7619311,12898221,25612228,52536455,93135834
224649,384104,329064,487188,392051,367650,589745,535415,693307,1077412,1985605,3518734,7608789,12931140,25750218,52340733,93929993
231549,397972,346492,497636,373546,347322,473677,524433,675492,1249167,2078415,3494343,7601362,12859930,25708121,52661095,92862673
224735,383527,323371,438971,351511,363391,490426,556415,1088614,1917680,2035259,3464038,7555702,12935108,25936225,52629820,93882659
254340,385693,343967,431906,342507,333926,504884,520129,850282,1227025,2006928,3629978,7646162,12889207,25641263,52210300,92844010
232364,395370,326114,426809,380742,329354,480202,520248,762845,1326081,2047062,3512813,7585264,13017939,25908408,52814640,94006424
234019,384382,325128,427133,337614,311369,500631,565573,711532,1158419,2019696,3587662,7592513,12881380,25760434,52652876,92852977
239400,396694,328569,432494,339999,338004,470492,526875,766658,1194696,2068603,3592692,7608753,12844184,25883762,52603066,94016860
233659,375659,355074,407426,322037,340269,489550,554073,1098275,1881425,2020790,3583529,7598338,12845728,25748344,52637169,92855168
243930,372236,330423,408162,336776,290266,427518,541526,821925,1211202,1953694,3478520,7590750,12899995,25869302,53024474,93470066
232658,363484,327437,411825,334649,308631,444180,538899,757449,1181336,2080582,3493480,7695948,12848681,27044901,52877730,93026761
232702,364831,319906,411806,329556,314105,614515,507545,914911,1073420,2010443,3484918,7628933,12977240,29170348,52415947,93962655
231791,361529,325555,447446,304730,308363,365480,526123,1188821,1327708,2018414,3600679,7656925,12823790,27130818,52724927,93070231
233132,387933,322803,409796,297565,314597,310491,500497,811128,1122453,2051924,3555398,7580551,12925144,29192475,52993242,94146550
242031,376180,309406,390573,292505,305145,306670,509776,765164,1075212,2044034,3485578,8457047,12903495,27789897,54239089,93177246
232079,367598,309927,403345,307666,289582,311001,501727,758714,1058627,2126441,3479592,7870629,12853962,29250225,54286336,93662877
233179,364241,318878,404455,319793,294117,315881,497283,724855,1209767,2003350,3588829,7944932,12943151,27307583,52709171,93098437
