x86 inductor b16,x86 inductor b32,x86 inductor b64,x86 inductor b128,x86 inductor b256,x86 inductor b512,x86 inductor b1024,x86 inductor b2048,x86 inductor b4096
8095357249,2047192716,2053251269,2038833995,2045001073,2044921138,2019665739,2039943216,2047367310
2949322,2868447,3672856,2255531,2213204,2417817,2113967,2227990,3237739
2898023,2740972,3330381,2187939,1922644,2001312,1963282,1576063,1985664
2845032,2717130,3144907,2135274,1806987,1931514,1853212,1525340,1830171
2713911,2580836,3133775,2053926,1787169,1898539,1761146,1441315,1642686
2704635,2533651,2954267,2042307,1683820,1815592,1699398,1408980,1627705
2720645,2529694,2968363,1984974,1703702,1760479,1626077,1291750,1496337
2516757,2499608,2835048,1879298,1601606,1736980,1541043,1220633,1733551
2512406,2373773,2779642,1916401,1593771,1671481,1508959,1212502,1534972
2512166,2378739,2797218,1916129,1583216,1589874,1476223,2238335,1457845
2529152,2376148,2643664,1809588,1508678,1600747,1432009,1274311,1406857
2365863,2295407,2654174,1792256,1506489,1517503,1351255,1280791,1440184
2358203,2261007,2610672,1795675,1474594,1522612,1361892,1265529,1445486
2355657,2258106,2528060,1704514,1447904,1480871,1331235,1255687,1422254
2352600,2250261,2547273,1709004,1475904,1465341,1295897,1220807,1707980
2237654,2130010,2458443,1701397,1397455,1313942,1257456,1265113,1483082
2232758,2146815,2409141,1612286,1382801,1309232,1254261,1261362,1426931
2234777,2150627,2406095,1609097,1389522,1275347,1213868,1283385,1463662
2249193,2141083,2351631,1610122,1321227,1249514,1242956,1229522,1447426
2117706,2036708,2310929,1599524,1335211,1212976,1204441,1273443,1426307
2119406,2040635,2307863,1530929,1317175,1229909,1217548,1249265,1442570
2116487,2070269,2249166,1540553,1266941,1167591,1265280,1277691,1723038
2113496,2067980,2214732,1558805,1287174,1194573,1194000,1246729,1479356
2037953,1977112,2225991,1558048,1285944,1140199,1165458,1254122,1465129
2017786,1966767,2196450,1493952,1219496,1153006,1183605,1252924,1415721
