x86 inductor b16,x86 inductor b32,x86 inductor b64,x86 inductor b128,x86 inductor b256,x86 inductor b512,x86 inductor b1024,x86 inductor b2048,x86 inductor b4096
8148491619,2121844188,2099080480,2112760774,2144236202,2114952790,2105978205,2124358994,2200993971
438549,528993,529113,552145,459703,504843,660546,731717,1084141
388586,426421,424778,491065,428131,444539,639077,628793,1413747
396130,428604,418429,506201,422788,428045,572706,596096,833359
353415,411082,413296,469181,369919,468754,559993,543133,917377
308431,415318,420536,464089,366024,454720,509848,540311,726616
314107,405178,410848,467661,374247,454463,502313,662023,684116
304051,412512,423445,461138,367537,452239,509833,386304,651046
304242,411429,408399,476623,382275,437083,517820,427478,615672
301294,399606,406887,442139,469987,410977,525167,501818,606778
310483,398920,403771,448250,350091,329764,436706,496754,715066
300702,401900,396284,439139,346697,326147,464221,483660,927653
302261,399911,396439,440784,337410,334888,462320,518859,784047
302623,399975,410357,434792,327435,321203,484610,483370,752474
310835,345631,395523,452289,315859,318120,430630,525764,665627
296877,390667,399433,431528,325304,315931,419798,470414,734924
302165,399973,406729,415046,318898,325773,355900,511294,1010864
281601,387583,396599,403703,291733,322397,354144,467038,827640
291535,386429,398493,411509,296191,301415,388682,479927,1946146
282071,402789,365570,408141,320487,315587,581987,500075,810275
283422,401724,377331,384003,323887,298340,329673,492386,1121982
291225,382641,363795,385887,285121,312580,297527,473918,955466
281774,380479,359997,398837,283456,306923,304650,495475,696601
283536,384623,363779,384834,305740,293538,315299,472723,610556
281770,379950,374486,391830,290200,283115,317579,485115,647096
290444,365967,374813,386158,275138,289535,296909,473181,595505
277746,367398,360412,402626,296727,279746,301892,501073,792868
282852,366354,354559,397646,284361,274513,301320,464356,1273003
290331,364425,361995,372340,297460,265573,289856,677377,795810
278998,362124,351136,369934,266830,270857,291852,392233,714183
282172,362659,352645,386431,269845,270303,306979,371571,735304
284459,332969,363409,371084,261643,261845,293140,403578,667868
291361,334035,344186,370553,287053,276009,304678,526703,740390
264901,337039,342802,372189,289266,272725,288461,480828,814803
268383,336244,348249,355774,267582,249741,300064,481744,888659
274360,333994,357578,355649,258299,244811,296911,489443,865210
264081,335572,360947,361525,271912,269470,277491,509717,832632
267586,334594,338130,357069,294973,246347,295588,468163,740112
274571,332126,339476,356017,269152,242712,281457,505728,700900
261954,334589,338457,373531,263771,248257,278657,488315,676829
265542,337235,326684,343740,282587,272237,289905,497279,736331
273081,335652,327838,347689,258564,271492,297006,491017,739468
263807,346880,332162,343750,253369,252520,283549,513856,6008664
267222,345236,327918,337187,252972,270486,287754,507681,911951
272198,341879,329002,338491,253627,283556,291673,491091,1011780
264335,339197,331621,342127,258895,285797,303896,486960,807931
268716,340090,331017,354743,246573,282685,303283,509190,738953
264680,331783,327633,330481,247183,262041,342475,478520,714357
265370,336119,324244,349345,269986,269030,308342,485207,952717
266819,334037,324679,334424,243300,254435,322696,644483,1069911
250091,333542,323125,346205,248470,279739,360822,466035,799964
251028,335152,322774,343213,244645,290391,317205,391272,733136
261403,335736,326637,349629,240306,245380,329582,417670,703965
249716,335789,329016,340199,233237,278840,339015,453589,639548
251174,337837,325026,329294,253032,252566,364116,488407,631643
249890,333478,325675,313069,244748,260204,324147,455018,631190
253148,335854,316253,329314,242344,258524,298272,503340,638161
262488,334697,323614,314695,224278,284227,336083,494379,941849
251427,327525,300579,315500,240080,265012,324310,483979,811627
253358,322213,300703,318999,230804,248821,335904,485240,674402
259663,324662,302560,317628,232046,280090,310269,489984,655405
252350,324213,304268,325607,233774,273433,337332,487414,640812
252783,320843,299282,312796,242068,264817,310912,482456,707563
251408,323822,302685,310864,239641,272298,328844,458595,628624
252254,337658,299459,312547,241815,268823,352383,451239,675832
259156,326012,303049,319465,238991,282284,326110,482181,896401
249380,339336,300762,319545,240294,256439,321812,473676,769412
251170,302285,298901,315056,239806,254032,338082,461541,690480
238967,306639,312047,316431,243720,278158,331085,483087,673111
239027,301982,298421,328461,247197,259030,319646,476137,646345
246641,305479,297197,312596,239748,270822,307783,457387,609591
237982,318916,299709,318213,245959,244583,323456,481647,624002
241348,316438,302293,308805,243130,246337,322313,652293,821055
237853,296671,300359,297949,246650,253603,328342,434654,756504
242154,303598,298454,317091,238448,253360,331930,398845,647350
245826,311640,291321,298099,239816,262930,330660,405957,627698
239120,310368,294734,299896,242300,268249,328756,466112,632089
249245,319588,299827,317673,238030,275312,291080,593636,627568
239552,308320,293653,292049,245931,268411,330132,498654,607608
238873,302535,299809,291276,243401,253589,329312,506860,835424
239730,295676,280709,298555,239948,258412,318051,500552,1333335
238346,279769,295593,292559,248490,255518,347766,516051,770872
247025,279242,290304,291901,250433,247635,326557,535538,641412
240212,260936,296083,291281,234800,246635,336487,537033,626668
239372,249775,296844,300358,257685,251894,315824,512904,671302
237120,249933,303244,289587,235234,262037,307231,506059,635652
228795,279322,313710,282823,243355,281215,326795,516833,619012
237157,300599,313046,293473,256655,245953,349406,491457,898964
228961,260453,304533,284085,248080,261799,331162,493811,796125
236383,251638,301902,284238,242578,252411,329129,515967,704910
227530,278917,284784,286320,248693,284136,321714,510467,674598
228530,250684,297693,289683,238846,274414,354182,494459,678433
226636,265816,298494,285746,246757,267809,341624,472676,641756
229087,263843,264903,284626,242719,272190,319532,480279,630764
227503,304847,264200,282267,252135,281423,341516,447631,690315
227844,249837,265415,281558,238801,262567,328841,664403,950758
235177,255767,263472,277237,255432,282383,330958,474910,793056
227680,248372,284859,276761,241957,267107,336348,456445,745948
238321,248703,265932,276281,252821,272002,326155,414604,691253
226196,255793,258774,285303,249479,260106,321940,449366,723226
227077,260204,258787,274015,250970,258035,326255,520468,747777
225043,247653,264542,274217,251797,273186,323806,531410,737776
229823,249477,262190,279811,238300,264197,350106,488097,978761
227307,250047,332722,275415,243309,258031,335576,464958,810357
228531,260101,292683,276321,259903,261217,345738,492034,721484
236701,250026,278160,269103,225993,257019,343725,483227,753883
217937,249720,272274,267428,251229,259157,326813,483590,864558
230676,250305,276435,270203,252233,265792,338719,474283,780162
217303,260087,286242,273329,257074,257852,338359,480483,868145
220742,241609,283140,281970,255297,267014,349484,463814,877570
217352,245155,286656,274926,239117,260724,308188,473464,979542
219296,251894,289036,270268,254488,257706,329626,492409,838152
216962,242922,274880,265294,250778,256531,336711,472639,772763
218006,236002,275725,275911,248611,256822,340619,477099,1186458
215673,237423,277320,286126,231352,261722,337903,473349,842786
218744,244142,279630,286616,259969,267131,341565,478275,897601
216207,247838,282128,274718,242576,258633,343215,477502,1427405
218163,240136,286090,278334,251104,263055,485723,448064,817864
224730,332732,281522,278282,268009,263490,325774,631077,963000
216642,341746,269155,276204,249909,246672,308128,465094,811806
223386,239268,264505,284968,254965,256145,295375,419992,806010
217753,235899,287407,276475,259345,246443,317050,437809,1170899
227276,231585,272420,276244,257000,252249,293535,463275,749527
217686,232430,292492,277406,273333,269987,294334,467007,779388
226841,241612,259511,278203,251263,254606,287035,444047,1138885
218210,230310,285737,284502,253825,278860,316087,454394,900628
219308,228348,260612,283657,250910,266418,303251,451135,796330
209872,226847,269733,275877,264051,263080,304087,448834,684301
209107,229602,270974,275487,267772,267108,277633,483635,685672
207268,240357,296050,278851,241036,271123,299931,470860,683492
209046,227554,290194,284666,247323,249863,282365,474357,642013
208124,229163,273035,284918,238579,253821,288612,468300,668683
210506,228236,219294,276957,236451,262797,297068,457822,884673
208380,227754,219123,274600,264217,279828,289179,453076,1274857
209817,235995,218786,274655,248322,265617,276889,465655,717991
208267,226679,279373,296214,264930,266482,302897,453844,683929
209924,237094,220192,302303,266673,264472,305335,439247,903885
207741,226295,218766,273776,241727,261587,293386,457964,750653
211712,199069,225442,291089,250654,261519,291974,461171,791158
206816,181873,217894,275427,267161,257113,322779,450767,862177
210547,182539,218187,275607,245677,276969,291924,463221,1187111
206668,181281,278144,290117,228186,246614,315421,621472,851453
210334,183671,229156,276587,251377,268529,309060,470848,704696
208655,181739,220279,291546,251436,263644,302227,433564,660501
212779,182631,218090,277891,260898,253867,282916,467623,713977
208190,179992,287735,274960,258719,280263,333936,487392,738061
208335,191002,221973,290856,234878,270258,321768,451337,640298
206764,179729,212431,294844,252484,261393,326928,433544,628588
199713,190746,212906,274412,241949,249545,332346,456253,870875
198492,178080,211679,283274,232322,271814,310645,445252,1053786
201824,179581,222642,278780,255686,265417,314084,428903,667772
201375,182633,212007,286545,250477,273094,344620,466724,601570
202746,178496,211542,281611,239567,274478,321094,434978,613342
201117,181659,211569,275805,242326,265488,354265,436491,605060
202132,180588,209682,272941,252919,263321,316157,458484,615343
200855,186847,211484,272397,254298,272403,328895,453299,1135464
201209,178213,210974,278545,249505,264904,341537,431289,725932
201536,180951,219418,291062,261799,259276,317599,466515,676697
202533,180602,210800,296259,260837,260289,322565,455035,664152
202767,188858,210742,277728,237351,250739,342289,435983,605791
203411,179956,213221,274138,240300,270527,355423,447200,649169
199201,187949,218784,274433,250065,245253,331389,440690,600632
200751,174856,214009,294261,255970,261847,348049,438208,677939
199111,187108,204558,284578,228238,273398,443452,456300,887107
202029,175243,222501,280977,259681,282957,323160,650765,918090
200294,175711,211760,275086,259133,248517,327286,410969,715296
201724,176972,212763,275636,253172,260616,343353,395438,687959
199779,175793,214184,300798,250107,291225,320456,428134,732096
202783,175380,219452,286586,238251,264117,326740,427190,964849
198908,175618,212156,273336,246213,269177,331990,473603,809402
203892,188134,211311,272962,261159,265323,310963,485659,733625
192407,177254,221450,282531,242023,264029,314887,450397,1207769
195802,184224,211755,275945,253460,289896,314125,484898,810038
194330,176277,205203,299329,237785,271552,335100,477798,710943
201734,175556,206834,278956,251462,270138,315780,490535,679362
192837,175314,223822,274740,241054,242645,322212,513592,794309
202305,175014,218685,286552,249243,277976,336310,542045,685074
193072,175525,208170,284138,241070,281315,326116,506006,691911
202025,176672,226862,288171,245317,249095,343750,510404,864335
194614,176953,224893,281654,260098,272570,328156,477397,743472
201034,175661,211598,282657,243990,257291,306998,480451,694399
193651,180421,221611,278550,257869,245860,324184,482558,652782
191636,173980,213416,274377,262405,273682,326939,512541,642525
193217,185336,213870,292289,245853,258027,332498,497112,637348
191862,174298,208171,283729,247712,266754,305075,523210,663258
193811,175918,201788,276184,224013,244342,326974,523563,854922
193250,176683,217566,280397,258733,276836,322353,500610,762711
193137,175980,212121,271357,235581,273934,312326,689932,627436
193794,183992,215548,286693,258202,247041,321977,579046,645121
194980,174872,207250,283149,241010,259012,318090,548152,586261
192578,176836,217101,275476,249992,251222,332304,522746,592451
194728,174832,226831,273854,240192,258682,301767,521442,669764
192659,182653,219947,277316,254828,247499,301708,458614,634609
204158,173427,215858,273068,241283,269576,324584,495433,865337
186552,185850,207143,285846,248224,267707,313068,511913,736384
194503,176266,198878,272889,262259,263624,350552,530465,640616
188239,173740,219420,272305,240576,252375,310181,477102,670107
186251,174765,214659,274344,246633,242953,336667,487688,598036
189117,175114,217390,280733,229387,276843,306119,462087,628602
187198,174113,210330,288181,238377,270798,332010,503426,599355
188657,174921,208156,296327,238182,264621,353230,486455,621674
187672,183308,215162,276258,246183,282674,343872,541701,894420
188170,175609,197306,275106,261154,261558,327331,504626,761216
186611,187386,212677,274224,246432,259256,326153,513366,719885
187671,178201,212618,278214,243498,274115,334230,505552,1205981
187596,175255,205288,285198,244828,266029,326860,501486,758610
194120,174997,210542,284953,263269,255900,310927,505624,740880
186716,176044,215090,282063,257271,255813,333375,546346,1182891
192875,175745,199897,277466,249959,269107,320233,462526,836418
185808,175513,207763,276686,255409,259068,329269,504323,761310
185547,177776,206063,285374,255126,255647,310322,707356,1161923
187381,176560,204921,277669,251872,268674,327785,591018,725996
185416,189568,197924,275574,257498,240962,323004,512807,732521
188165,175168,207729,276144,251210,270882,334956,530566,1162245
184820,187075,227422,273575,245763,342324,319554,524239,728108
194210,175359,214992,295803,259489,307415,333956,490927,701812
187601,174889,218527,284053,255223,260957,321336,493758,1392388
194973,175180,217899,275327,240829,266500,372227,485383,767279
194260,175748,212866,276550,265396,277840,565405,489542,759896
180503,176995,217607,275676,249259,251548,382056,481860,1143312
182210,175386,210344,274947,261078,269303,297897,480085,708326
177716,176100,201587,281756,260245,261455,302884,495747,742341
180876,175037,218572,277019,248216,257926,313563,435508,1150611
178947,181105,218768,273909,267123,303431,303682,452710,745352
188070,174887,228261,274619,259275,265289,322508,446432,838951
177848,176326,215998,276520,261500,281231,315331,446136,790523
186262,176341,215817,286494,253113,246725,281606,476028,768496
179180,176148,229882,284363,223984,265883,295236,462425,691566
178281,177985,202256,279816,244919,254717,297036,447771,665038
179774,174634,206313,275915,247267,260702,309583,462887,666733
179968,175309,214635,274746,244543,271900,307758,469297,633038
181633,174428,221827,285458,259637,270694,311093,445375,952161
180338,183155,218799,287953,244817,250800,290339,468325,785388
188305,175787,214411,277210,233269,290667,305794,651361,715366
180144,184771,245922,288439,239064,264700,297780,469952,679033
181167,175525,216281,274431,237008,265954,290885,449748,665578
182403,175899,219807,282148,254076,270760,286352,507332,666707
180431,176362,235538,286063,258534,274331,316347,585251,884915
182051,173786,220045,275589,232656,256901,310137,461705,898367
179313,176489,207625,287929,236686,247285,300753,431335,766599
184328,173987,234376,278740,243283,256072,319802,473599,720030
181691,176058,219593,276032,257078,295449,334414,449851,1170542
189614,174939,207502,327212,245177,264029,298043,452318,688674
180042,186964,232240,278269,239439,257917,310994,464416,623954
175222,174984,219263,275773,256142,262560,294765,517449,626628
176805,185662,216980,293103,256550,262996,307236,467623,748695
174469,176630,208737,274254,252680,275382,310510,483323,1402934
177320,175772,225014,286999,251119,275704,313769,474957,742474
175302,175727,200547,292738,255182,277633,323958,464411,672982
180928,175794,227980,256503,240025,247247,331041,488176,629135
175117,173853,220546,276049,241732,255646,313350,470163,716092
174275,175294,209139,274968,251418,291460,328441,465213,1148203
175542,186563,214825,276271,235274,257689,303905,477657,672399
174911,190241,213447,286551,238500,269539,336992,481464,684817
175606,187540,216397,275879,239428,246988,310787,467457,922010
176581,175585,220896,280144,241026,260562,327584,465532,826262
182491,174796,218880,277816,236432,264967,328628,648308,1246653
174492,177900,234969,274762,253352,248373,322568,483899,769216
174038,174930,231575,284601,246045,293355,295830,433876,672904
175661,175755,227832,277320,242058,249418,347698,432191,659526
174991,176610,207974,278213,242060,255362,315772,464852,826079
183992,178646,203246,276507,245424,268742,313461,434496,1621551
174741,175455,210827,275244,240643,269681,295346,454984,924255
180542,186424,215529,286141,250098,262954,326829,461505,761840
175011,178381,216879,286431,246860,267118,333031,493751,699211
