,FP32 eager b16
0,3476308
1,556442
2,284667
3,292961
4,278943
5,282768
6,281084
7,284580
8,280669
9,280424
10,278224
11,278335
12,272901
13,281075
14,276695
15,279819
16,275393
17,276744
18,282762
19,282705
20,272253
21,276552
22,279811
23,274135
24,290483
25,277673
26,286880
27,274424
28,286760
29,283244
30,283912
31,275957
32,293262
33,274718
34,285659
35,275901
36,294703
37,282403
38,287954
39,276252
40,280227
41,268090
42,289476
43,274519
44,284767
45,267000
46,284332
47,275518
48,297976
49,266699
50,282818
51,276703
52,293080
53,270329
54,287062
55,269157
56,284619
57,276456
58,287936
59,272703
60,280465
61,271786
62,295597
63,273176
64,278251
65,269941
66,286721
67,271389
68,280946
69,279212
70,287962
71,270561
72,276165
73,279290
74,275913
75,269985
76,276604
77,266470
78,272250
79,276994
80,277508
81,277910
82,270623
83,266642
84,273932
85,272183
86,279574
87,267168
88,270111
89,273790
90,274102
91,266323
92,270101
93,271565
94,271659
95,270314
96,275175
97,271870
98,278891
99,273522
100,267194
101,274831
102,277299
103,267827
104,270418
105,270132
106,271695
107,266865
108,275324
109,275974
110,267229
111,271030
112,270587
113,271823
114,275337
115,272572
116,272584
117,278389
118,274553
119,275652
120,267699
121,279220
122,271192
123,266998
124,270601
125,272469
126,271490
127,270485
128,273610
129,270488
130,268697
131,272906
132,276163
133,271323
134,272324
135,278190
136,272242
137,266036
138,269904
139,272417
140,275288
141,265899
142,276906
143,265266
144,278477
145,267043
146,296586
147,272501
148,276119
149,270787
150,286618
151,265933
152,276170
153,264932
154,273631
155,263225
156,277568
157,274338
158,278753
159,265150
160,284508
161,266434
162,282195
163,266110
164,277702
165,275423
166,273929
167,268806
168,283891
169,267554
170,276261
171,269128
172,286531
173,264651
174,276781
175,262558
176,277963
177,263091
178,278177
179,265745
180,267810
181,275114
182,265440
183,275997
184,265544
185,270515
186,274105
187,267672
188,264364
189,269338
190,266345
191,280919
192,270582
193,283504
194,264916
195,270242
196,262978
197,262999
198,262962
199,264803
200,259259
201,264206
202,264906
203,271467
204,265647
205,267719
206,269215
207,272967
208,267657
209,264714
210,258941
211,267752
212,264391
213,280725
214,271338
215,269179
216,239777
217,250736
218,242654
219,237481
220,239567
221,241442
222,255351
223,238738
224,251798
225,238544
226,238720
227,241337
