,FP32 FX b16
0,634569
1,318475
2,325592
3,280597
4,274924
5,302969
6,275644
7,274969
8,272480
9,272801
10,272071
11,279653
12,271097
13,290887
14,280188
15,283704
16,272174
17,272755
18,273090
19,272597
20,273730
21,278143
22,272028
23,271962
24,275212
25,268683
26,276532
27,267574
28,274534
29,270457
30,280799
31,274859
32,271655
33,270294
34,278155
35,283941
36,271337
37,286729
38,279646
39,282947
40,268957
41,264082
42,272616
43,268601
44,278282
45,267607
46,271313
47,270246
48,294233
49,270704
50,280615
51,271070
52,284684
53,281557
54,291408
55,269961
56,270271
57,269764
58,270088
59,273599
60,264854
61,284213
62,270914
63,279595
64,275385
65,278564
66,271003
67,266952
68,262265
69,266783
70,271074
71,269553
72,281097
73,273618
74,276892
75,271873
76,283742
77,272226
78,267873
79,269214
80,265857
81,276124
82,267440
83,279143
84,279081
85,282335
86,270284
87,280748
88,277407
89,281574
90,278703
91,270569
92,272279
93,268832
94,266639
95,281678
96,287015
97,267340
98,278465
99,264897
100,276966
101,269720
102,261060
103,276558
104,265273
105,271038
106,265353
107,279245
108,266164
109,277703
110,276744
111,276595
112,265848
113,269079
114,270604
115,267178
116,262799
117,269664
118,280379
119,270305
120,274202
121,273363
122,276043
123,266342
124,275749
125,266520
126,263136
127,263458
128,271242
129,274274
130,264406
131,274215
132,267439
133,266673
134,265481
135,266908
136,273036
137,269226
138,274803
139,275703
140,275812
141,262146
142,276407
143,264572
144,262988
145,265064
146,265576
147,275016
148,264782
149,277947
150,261808
151,288938
152,263403
153,280353
154,268172
155,264242
156,270085
157,265842
158,269600
159,270301
160,279968
161,264768
162,273043
163,268741
164,272870
165,267152
166,268244
167,265962
168,266292
169,281884
170,280729
171,275246
172,274128
173,275448
174,263667
175,270593
176,263537
177,261374
178,267967
179,264477
180,272747
181,266244
182,269724
183,263702
184,274446
185,274498
186,267608
187,273786
188,269584
189,264925
190,266016
191,272647
192,262686
193,273034
194,267360
195,276260
196,262024
197,267241
198,266962
199,263489
200,280104
201,265547
202,278166
203,257466
204,275349
205,262871
206,264881
207,262930
208,266397
209,263984
210,268220
211,281182
212,264795
213,278721
214,269410
215,277988
216,270006
217,266463
218,263708
219,264276
220,268239
221,259631
222,272236
223,263175
224,274801
225,268585
226,278457
227,265570
228,267258
229,266475
230,262338
231,272882
232,264193
233,277937
234,259868
235,272038
236,262472
237,265125
238,268135
