,SHIR FX b16
0,964062
1,1009203
2,973015
3,989087
4,965653
5,965201
6,983610
7,995834
8,978591
9,982593
10,971392
11,985559
12,969579
13,983115
14,978638
15,983245
16,992144
17,989794
18,986413
19,993957
20,981823
21,1004118
22,1005112
23,984326
24,986135
25,999173
26,984637
27,1004925
28,1002629
29,996896
30,1004209
31,995884
32,984892
33,998385
34,979686
35,1005837
36,995314
37,989377
38,993447
39,996444
40,1001777
41,995010
42,993906
43,993324
44,982932
45,1000273
46,984180
47,990328
48,996686
49,990649
50,986358
51,994136
52,1014033
53,1011021
54,1009013
55,999806
56,996962
57,1009923
58,1008535
59,1005257
60,1002181
61,1022892
62,1009780
63,1008137
64,1010599
65,1003946
66,997786
67,1002766
68,1007457
69,1011193
70,992925
71,1002370
72,1017010
73,1019684
74,1006601
75,1022811
76,1007235
77,1006740
78,1017885
79,1000810
80,1016195
81,1005477
82,1006702
83,998452
84,1004634
85,1000687
86,1021146
87,1002103
88,1003045
89,1001044
90,1000520
91,1014899
92,1017643
93,1003431
94,1010842
95,999899
96,1005449
97,1011279
98,1013750
99,998118
100,1005784
101,1011776
102,994141
103,1008215
104,1012452
105,1004452
106,1011827
107,1012224
108,1001780
109,1014704
110,1023687
111,997545
112,1009913
113,1006252
114,1023381
115,1003584
116,1016672
117,1001681
118,1020600
119,1011478
120,1023767
121,1012783
122,1004362
123,1003235
124,1004855
125,999745
126,1009517
127,1018209
128,1010969
129,1015327
130,997667
131,1004856
132,989753
133,996019
134,1011276
135,1017405
136,997181
137,1006881
138,1034827
139,1002315
140,995628
141,998844
142,990474
143,1001820
144,1018224
145,1000118
146,1000164
147,1007185
148,999909
149,1002850
150,1011539
151,995223
152,1013509
153,993638
154,1010568
155,1002900
156,1004842
157,1012092
158,1025527
159,1008060
160,1011411
161,1006416
162,1015483
163,995511
164,1000109
165,1001240
166,1004914
167,997627
168,1004612
169,1012458
170,998638
171,1006935
172,997738
173,996442
174,990460
175,1004186
176,1003242
177,1002211
178,999703
179,999522
180,984492
181,1009639
182,1004885
183,1010207
184,1006239
185,1023469
186,1003470
187,1006117
188,997638
189,1006928
190,1006530
191,1012199
192,998686
193,1013331
194,1011313
195,1004378
196,1002864
197,1018404
198,1004914
199,1017551
200,1025968
201,1011759
202,995068
203,994834
204,1005544
205,1008664
206,990092
207,1001292
208,998095
209,1024692
210,1005962
211,1012723
212,1002962
213,1009431
214,996131
215,990008
216,1011480
217,1014523
218,1014030
219,991513
220,1014572
221,1016403
222,1014310
223,1002016
224,1003859
225,1002777
226,995415
227,1012057
228,1024336
229,1012137
230,1013296
231,1002744
232,992131
233,1009831
234,1006688
235,1008488
236,1005272
237,998175
238,992399
239,1006113
240,1000081
241,1005832
242,994795
243,1009846
244,1010269
245,1002495
246,1004461
247,1007154
248,994002
249,1000726
250,1015914
251,994675
252,1009962
253,994192
254,1004812
255,1010463
256,1001493
257,1008249
258,1019631
259,1005357
260,1000694
261,1005403
262,1003589
263,1013691
264,1006789
265,1011792
266,996155
267,1010378
268,997622
269,1001867
270,991038
271,1022180
272,1022719
273,1015478
274,1012699
275,1011721
276,1003215
277,1005016
278,993802
279,1012038
280,1009287
281,1001029
282,990573
283,1014090
284,1006532
285,1013047
286,1005597
287,1000544
288,999780
289,1016590
290,1000946
291,1007545
292,1008029
293,1008578
294,1023054
295,993153
296,999621
297,1005113
298,1002243
299,1004722
300,1002081
301,1003631
302,1014562
303,1012057
304,1009674
305,1003935
306,1005870
307,987801
308,1009497
309,1005914
310,1001001
311,1006614
312,1004520
313,1003411
314,1009727
315,1000610
316,1012347
317,1011039
318,1000078
319,1016008
320,1013754
321,1017050
322,1008756
323,1012320
324,1007623
325,1002579
326,1010406
327,1003289
328,1015603
329,1018334
330,997616
331,1008334
332,1006243
333,1002638
334,1034392
