,SHIR inductor b16
0,8544081111
1,1605892
2,1514613
3,1513507
4,1436134
5,1424801
6,1431108
7,1417014
8,1435247
9,1445559
10,1328382
11,1321784
12,1332971
13,1321533
14,1326600
15,1325087
16,1313269
17,1273548
18,1269306
19,1273786
20,1238099
21,1271751
22,1248333
23,1234489
24,1196176
25,1192878
26,1174757
27,1206870
28,1181350
29,1182371
30,1185844
31,1123676
32,1127035
33,1119811
34,1123180
35,1126906
36,1117361
37,1126935
38,1099277
39,1069057
40,1079722
41,1065558
42,1076118
43,1075052
44,1069727
45,1069946
46,1059097
47,1019912
48,1033364
49,1036709
50,1031198
51,1024946
52,1020780
53,1023957
54,1040448
55,947874
56,954685
57,955294
58,952703
59,968976
60,982659
61,967577
62,960347
63,976518
64,941125
65,926240
66,926469
67,922809
68,917400
69,915532
70,919913
71,930824
72,932057
73,933797
74,906011
75,913089
76,919255
77,914719
78,920129
79,917365
80,910025
81,904686
82,918926
83,866895
84,866091
85,876826
86,880972
87,885913
88,873090
89,873035
90,856996
91,873083
92,874728
93,838154
94,857610
95,842347
96,844845
97,847061
98,840308
99,1503784
100,919972
101,845172
102,840653
103,814434
104,827019
105,819186
106,815871
107,825101
108,814061
109,814124
110,820059
111,814086
112,820345
113,812746
114,794088
115,791158
116,799962
117,788742
118,789675
119,795773
120,790645
121,794266
122,795591
123,794846
124,794060
125,774767
126,772851
127,768581
128,769465
129,768718
130,780472
131,768884
132,776019
133,767368
134,771864
135,767011
136,774466
137,758684
138,779909
139,781475
140,783494
141,775401
142,782162
143,781751
144,780813
145,775809
146,780134
147,776674
148,782137
149,774928
150,764961
151,764741
152,745394
153,771105
154,764562
155,772935
156,761715
157,774786
158,765986
159,773409
160,774141
161,773846
162,776042
163,773349
164,774390
165,772579
166,786321
167,779655
168,783599
169,781008
170,778713
171,782872
172,784277
173,777497
174,770592
175,773982
176,782996
177,781293
178,769603
179,786415
180,774045
181,763204
182,772789
183,773985
184,773312
185,763525
186,768023
187,758654
188,763514
189,772681
190,767955
191,768512
192,765988
193,776125
194,774800
195,774037
196,775499
197,778859
198,774972
199,778697
200,784541
201,780804
202,780170
203,773112
204,774565
205,785073
206,778095
207,793814
208,789933
209,770176
210,777565
211,776594
212,783299
213,783613
214,775474
215,770996
216,776994
217,770760
218,774600
219,779591
220,776613
221,779248
222,761644
223,766055
224,774120
225,764277
226,767149
227,771936
228,770959
229,765193
230,774335
231,770611
232,774484
233,775426
234,775901
235,785896
236,777953
237,772996
238,776832
239,777639
240,780200
241,786058
242,778212
243,777945
244,777343
245,789262
246,778176
247,776206
248,782854
249,778200
250,775691
251,782913
252,789497
253,815902
254,791540
255,772336
256,783587
257,774280
258,781070
259,780506
260,775649
261,758196
262,776137
263,770823
264,764046
265,770199
266,763734
267,778166
268,770539
269,763343
270,767852
271,766167
272,777252
273,780048
274,768726
275,783603
276,778024
277,774061
278,782542
279,781593
280,784199
281,783858
282,774156
283,775335
284,777144
285,775890
286,771188
287,757410
288,767705
289,772456
290,784801
291,780032
292,759538
293,777512
294,773657
295,772979
296,761008
297,753731
298,767512
299,778400
300,767055
301,762223
302,756944
303,771861
304,771992
305,779534
306,783406
307,778969
308,762591
309,779013
310,783575
311,775431
312,774383
313,773743
314,776769
315,780234
316,784742
317,765002
318,765740
319,775467
320,780213
321,772553
322,767653
323,782329
324,778402
325,781865
326,769667
327,763604
328,759324
329,775447
330,775205
331,763661
332,770785
333,768218
334,775952
335,763778
336,761574
337,765847
338,770763
339,778447
340,779486
341,760426
342,764916
343,764922
344,761513
345,777471
346,780156
347,768063
348,774309
349,775691
350,779996
351,780886
352,786898
353,780237
354,763993
355,786742
356,750673
357,768915
358,781560
359,761582
360,775694
361,776099
362,774347
363,784229
364,769060
365,767692
366,764088
367,766004
368,763036
369,766112
370,765953
371,749718
372,777865
373,774011
374,772399
375,775635
376,771220
377,774169
378,774323
379,775471
380,778786
381,781767
382,778635
383,778360
384,775534
385,774812
386,778485
387,779275
388,771208
389,780587
390,781748
391,784560
392,778189
393,775012
394,779719
395,757375
396,768638
397,773279
398,773697
399,767476
400,765010
401,767026
402,769928
403,764455
404,752416
405,745556
406,786216
407,777211
408,761965
409,781686
410,761475
411,775504
412,774568
413,781700
414,769278
415,784908
416,777964
417,779122
418,781736
419,786135
420,779250
421,782090
422,784177
423,777358
424,787688
425,774165
426,784108
427,760864
428,769034
429,773431
430,776152
431,764660
432,770466
433,764895
434,761979
435,768674
436,768958
437,767498
438,766428
439,776512
440,778215
441,775371
442,778224
443,776689
444,778402
445,773456
446,763001
447,782529
448,779309
449,777180
450,777674
451,781382
452,775014
453,779731
454,792827
455,770112
456,780535
457,782997
458,778147
459,781780
460,774651
461,777756
462,770019
463,774491
464,769042
465,778265
466,767752
467,764275
468,769652
469,764529
470,766285
471,772980
472,769306
473,765736
474,780578
475,774651
476,772164
477,773663
478,766519
479,769502
480,770265
481,757037
482,784098
483,772275
484,773674
485,766591
486,777844
487,775300
488,770696
489,770701
490,781788
491,778259
492,788270
493,777461
494,776510
495,763548
496,774132
497,778136
498,763049
499,768758
500,764050
501,765646
502,766365
503,765184
504,767949
505,766142
506,773443
507,773367
508,776543
509,783862
510,780495
511,774217
512,777756
513,773035
514,778148
515,771107
516,780886
517,780153
518,787867
519,781576
520,782404
521,771668
522,754159
523,782534
524,786166
525,774318
526,764650
527,763421
528,776023
529,773128
530,786835
531,748606
532,751945
533,771048
534,768318
535,762041
536,762861
537,763271
538,763522
539,770774
540,785646
541,778972
542,776244
543,782819
544,779945
545,781388
546,783953
547,781923
548,774541
549,777484
550,767761
551,776384
552,775303
553,772371
554,744363
555,775086
556,779940
557,770815
558,777337
559,770575
560,782291
561,756043
562,776833
563,760795
564,768980
565,768249
566,765886
567,759992
568,773447
569,775405
570,764259
571,782283
572,776440
573,773911
574,783776
575,779241
576,777739
577,782515
578,781279
579,779199
580,786325
581,782067
582,779263
583,777503
584,770996
585,773395
586,775320
587,776132
588,776248
589,777996
590,781875
591,771080
592,764324
593,775676
594,748521
595,777377
596,778280
597,760526
598,763127
599,752927
600,762830
601,768129
602,770757
603,769637
604,765061
605,773388
606,774540
607,787209
608,776105
609,756423
610,779217
611,773942
612,739240
613,784355
614,770860
615,771686
616,781266
617,790106
618,777325
619,792131
620,770030
621,776848
622,780272
623,773582
624,777576
625,777333
626,780117
627,766974
628,771178
629,774901
630,766075
631,731593
632,752763
633,762424
634,765249
635,761478
636,779395
637,779663
638,765659
639,782007
640,788202
641,780981
642,772087
643,760762
644,783774
645,788047
646,780283
647,772696
648,773758
649,770799
650,772298
651,760311
652,758358
653,775908
654,752283
655,775502
656,774896
657,777518
658,763154
659,776089
660,770857
661,768840
662,769819
663,762744
664,755207
665,773731
666,763521
667,789645
668,777463
669,775525
670,774970
671,761094
