,x86 FX b16
0,2974468
1,1764481
2,1757931
3,1748227
4,1747444
5,1827167
6,1785093
7,1748745
8,1762558
9,1745006
10,1749401
11,1742900
12,1814583
13,1751856
14,1749862
15,1734604
16,1826268
17,1735109
18,1747445
19,1751468
20,1758403
21,1746631
22,1728041
23,1718331
24,1715955
25,1722998
26,1715584
27,1731932
28,1736039
29,1733662
30,1721807
31,1722865
32,1732123
33,1721842
34,1726905
35,1726463
36,1715825
37,1717892
38,1706074
39,1708018
40,1714142
41,1716440
42,1720487
43,1718085
44,1711172
45,1741523
46,1722877
47,1741314
48,1735393
49,1734829
50,1724299
51,1721397
52,1722051
53,1725807
54,1724365
55,1551760
56,1609735
57,1601671
58,1582612
59,1600351
60,1584394
61,1604917
62,1578133
63,1603081
64,1581275
65,1590900
66,1579132
67,1590822
68,1601297
69,1584934
70,1573459
71,1591199
72,1593854
73,1588696
74,1577683
75,1580917
76,1585854
77,1585897
78,1570889
79,1587299
80,1589154
81,1581916
82,1576213
83,1577432
84,1581945
85,1571641
86,1580514
87,1585454
88,1576060
89,1578539
90,1571449
91,1579472
92,1580318
93,1571907
94,1589672
95,1580871
96,1587214
97,1569777
98,1571475
99,1579966
100,1586443
101,1577203
102,1578395
103,1584504
104,1588281
105,1578220
106,1579227
107,1587738
108,1588181
109,1578878
110,1582578
111,1590024
112,1581778
113,1580787
114,1567218
115,1573789
116,1587917
117,1601096
118,1615472
119,1620761
120,1622803
121,1601467
122,1606465
123,1621110
124,1613675
125,1614765
126,1609479
127,1617564
128,1612270
129,1611461
130,1603001
131,1595847
132,1612453
133,1620406
134,1611640
135,1610388
136,1599338
137,1616663
138,1608529
139,1608613
140,1590856
141,1612035
142,1612125
143,1616750
144,1608047
145,1601535
146,1605979
147,1625635
148,1601015
149,1602409
150,1615617
151,1614075
152,1607058
153,1605352
154,1593679
155,1617847
156,1611465
157,1606315
158,1603223
159,1609217
160,1605287
161,1624200
162,1576370
163,1600821
164,1621545
165,1615790
166,1613196
167,1616671
168,1607993
169,1604180
170,1600445
171,1594854
172,1596553
173,1617435
174,1609848
175,1614717
176,1601257
177,1635655
178,1607815
179,1609371
180,1607494
181,1603812
182,1609069
183,1605572
184,1597107
185,1615551
186,1604413
187,1606683
188,1620592
189,1599774
190,1604692
191,1604437
192,1607815
193,1605389
194,1609720
195,1622113
196,1614491
197,1600250
198,1603178
199,1608342
200,1616791
201,1614015
202,1602572
203,1610605
204,1613754
205,1621598
206,1592356
207,1609402
208,1600415
209,1609970
210,1601782
211,1597517
212,1602636
213,1613603
214,1613212
215,1601847
216,1594598
217,1604866
218,1638309
219,1611743
220,1585455
221,1606901
222,1599631
223,1624157
224,1609992
225,1608618
226,1603088
227,1613390
228,1595965
229,1592066
230,1602064
231,1612093
232,1617038
233,1615206
234,1601093
235,1610558
236,1620362
237,1609678
238,1596099
239,1602180
240,1604289
241,1602944
242,1611526
243,1614145
244,1609477
245,1610031
246,1611470
247,1600724
248,1604753
249,1609491
250,1608992
251,1609118
252,1597431
253,1613069
254,1609866
255,1608745
256,1620526
257,1609788
258,1619880
259,1614361
260,1616596
261,1593799
262,1605786
263,1608066
264,1604960
265,1600049
266,1607785
267,1604467
268,1605650
269,1605633
270,1598743
271,1618332
272,1617835
273,1616307
274,1599136
275,1605945
276,1613376
277,1609670
278,1608893
279,1843083
280,1755147
281,1755979
282,1768591
283,1552931
284,1617018
285,1606096
286,1604566
287,1596841
288,1612566
289,1612637
290,1622644
291,1605901
292,1607085
293,1614438
294,1606636
295,1604404
296,1602027
297,1605473
298,1629050
299,1610005
300,1601227
301,1594894
302,1609035
303,1625656
304,1603506
305,1599380
306,1601437
307,1608949
308,1597373
309,1598409
310,1602255
311,1600734
312,1613398
313,1593012
314,1599471
315,1629924
316,1617853
317,1611626
318,1601522
319,1804871
320,1769286
321,1574329
322,1613130
323,1615045
324,1597579
325,1613392
326,1612959
327,1619947
328,1610372
329,1609818
330,1606008
331,1602704
332,1610122
333,1601093
334,1603251
335,1605628
336,1607786
337,1604547
338,1606820
339,1614298
340,1610025
341,1604934
342,1605547
343,1610292
344,1609086
345,1603737
346,1610071
347,1596296
348,1598426
349,1611216
350,1609021
351,1600748
352,1603613
353,1616784
354,1600033
355,1609672
356,1599345
357,1603930
358,1609814
359,1734334
360,1762871
361,1719144
362,1605507
363,1596831
364,1606001
365,1601612
366,1602214
367,1591013
368,1618594
369,1608965
370,1620095
371,1602871
372,1628740
373,1606442
374,1611762
375,1603010
376,1602260
377,1603390
378,1609370
379,1613784
380,1609879
381,1610917
382,1604843
383,1608308
384,1595460
385,1605540
386,1605221
387,1602490
388,1596470
389,1604530
390,1605249
391,1610932
392,1608214
393,1593445
394,1612729
395,1615011
396,1612713
397,1597992
398,1607075
399,1641923
400,1783835
401,1716821
402,1616849
403,1608812
404,1607338
405,1603942
406,1610231
407,1610796
408,1591400
409,1611819
410,1609551
411,1610452
412,1602162
413,1597678
414,1607382
415,1606431
416,1612921
417,1598466
418,1607484
419,1615072
420,1617612
421,1601757
422,1614459
423,1609213
424,1615866
425,1609694
426,1592431
427,1598898
428,1602674
429,1615961
430,1609167
431,1600488
432,1612455
433,1613996
434,1599815
435,1608659
436,1602406
437,1617461
438,1610023
439,1595774
440,1816022
441,1763726
442,1760407
443,1774846
444,1875612
445,1716379
446,1714799
447,1717198
448,1708717
449,1693159
450,1715943
451,1709582
452,1719110
453,1706831
454,1713782
455,1701873
456,1700803
457,1716096
458,1749791
459,1626075
460,1603452
461,1592373
462,1568446
463,1582210
464,1587365
465,1587744
466,1572216
467,1575284
468,1565678
469,1578239
470,1561824
471,1570235
472,1587362
473,1571585
474,1574741
475,1576043
476,1582103
477,1569970
478,1589764
479,1587362
480,1573063
481,1575791
482,1568540
483,1582818
484,1578852
485,1565034
486,1560398
487,1594735
488,1587181
489,1559813
490,1575946
491,1585656
492,1569465
493,1566614
494,1569840
495,1577616
496,1577145
497,1561095
498,1572627
499,1575032
500,1570590
501,1570172
