,x86 inductor b16
0,8872924651
1,2790045
2,2685771
3,2573872
4,2554474
5,2550564
6,2547315
7,2374002
8,2369694
9,2372402
10,2387724
11,2234937
12,2233703
13,2249280
14,2232312
15,2169102
16,2120657
17,2107011
18,2109172
19,2107498
20,2009721
21,2011521
22,2022485
23,2004049
24,1987281
25,1912255
26,1914509
27,1905073
28,1908000
29,1897484
30,1795572
31,1789190
32,1795221
33,1794772
34,1794986
35,1711630
36,1720533
37,1724975
38,1716221
39,1776197
40,1663116
41,1638426
42,1614816
43,1628689
44,1621452
45,1628207
46,1621769
47,1579320
48,1603387
49,1583781
50,1571255
51,1598473
52,1556235
53,1541950
54,1519632
55,1524280
56,1531102
57,1526943
58,1510455
59,1473340
60,1469948
61,1464740
62,1470916
63,1477584
64,1456569
65,1442281
66,1423047
67,1425957
68,1420062
69,1409510
70,1421144
71,1421620
72,1380839
73,1393782
74,1366852
75,1373784
76,1375251
77,1771593
78,3208183
79,1453015
80,1325001
81,1327398
82,1330240
83,1343014
84,1335410
85,1335725
86,1334993
87,1338924
88,1340358
89,1342696
90,1334117
91,1333905
92,1352511
93,1329447
94,1343297
95,1328594
96,1337048
97,1326497
98,1336282
99,1328364
100,1351120
101,1349597
102,1329823
103,1340406
104,1344961
105,1338679
106,1337174
107,1342087
108,1327990
109,1336313
110,1341291
111,1339999
112,1346032
113,1342241
114,1335564
115,1332868
116,1332290
117,1330942
118,1333755
119,1328042
120,1358309
121,1332888
122,1334645
123,1330616
124,1343448
125,1332522
126,1343284
127,1332817
128,1338772
129,1331690
130,1350771
131,1328150
132,1340892
133,1341469
134,1343772
135,1348565
136,1338132
137,1346432
138,1335780
139,1331965
140,1331287
141,1340623
142,1336408
143,1351576
144,1329086
145,1347142
146,1347695
147,1337216
148,1328984
149,1338373
150,1340393
151,1339353
152,1329356
153,1332107
154,1326042
155,1332055
156,1327367
157,1335087
158,1348124
159,1333385
160,1354613
161,1331315
162,1338229
163,1334224
164,1333640
165,1330737
166,1353304
167,1333071
168,1334998
169,1332261
170,1344944
171,1338005
172,1342151
173,1333553
174,1330446
175,1325047
176,1326211
177,1335485
178,1333179
179,1354462
180,1342157
181,1343511
182,1331029
183,1336110
184,1328917
185,1343473
186,1338468
187,1343542
188,1333271
189,1343003
190,1332030
191,1343441
192,1333407
193,1332558
194,1327926
195,1333051
196,1342447
197,1331952
198,1335416
199,1332739
200,1336715
201,1331592
202,1338917
203,1334814
204,1336526
205,1329497
206,1346583
207,1354624
208,1349826
209,1340432
210,1332446
211,1331618
212,1341001
213,1320153
214,1327168
215,1337641
216,1334725
217,1333375
218,1327814
219,1340605
220,1328072
221,1336933
222,1330877
223,1343451
224,1328651
225,1342685
226,1333102
227,1336374
228,1327707
229,1338458
230,1328751
231,1335283
232,1331086
233,1353342
234,1323709
235,1338299
236,1339626
237,1333527
238,1327558
239,1333239
240,1334799
241,1334905
242,1323124
243,1329366
244,1328865
245,1337820
246,1351110
247,1328015
248,1350803
249,1330228
250,1339175
251,1326300
252,1369736
253,1328888
254,1337358
255,1332612
256,1337500
257,1333714
258,1337148
259,1332981
260,1338109
261,1329019
262,1320513
263,1324694
264,1329415
265,1326514
266,1347651
267,1336753
268,1332551
269,1349404
270,1330680
271,1346344
272,1335669
273,1336768
274,1330674
275,1339183
276,1336745
277,1349472
278,1330531
279,1336392
280,1326733
281,1326019
282,1326639
283,1349710
284,1336515
285,1341795
286,1334789
287,1337186
288,1336676
289,1339040
290,1353291
291,1331848
292,1355570
293,1334586
294,1424670
295,2855036
296,1827339
297,1374923
298,1356082
299,1362261
300,1352225
301,1346990
302,1342420
303,1334633
304,1336220
305,1345085
306,1332966
307,1341462
308,1358103
309,1339495
310,1337254
311,1334657
312,1353107
313,1333670
314,1335221
315,1330426
316,1337958
317,1348357
318,1341720
319,1330867
320,1332622
321,1348150
322,1336377
323,1344245
324,1328698
325,1355126
326,1345507
327,1336995
328,1332471
329,1333848
330,1330373
331,1338847
332,1355118
333,1360283
334,1348357
335,1346593
336,1328132
337,1347825
338,1336894
339,1330391
340,1334683
341,1341721
342,1331205
343,1334824
344,1345781
345,1336102
346,1334914
347,1332022
348,1336046
349,1342873
350,1339345
351,1333952
352,1359282
353,1336020
354,1345015
355,1329029
356,1339075
357,1355053
358,1343439
359,1336189
360,1337039
361,1356170
362,1347383
363,1355699
364,1328982
365,1341417
366,1336102
367,1338670
368,1337831
369,1369666
370,1333668
371,1348370
372,1347845
373,1348988
374,1329232
375,1347359
376,1344930
377,1349580
378,1348999
379,1336293
380,1359153
381,1330763
382,1355112
383,1347270
384,1354890
385,1333212
386,1336825
387,1327492
388,1352843
389,1334940
390,1345853
391,1351630
392,1347648
393,1345881
394,1344653
395,1351770
396,1337030
397,1352049
398,1338123
399,1349894
400,1338188
401,1353196
402,1338527
403,1332451
404,1333936
405,1331387
406,1352746
407,1337378
408,1356817
409,1336214
410,1351891
411,1342072
412,1354288
413,1345030
414,1339801
415,1350421
416,1355225
417,1351966
418,1342273
419,1345811
420,1345004
421,1351183
422,1346398
423,1342395
424,1347559
425,1358085
426,1324938
427,1366394
428,1332127
429,1355646
430,1332081
431,1359748
432,1359619
433,1345728
434,1335699
435,1334526
436,1343369
437,1345227
438,1343806
439,1329519
440,1339351
441,1330493
442,1343806
443,1338371
444,1344491
445,1331263
446,1353524
447,1336381
448,1330249
449,1332505
450,1341883
451,1345635
452,1335072
453,1339165
454,1350134
455,1340137
456,1347177
457,1345450
458,1327013
459,1359187
460,1344150
461,1342807
462,1333915
463,1359388
464,1339196
465,1336235
466,1349598
467,1336750
468,1340515
469,1333157
470,1354096
471,1335527
472,1345198
473,1339784
474,1356569
475,1334343
476,1356976
477,1332961
478,1351316
479,1349740
480,1343597
481,1352238
482,1333069
483,1333704
484,1346970
485,1345590
486,1332961
487,1349294
488,1355061
489,1361523
490,1355611
491,1360586
492,1326644
