,FP32 eager b16
0,6732144
1,288564
2,253176
3,231101
4,235879
5,225296
6,223477
7,225045
8,222682
9,236837
10,221124
11,241623
12,224702
13,224644
14,238080
15,238141
16,227822
17,229120
18,244490
19,237732
20,239268
21,224765
22,239619
23,224628
24,227841
25,226296
26,223850
27,234902
28,222504
29,226450
30,234442
31,238566
32,231983
33,244255
34,218538
35,228585
36,221696
37,219772
38,230579
39,217485
40,228387
41,211193
42,215238
43,216768
44,216415
45,215659
46,216317
47,227047
48,226682
49,216776
50,221549
51,218125
52,231115
53,223446
54,250398
55,220394
56,224775
57,215948
58,213095
59,215986
60,215244
61,209052
62,212225
63,224437
64,209305
65,212112
66,231351
67,225908
68,221927
69,220215
70,240050
71,231010
72,224192
73,215633
74,230400
75,213976
76,215601
77,223640
78,222248
79,220579
80,226886
81,209389
82,212048
83,209889
84,212667
85,213394
86,226339
87,213275
88,211977
89,215180
90,224218
91,213967
92,211139
93,220836
94,218252
95,209905
96,212753
97,212143
98,212263
99,206498
100,222922
101,211932
102,209283
103,224688
104,225002
105,227267
106,206674
107,214561
108,205540
109,214621
110,206827
111,206518
112,212853
113,221924
114,218706
115,213849
116,229896
117,228563
118,236560
119,219874
120,209275
121,229155
122,211023
123,219543
124,208128
125,202413
126,209670
127,212240
128,227289
129,208421
130,219719
131,209312
132,209503
133,231742
134,219980
135,217310
136,209657
137,215630
138,202079
139,201302
140,204705
141,202054
142,216051
143,217998
144,205826
145,204820
146,220937
147,232065
148,215228
149,211624
150,204742
151,212404
152,199495
153,200931
154,203248
155,210007
156,217074
157,216913
158,212052
159,214924
160,208065
161,204879
162,217547
163,235500
164,212423
165,201391
166,203986
167,202961
168,200752
169,198664
170,210692
171,195931
172,199251
173,200567
174,213112
175,223334
176,207224
177,221381
178,214389
179,206898
180,238188
181,215212
182,214880
183,209253
184,211260
185,204764
186,197266
187,199961
188,196450
189,225324
190,198614
191,207053
192,213838
193,236406
194,214405
195,212734
196,215063
197,215136
198,221299
199,228632
200,198198
201,197805
202,205367
203,211744
204,212415
205,197312
206,206241
207,194918
208,205895
209,197071
210,195319
211,200866
212,218616
213,227709
214,198084
215,213709
216,195079
217,195514
218,199734
219,192830
220,204613
221,192148
222,201786
223,195964
224,206680
225,210615
