,FP32 FX b16
0,641084
1,264673
2,254428
3,275869
4,250114
5,265697
6,242317
7,250036
8,245098
9,240438
10,250504
11,250730
12,258348
13,239952
14,244287
15,248103
16,244080
17,246328
18,243471
19,266788
20,242445
21,241594
22,241394
23,247321
24,254805
25,241558
26,243898
27,253471
28,236188
29,235836
30,245393
31,266256
32,235346
33,236069
34,230377
35,247598
36,252231
37,239915
38,246385
39,252689
40,238015
41,234786
42,250510
43,255970
44,234117
45,245405
46,235428
47,244410
48,237479
49,238443
50,248574
51,255701
52,237160
53,247547
54,234182
55,249349
56,238851
57,247729
58,226138
59,254760
60,231935
61,233555
62,243629
63,243352
64,231337
65,229590
66,230140
67,248497
68,234070
69,240102
70,227779
71,241090
72,242772
73,234341
74,244050
75,234384
76,234379
77,229902
78,233591
79,262753
80,240585
81,230168
82,224460
83,245818
84,237149
85,231090
86,227078
87,243893
88,231182
89,225249
90,228040
91,265074
92,228125
93,226980
94,223325
95,238914
96,240790
97,232321
98,229215
99,237714
100,230533
101,233368
102,231126
103,251268
104,224503
105,231366
106,239092
107,242823
108,240045
109,223252
110,221806
111,258583
112,232294
113,237639
114,217813
115,243015
116,227820
117,231354
118,237433
119,240916
120,229494
121,221451
122,224524
123,252708
124,226220
125,226822
126,221140
127,235633
128,235828
129,230952
130,221990
131,241523
132,229244
133,231161
134,239284
135,245155
136,223004
137,227012
138,231807
139,239900
140,238982
141,220145
142,225521
143,252255
144,223697
145,233049
146,219314
147,254927
148,221067
149,232297
150,236631
151,232618
152,220169
153,220377
154,225361
155,263136
156,221188
157,225377
158,218733
159,250679
160,239977
161,220853
162,217656
163,227479
164,222484
165,234673
166,219271
167,243984
168,217238
169,225378
170,245245
171,242679
172,224076
173,216649
174,221627
175,259686
176,229596
177,220681
178,216141
179,268041
180,230514
181,218824
182,219499
183,236274
184,225124
185,228276
186,220140
187,246375
188,220047
189,219158
190,226341
191,240094
192,222298
193,213395
194,223201
195,238244
196,223942
197,224620
198,213730
199,244156
200,221477
201,225072
202,221204
203,230613
204,225394
205,224641
206,223398
207,238797
208,214566
209,228106
210,227684
211,238320
212,222317
213,218593
214,222165
215,254560
216,239060
217,224738
218,215527
219,253102
220,227472
221,223461
222,217466
223,229256
224,222505
225,218413
226,214848
227,249699
228,219775
229,219328
230,224501
231,242079
232,222658
233,214191
234,219382
235,246241
236,218846
237,222182
238,212491
239,235246
240,228759
241,218603
242,218613
243,234470
244,218608
245,228053
246,215929
247,237678
248,214657
249,220282
250,224812
251,243396
252,221603
253,213094
254,219124
255,256632
256,220610
257,222463
258,210020
259,238280
260,228442
261,216004
262,219805
263,233336
264,221276
265,230864
266,218866
267,237750
268,214580
269,222421
270,238408
271,319043
272,311168
273,306639
274,298084
275,326293
276,299958
277,330758
278,295065
279,327229
280,316550
281,332328
282,315232
283,304655
284,335421
285,318766
286,303046
287,339589
288,316750
289,315835
290,298485
291,304998
292,314161
293,228060
294,220944
295,224986
296,220319
297,229287
298,209810
299,229078
300,215707
301,214957
302,222589
303,226490
304,213195
305,217582
306,206588
307,224545
308,208963
309,209775
310,220603
311,227506
312,212896
313,209044
314,208670
315,233940
316,207954
317,209418
318,207334
319,223046
320,222337
321,205179
322,218981
323,237678
324,217264
325,208940
326,205854
327,219965
328,220188
329,208592
330,205996
331,216520
332,210193
333,224021
334,207168
335,225499
336,208693
337,212250
338,220139
339,227791
340,218023
341,223353
342,209863
343,223671
344,213313
345,211890
346,214244
347,222188
348,209372
349,205919
350,209231
351,236793
352,212610
353,215632
354,206119
355,224530
356,226263
357,202671
358,210287
359,225836
360,225585
361,207657
362,205555
363,217868
364,217790
365,212276
366,211414
367,220805
368,211687
369,214091
370,211157
371,229717
372,208235
373,225674
374,221890
375,216818
376,220297
377,230161
378,208128
379,233366
380,207498
381,214370
382,215390
383,225755
384,211991
385,203895
386,211649
387,238219
388,208839
389,212810
390,207960
391,226229
392,225186
393,218039
394,212041
395,223187
396,220554
397,213759
398,204721
399,226248
400,219940
401,224392
402,211604
403,220565
404,215288
405,223272
406,215484
407,231735
408,207579
409,222779
410,220894
411,224815
412,214735
413,214575
414,211155
415,243155
416,209545
417,215473
418,217383
419,227011
420,212041
421,206217
422,210904
423,226649
424,213790
425,210414
426,217125
427,220202
428,223059
429,206470
430,206133
431,212703
432,209845
433,210939
434,203280
435,226652
436,209617
437,217862
438,210612
439,217603
440,213258
441,219262
442,204598
443,224019
444,292147
445,292715
446,304495
447,329177
448,296613
449,310984
450,302630
451,312159
452,305265
453,292211
454,335370
455,318893
456,294327
457,305297
458,298367
459,325367
460,305413
461,338637
462,308989
463,231582
464,220152
465,219296
466,211788
467,228274
468,223076
469,226801
470,222571
471,222188
472,215009
473,206688
474,209884
475,246176
476,211924
477,215508
478,200048
479,228485
480,1683746
481,280221
482,208859
483,225291
484,237790
485,211394
486,210064
487,220308
488,213088
489,211652
490,208935
491,231910
492,208719
493,209958
494,220709
495,226048
496,212595
497,203907
498,206751
499,244661
500,208413
501,218806
502,236210
503,229816
504,222484
505,203075
506,207805
507,226161
508,214671
509,212021
510,203894
511,234571
512,224224
513,211903
514,209470
515,224217
516,218708
517,221459
518,202564
519,238892
520,224684
521,213113
522,220849
523,220987
524,211675
525,216895
526,214159
527,228148
528,206630
529,220313
530,212921
531,228931
532,216961
533,206834
534,211671
535,246872
536,216374
537,237609
538,226562
539,242597
540,227905
541,208413
542,208397
543,219438
544,213419
545,224996
546,206507
547,229864
548,211675
549,218672
550,224647
551,228112
552,215405
553,215831
554,227303
555,237866
556,210298
557,212632
558,208660
559,227330
560,215055
561,205419
562,209986
563,243390
564,214279
565,219691
566,204823
567,233131
568,234258
569,203413
570,212466
571,233360
572,225279
573,239069
574,205946
575,231648
576,221833
577,211234
578,213102
579,226308
580,216640
581,214336
582,212672
583,230767
584,212219
585,211253
586,218499
587,236202
588,214561
589,216053
590,225731
591,235024
592,218021
593,207941
594,207441
595,230043
596,228788
597,205029
598,213930
599,233333
600,219380
601,218141
602,202190
603,231464
604,218869
605,211222
606,227187
607,219737
608,214678
609,222091
610,209934
611,229074
612,207320
613,211052
614,225305
615,292967
616,307142
617,308986
618,298338
619,331996
620,235717
621,217280
622,219144
623,241012
624,226864
625,206644
626,214303
627,242279
628,212465
629,218123
630,207676
631,234935
632,220494
633,219524
634,216587
635,214645
636,226909
637,227032
638,209203
639,229018
640,208565
641,217986
642,218571
643,233148
644,220354
645,211610
646,209923
647,249245
648,211278
649,222647
650,205023
651,232171
652,247955
653,221449
654,230415
655,221908
656,215243
657,231748
658,206866
659,247861
660,222352
661,222222
662,237497
663,230497
664,219313
665,216684
666,213299
667,240102
668,212610
669,216236
670,236141
671,228550
672,216851
673,205304
674,206522
675,240540
676,211103
677,222814
678,210711
679,238235
680,225409
681,210068
