,SHIR FPGA (buffered) b16
0,603826
1,569509
2,570294
3,592177
4,593784
5,584661
6,588952
7,583191
8,589308
9,581492
10,570237
11,573888
12,579485
13,570955
14,567357
15,567494
16,567844
17,570336
18,566497
19,565211
20,567054
21,565841
22,564637
23,578624
24,569476
25,569688
26,567809
27,573609
28,567386
29,569433
30,569136
31,570402
32,571627
33,565339
34,576519
35,563451
36,563722
37,563857
38,566414
39,562455
40,566443
41,567497
42,563462
43,563106
44,571676
45,565811
46,567104
47,563972
48,570428
49,565745
50,564343
51,569144
52,563087
53,567577
54,567496
55,564359
56,565177
57,563996
58,570755
59,563778
60,563425
61,566739
62,565102
63,568573
64,563871
65,571909
66,570079
67,564107
68,566795
69,565743
70,568326
71,565643
72,574689
73,563634
74,564554
75,564353
76,563083
77,570078
78,562305
79,565957
80,562969
81,565691
82,573701
83,565108
84,562352
85,567521
86,564334
87,566730
88,564398
89,573702
90,564399
91,566464
92,565893
93,565799
94,561557
95,566707
96,569550
97,567418
98,568058
99,567426
100,563845
101,572501
102,562295
103,577403
104,583137
105,580638
106,580682
107,586362
108,582335
109,579839
110,618965
111,584023
112,585163
113,578512
114,577575
115,579387
116,577775
117,582471
118,579111
119,581161
120,581790
121,582307
122,578331
123,579850
124,578089
125,576743
126,577339
127,584499
128,578876
129,581940
130,579903
131,584668
132,575044
133,581256
134,577983
135,579496
136,579656
137,578686
138,585448
139,580132
140,575478
141,575936
142,578304
143,580755
144,583282
145,581616
146,582693
147,580032
148,591767
149,582003
150,580242
151,604720
152,582730
153,566084
154,571441
155,567175
156,575423
157,565595
158,564448
159,574136
160,565332
161,569951
162,567874
163,570023
164,569210
165,563036
166,574945
167,568096
168,563805
169,568584
170,561845
171,565557
172,563956
173,577043
174,567707
175,567991
176,564180
177,565805
178,569729
179,562916
180,570935
181,565225
182,566670
183,563708
184,566243
185,570435
186,567728
187,568464
188,567438
189,564386
190,564772
191,566850
192,571882
193,566719
194,571378
195,568931
196,565486
197,565205
198,565424
199,569601
200,566524
201,572310
202,570667
203,582592
204,578661
205,584691
206,579959
207,580183
208,579124
209,578516
210,579632
211,576841
212,581807
213,585771
214,583298
215,579549
216,581479
217,589578
218,578356
219,593573
220,582155
221,585534
222,578912
223,587460
224,579471
225,588912
226,576165
227,586025
228,577337
229,588046
230,579178
231,583343
232,581748
233,586642
234,576776
235,581076
236,584537
237,589979
238,575660
239,579511
240,581809
241,588961
242,579702
243,580054
244,578581
245,585523
246,578027
247,621201
248,621497
249,607042
250,662293
251,611792
252,586314
253,581290
254,580405
255,588712
256,590438
257,634348
258,619006
259,588944
260,586085
261,585098
262,581070
263,580967
264,578318
265,576243
266,577559
267,579803
268,581231
269,579629
270,577336
271,577656
272,582323
273,578091
274,578851
275,580940
276,585011
277,577164
278,582030
279,580906
280,588691
281,582135
282,580587
283,578536
284,587443
285,577863
286,577536
287,579390
288,588074
289,574373
290,584790
291,581258
292,584178
293,577881
294,597374
295,621396
296,629862
297,605514
298,588199
299,587923
300,584225
301,582714
302,593211
303,600349
304,582751
305,580623
306,582313
307,579481
308,585053
309,581697
310,585257
311,580980
312,582680
313,583500
314,584989
315,577093
316,579439
317,578604
318,589776
319,583053
320,587995
321,579637
322,586543
323,580488
324,587715
325,580312
326,588996
327,580454
328,585302
329,578831
330,587538
331,579489
332,583108
333,578639
334,583313
335,577295
336,575545
337,577683
338,582997
339,575103
340,585672
341,575939
342,638437
343,615098
344,614858
345,602034
346,584523
347,594372
348,582608
349,587260
350,579430
351,586822
352,567842
353,563547
354,567439
355,564401
356,566920
357,566263
358,577797
359,570703
360,567503
361,570013
362,569843
363,566513
364,565183
365,576272
366,567010
367,567864
368,567103
369,563058
370,564075
371,565725
372,571401
373,566475
374,567495
375,564311
376,567867
377,568077
378,561461
379,577039
380,566050
381,562109
382,570074
383,568441
384,566521
385,561082
386,579529
387,566711
388,569312
389,565144
390,565947
391,566450
392,564247
393,576071
394,569565
395,569090
396,565137
397,566232
398,566214
399,567269
400,573145
401,568274
402,568843
403,585064
404,578792
405,581780
406,578457
407,576998
408,586798
409,580725
410,581091
411,581679
412,580990
413,578653
414,580241
415,584638
416,584522
417,581034
418,581276
419,583074
420,589830
421,579773
422,583471
423,580430
424,584669
425,585043
426,582865
427,580882
428,589374
429,577077
430,587563
431,579094
432,585097
433,582060
434,585188
435,578224
436,594955
437,582983
438,581045
439,580507
440,663578
441,616126
442,602623
443,592036
444,585226
445,595567
446,583013
447,583604
448,580730
449,623057
450,602353
451,600929
452,582695
453,579717
454,586704
455,582844
456,575671
457,578825
458,588186
459,580380
460,580304
461,579214
462,586387
463,578583
464,587520
465,576983
466,586706
467,579598
468,583478
469,582890
470,589410
471,579743
472,584509
473,576417
474,584072
475,579139
476,586548
477,579836
478,582676
479,579046
480,581645
481,578079
482,585857
483,579710
484,577381
485,580732
486,585011
487,598220
488,621927
489,599660
490,590648
491,590094
492,582306
493,583385
494,581187
495,621627
496,596830
497,604478
498,608522
499,583519
500,575466
501,581097
502,578461
503,577881
504,576095
505,586135
506,581389
507,578972
508,579503
509,580091
510,574847
511,580850
512,576716
513,584795
514,577892
515,580118
516,581372
517,578710
518,576978
519,577796
520,577357
521,576580
522,578307
523,580041
524,581327
525,578341
526,579416
527,579693
528,574943
529,577274
530,573924
531,580752
532,572073
533,575469
534,574830
535,612877
536,611030
537,589918
538,581383
539,582788
540,582780
541,582068
542,582291
543,581160
544,580564
545,585803
546,577545
547,587417
548,578927
549,585908
550,582824
551,580845
552,578680
553,577574
554,583775
555,580282
556,576090
557,583708
558,580664
559,578847
560,584210
561,578820
562,585775
563,585853
564,582468
565,581393
566,582685
567,579125
568,582631
569,580758
570,580321
571,583270
572,582039
573,579464
574,577765
575,588969
576,578710
577,588100
578,580027
579,585872
580,580997
581,586627
582,607124
583,612245
584,582462
585,579602
586,582603
587,578918
588,578543
589,586029
590,580747
591,578763
592,582549
593,577693
594,579709
595,581468
596,582879
597,578080
598,577805
599,580457
600,579087
601,576669
602,580110
603,578120
604,579470
605,581224
606,582045
607,576907
608,578136
609,574783
610,579315
611,580455
612,579541
613,579924
614,577728
615,574209
616,575900
617,575672
618,576689
619,579546
620,574801
621,577125
622,576684
623,577048
624,576718
625,578858
626,577302
627,581026
628,578402
629,576726
630,577020
631,578382
632,570074
633,561834
634,562124
635,566269
636,573375
637,562179
638,563977
639,565810
640,562545
641,573069
642,561091
643,573395
644,563223
645,560641
646,570405
647,566497
648,563752
649,563197
650,564483
651,560392
652,561405
653,570782
654,563510
655,562963
656,564587
657,564312
658,562177
659,564071
660,574625
661,562184
662,564177
663,563192
664,561012
665,571528
666,569201
667,571562
668,563270
669,567260
670,564811
671,567499
672,572110
673,567858
674,572443
675,563926
676,565850
677,575788
678,566117
679,563447
680,563071
681,564392
682,565663
683,562911
684,573739
685,563293
686,563284
687,563502
688,564097
689,564310
690,563985
691,566752
692,565823
693,563858
694,564515
695,561816
696,565971
697,562335
698,576642
699,568008
700,563180
701,565050
702,561677
703,566496
704,566221
705,562988
706,566439
707,562103
708,572356
709,562753
710,567176
711,565063
712,564982
713,567676
714,563925
715,570410
716,561986
717,563428
718,561080
719,564920
720,568388
721,564446
722,575547
723,563569
724,564957
725,563684
726,567605
727,576319
728,563850
729,572295
730,564606
731,565735
732,568586
733,564049
734,565321
735,567420
736,560304
737,563001
738,563728
739,570441
740,563787
741,561005
742,562926
743,562681
744,564379
745,563113
746,574983
747,564663
748,564087
749,565203
750,562872
751,570555
752,563102
753,563836
754,562394
755,564526
756,571087
757,562505
758,561950
759,561595
760,563742
761,567479
762,561579
763,569008
764,562325
765,561557
766,564574
767,566392
768,569571
769,563171
770,575821
771,562319
772,569614
773,568389
774,565189
775,570394
776,563796
777,563940
778,562121
779,563725
780,576402
781,565605
782,562066
783,560346
784,562933
785,564605
786,565893
787,571045
788,561905
789,562180
790,563856
791,564907
792,574497
793,565514
794,573131
795,564242
796,565594
797,565860
798,564695
799,571367
800,560524
801,572005
802,563363
803,564406
804,571667
805,561273
806,561304
807,568737
808,563141
809,564153
810,565462
811,573871
812,559950
813,564146
814,565390
815,564600
816,565928
817,564271
818,573044
819,565596
820,563869
821,567615
822,569873
823,573896
824,564376
825,565329
826,565462
827,565140
828,565669
829,564971
830,566242
831,563601
832,561613
833,564998
834,560803
835,570636
836,561766
837,563717
838,562437
839,565678
840,564600
841,563732
842,574017
843,564096
844,564136
845,564795
846,569296
847,566702
848,566923
849,567402
850,564785
851,560704
852,564235
853,565189
854,561183
855,562386
856,568871
857,565320
858,561019
859,571985
860,566467
861,564708
862,564360
863,565897
864,565382
865,561646
866,570898
867,562566
868,568304
869,567385
870,570289
871,568966
872,564701
873,571415
874,564902
875,565948
876,561311
877,564786
878,576405
879,565856
880,571590
881,566216
882,562330
883,570252
884,567793
885,562351
886,565209
887,563175
888,565545
889,564682
890,574136
