,SHIR FPGA (buffered jit-copy) b16
0,599396
1,580725
2,581770
3,602722
4,593814
5,581617
6,575552
7,581805
8,569727
9,575011
10,570055
11,583840
12,574035
13,572218
14,574644
15,579579
16,576033
17,573952
18,580744
19,576980
20,574322
21,578121
22,583800
23,577697
24,578098
25,574705
26,577129
27,577600
28,572359
29,584933
30,574848
31,570908
32,578855
33,574877
34,573352
35,572189
36,580692
37,577253
38,569857
39,568514
40,579109
41,572071
42,594717
43,580038
44,568861
45,578132
46,569432
47,581065
48,575677
49,575907
50,577632
51,577291
52,569077
53,573094
54,579984
55,571262
56,572735
57,595069
58,587243
59,570838
60,568812
61,572409
62,573098
63,585285
64,574803
65,578246
66,571553
67,575038
68,572327
69,573878
70,572255
71,579949
72,579051
73,576297
74,577405
75,573260
76,577373
77,575573
78,573909
79,579318
80,570028
81,580602
82,571360
83,583104
84,577416
85,570681
86,572749
87,568240
88,574845
89,574118
90,575653
91,575750
92,572821
93,575144
94,573801
95,572886
96,570157
97,579581
98,571909
99,589705
100,580977
101,577428
102,576478
103,572311
104,574330
105,574707
106,575781
107,574290
108,574564
109,574543
110,568815
111,574880
112,575771
113,571782
114,568958
115,578840
116,571061
117,569660
118,573476
119,575736
120,574661
121,578712
122,580855
123,591466
124,588294
125,572267
126,579647
127,570903
128,574975
129,574648
130,572673
131,574896
132,572437
133,581339
134,574439
135,573893
136,575376
137,572399
138,575789
139,571669
140,582675
141,571374
142,576921
143,577859
144,580554
145,571422
146,571908
147,575940
148,571901
149,581842
150,569520
151,578030
152,577176
153,570877
154,576136
155,575872
156,572966
157,571218
158,579882
159,572552
160,574210
161,574573
162,572145
163,575527
164,570527
165,578942
166,576971
167,575475
168,575031
169,577688
170,574702
171,569701
172,574777
173,577366
174,580696
175,575528
176,585116
177,573956
178,578094
179,573112
180,575719
181,577735
182,575688
183,580410
184,575273
185,576152
186,573247
187,585903
188,572395
189,571276
190,574618
191,577286
192,580909
193,574808
194,574834
195,572588
196,572351
197,575170
198,574499
199,572398
200,573344
201,580379
202,573216
203,572629
204,575687
205,582387
206,578585
207,570316
208,578260
209,577551
210,577558
211,580453
212,581383
213,570452
214,576516
215,571660
216,576851
217,573632
218,572397
219,574874
220,579076
221,573935
222,573392
223,578323
224,571347
225,570272
226,582658
227,573822
228,577733
229,573498
230,577705
231,575255
232,575451
233,577272
234,574656
235,581278
236,576856
237,580205
238,573657
239,570137
240,575421
241,571581
242,573876
243,579203
244,583142
245,579447
246,575486
247,570075
248,578678
249,572805
250,573635
251,575246
252,573796
253,583977
254,573798
255,581934
256,573692
257,571295
258,572799
259,571674
260,572265
261,574162
262,583619
263,571895
264,577802
265,576927
266,574301
267,570483
268,569983
269,581941
270,572609
271,578234
272,576302
273,576418
274,573246
275,572075
276,572045
277,575864
278,581777
279,574851
280,580251
281,571702
282,574833
283,573972
284,573661
285,575743
286,568717
287,578277
288,577471
289,569245
290,572439
291,580582
292,577591
293,574407
294,579824
295,575447
296,577430
297,572824
298,575905
299,569147
300,575232
301,574292
302,575539
303,576981
304,578380
305,582336
306,577952
307,574688
308,571353
309,573999
310,577427
311,574030
312,582767
313,571623
314,575906
315,577344
316,580841
317,574288
318,574892
319,575434
320,575713
321,574022
322,573328
323,580384
324,578309
325,577198
326,574954
327,573252
328,576422
329,576660
330,580507
331,572874
332,570871
333,573070
334,579676
335,588528
336,583785
337,574871
338,568842
339,575294
340,570691
341,586764
342,572556
343,571251
344,574183
345,573567
346,569643
347,572559
348,587090
349,574230
350,570569
351,574659
352,583378
353,576262
354,572646
355,582982
356,576149
357,578089
358,575688
359,584738
360,576445
361,575267
362,574268
363,571991
364,577229
365,573130
366,581832
367,573757
368,573266
369,573581
370,569610
371,572290
372,572570
373,575539
374,574270
375,571926
376,575898
377,578684
378,576086
379,572920
380,578063
381,573782
382,582157
383,574393
384,577535
385,567556
386,571212
387,576948
388,576947
389,574657
390,571661
391,574630
392,573895
393,574232
394,576681
395,584695
396,574349
397,574077
398,582705
399,571491
400,574367
401,572279
402,577512
