,SHIR FX b16
0,6909715
1,1800523
2,1704736
3,1717793
4,1733699
5,1732425
6,1731167
7,1698195
8,1721947
9,1717112
10,1670328
11,1715045
12,1768330
13,1708082
14,1692060
15,1677119
16,1694642
17,1679729
18,1670183
19,1667704
20,1696616
21,1673519
22,1663292
23,1660123
24,1650740
25,1636066
26,1673517
27,1650761
28,1645951
29,1633739
30,1641178
31,1618981
32,1640019
33,1624114
34,1613240
35,1648182
36,1619395
37,1608975
38,1652999
39,1590431
40,1631775
41,1597153
42,1621304
43,1617979
44,1609497
45,1602356
46,1564547
47,1604310
48,1588977
49,1597731
50,1643419
51,1606455
52,1587526
53,1596518
54,1589520
55,1558075
56,1900585
57,1730318
58,1604521
59,1611481
60,1582059
61,1574800
62,1599657
63,1574943
64,1568958
65,1568009
66,1580816
67,1549307
68,1592909
69,1575643
70,1553783
71,1582499
72,1575100
73,1562424
74,1572437
75,1542554
76,1573387
77,1587942
78,1566615
79,1585238
80,1573568
81,1590724
82,1570071
83,1576601
84,1595238
85,1579181
86,1545886
87,1593577
88,1536573
89,1552026
90,1563978
91,1578396
92,1561671
93,1593212
94,1602054
95,1586585
96,1583557
97,1566105
98,1572977
99,1582640
100,1564515
101,1566534
102,1573574
103,1568036
104,1577060
105,1555384
106,1577930
107,1581130
108,1568279
109,1590935
110,1604965
111,1568744
112,1571669
113,1602458
114,1580058
115,1567039
116,1569501
117,1566524
118,1595276
119,1581744
120,1557410
121,1565622
122,1591311
123,1536877
124,1552721
125,1602504
126,1552596
127,1574822
128,1563588
129,1550325
130,1580769
131,1590465
132,1571014
133,1544537
134,1579341
135,1557267
136,1568436
137,1591361
138,1565672
139,1639738
140,1628110
141,1595348
142,1609507
143,1636618
144,1643818
145,1611510
146,1633744
147,1574028
148,1606677
149,1642543
150,1605626
151,1601749
152,1619053
153,1591457
154,1607633
155,1642654
156,1601905
157,1629687
158,1645107
159,1632577
160,1595186
161,1642745
162,1595098
163,1587883
164,1648173
165,1617867
166,1624525
167,1622866
168,1604190
169,1623565
170,1649996
171,1631196
172,1590375
173,1613103
174,1616034
175,1583977
176,1662873
177,1604068
178,1601521
179,1630735
180,1624695
181,1602695
182,1612542
183,1584262
184,1620966
185,1657386
186,1621166
187,1579420
188,1593958
189,1594350
190,1629593
191,1630710
192,1594762
193,1689626
194,1667972
195,1613693
196,1640817
197,1816444
198,1812916
199,1825919
200,1837512
201,1800386
202,1832012
203,1818091
204,1770973
205,1796982
206,1804502
207,1797241
208,1811375
209,1859370
210,1810723
211,1806302
212,1838612
213,1808549
214,1793330
215,1807384
216,1796755
217,1799711
218,1803750
219,1814634
220,1780725
221,1781603
222,1814827
223,1822591
224,1811627
225,1807247
226,1792852
227,1835895
228,1811123
229,1804819
230,1802544
231,1814050
232,1814246
233,1809330
234,1770544
235,1726918
236,1589414
237,1506972
238,1486559
239,1588731
240,1559123
241,1577573
242,1593273
243,1587037
244,1586647
245,1626975
246,1582256
247,1601762
248,1625659
249,1569337
250,1599148
251,1604335
252,1576100
253,1601545
254,1611245
255,1570088
256,1664155
257,1762512
258,1785487
259,1767878
260,1785207
261,1770091
262,1777641
263,1812169
264,1744016
265,1589099
266,1595510
267,1565642
268,1581500
269,1603033
270,1531824
271,1601475
272,1584134
273,1571924
274,1563663
275,1623031
276,1566958
277,1540190
278,1598896
279,1583929
280,1543702
281,1572266
282,1572893
283,1572155
284,1610711
285,1595157
286,1590070
287,1630442
288,1569610
289,1580987
290,1584619
291,1583185
292,1597733
293,1598550
294,1564108
295,1594437
296,1615307
297,1575067
298,1568862
299,1578599
