x86 FX b16,x86 FX b32,x86 FX b64,x86 FX b128,x86 FX b256,x86 FX b512,x86 FX b1024,x86 FX b2048,x86 FX b4096
63582331,57132747,57915710,75637211,92308933,58180459,61551135,70923547,84961591
61966887,56671160,59806236,61328943,92054568,59533140,62505903,74079037,91130704
61331076,56408441,60110009,59740366,93202915,58554300,61789483,64905317,70785879
60242874,57824394,59049368,59784702,93988322,58804467,62100432,73480237,85922814
57697139,68172371,59649824,68218207,93953283,57493206,61605594,69218091,70654061
57772445,56829142,60888071,60146631,92460122,56942036,62051025,60620146,67785788
56967681,56654433,58095624,80983601,96641499,57799159,58458726,70379912,84002681
56983612,56952929,57218899,91555363,94036849,58159796,58625006,68438938,71446128
56695791,58366448,57240478,91053620,93039351,57742797,59503901,61431519,80842253
56540933,78748325,56861272,90045516,94707342,57412356,59045859,66041233,68169920
56680581,89386341,58921895,90263888,86743412,57434959,61663951,68532324,79568877
56694632,82898476,59903208,89089788,77018139,60154078,61845338,61243163,69210441
56396139,58548473,59976142,89154669,62449284,60579541,61669845,66796883,80151604
56772209,56927258,57435466,89929416,60475904,60862321,61996413,68455334,72288922
56567267,56701107,58804307,89729691,58788967,61269422,61582291,61075867,81343956
56273581,57394152,59723476,89837018,58067072,61050314,62562423,66862243,71298702
57835414,56445380,59264248,89409039,58410039,61094927,62214879,68590592,79868333
56465043,56571225,56620057,83877463,57898615,76364053,61272563,60361297,75378840
56196028,57223985,56822298,59304644,57409571,60564211,58789022,72121767,70470901
56399420,56766613,59320440,57305415,57054636,61029878,59357440,73573077,66781080
56851915,56750113,59605042,57093310,57015535,60410276,62118721,63970952,68150579
56533942,56478307,59106324,57312542,57371576,59950294,59425484,70958158,75046739
56520841,56816776,58601525,57388760,57190671,60551769,58775261,68767391,71223096
56582567,57648538,58932572,57084028,60325321,60669151,59407177,61156146,74792929
56505698,56765944,58690797,56929130,62132778,60971566,59783538,70411219,70422825
57330796,56537492,59388766,57636048,60750005,60898162,58673167,67744150,82403401
56480374,56284909,59395121,59377994,60350818,60738099,60064601,59620028,70750418
57278853,56322358,59408230,61367038,60648062,61067055,60580136,69251310,64811381
56465032,57425526,60156568,60082453,75539576,61350645,59355805,67585435,79692016
56344399,56825226,60035632,58136792,73784372,60393270,58104492,59744923,69609181
57135758,56433152,59669036,57405988,61431355,58759993,58072290,69038870,67526667
56538097,56754769,56952777,58096953,62310760,56275751,57727597,68227661,86112884
58098136,56387256,57007177,59178544,60419612,56210152,76419186,59385806,71986777
57400631,56444328,58652196,57559098,59841608,56143296,109943957,69310918,69119055
56299054,56829964,59073489,56968302,60015966,56191324,96581012,70189496,83631482
58027108,56911057,59651521,57265135,61295448,55962902,96014714,60575615,70730619
56468132,55599077,57980482,58393559,60824559,56481948,99476317,76146030,70441338
56420545,55687084,56761701,56620359,69399566,55889115,97534407,69200452,69289799
56585781,56490558,56861704,58145829,59860586,56084316,96614011,60676542,71092343
57630120,56407699,57232814,73619964,60563821,56389054,96541630,69760551,70855895
57564974,56695345,57937695,59027740,60430974,56767336,79345454,67717560,71811786
56365404,56746963,57575043,57712844,60504264,56754444,62028940,63113049,66859352
56261107,56510749,57651497,56770142,60621419,57120108,67184792,74701112,68746672
56466907,56698213,58153538,56903362,60542005,59553010,73435290,68501428,73217757
57995553,56619170,57008071,57769456,60233386,60822189,63074835,60932870,72818918
59676658,56652851,56827766,59682090,60778344,60248889,60695326,73262185,83634976
57413700,56625072,56691501,60680985,60571390,59817167,59297337,67760506,76371398
56907475,56855355,63284507,61178439,60231719,58109619,58945100,60944603,69997636
56786783,56475047,59694361,61555908,60582591,57661054,59119411,70128552,73219779
56876225,56955071,59034356,60791966,60151102,57276875,59470822,68223381,71574445
58150221,56720399,58907284,59546157,60266233,56905558,59679834,61327786,69781544
56151026,56455815,57359238,57368878,84160921,57017627,59454588,73764439,63817547
56869686,57472497,56868651,56995647,93993156,56219024,58734385,68448861,72301318
56933714,56987459,57219473,58097906,89400701,55760689,60305402,60842301,71239665
56848928,56417169,56684304,57615278,60325602,55879728,62133738,71011577,70787828
56816409,56835774,57009990,57082475,61587191,56446541,59635643,70249013,69002453
57932006,56857428,56742654,57136946,61593480,56009598,57614770,62778409,69830474
55929258,57449613,56781339,57308145,59969178,55900776,60738478,76105464,68462748
55854519,56999108,57029463,57086224,60502581,56536125,82531259,70545931,68348494
55753439,56703054,56976053,56849728,61106116,56267651,83537205,60831925,70126418
55694866,56637169,56786159,56857812,61465330,56058036,66187965,69901703,70007958
55601624,56613555,56795631,57497550,61457030,55918950,60491382,68285129,64591626
56016723,56396341,57626195,57462969,61197643,55984195,60865079,60728025,85136099
56501681,57337545,57224571,56091070,60611715,56011428,60883032,70115054,69006530
56609916,57065939,56989328,57356783,59985531,57082982,60381751,70277645,63512061
59226331,58623194,56746978,57387272,60762896,56611213,63181362,63634325,81322564
57188013,56576310,56602639,57121920,60375498,56437693,63406317,69506798,70439823
56865680,57108446,57327732,57368141,60355363,55850705,61827301,67436384,85535104
56557906,56492727,56730445,57748147,61044284,56057102,61860685,63017791,70271097
56101890,56704119,57063644,89201184,60681977,56202993,61279323,73902577,84351341
55959680,58056197,56879997,73788060,60464204,56267269,62374164,69078622,70207460
58003771,56632310,57710209,57164567,59916713,57308385,59550105,61575702,64725260
56784970,57492356,57598990,56975226,60823569,57495171,62034163,70413999,86744774
56082445,56803932,55903626,56698173,60564354,57486863,57882228,68819617,70858657
55893359,56912095,55973419,57115213,60396804,58079941,60023984,61196841,67600936
56509723,56639735,55970003,57097677,60712321,57577261,61939165,72313255,83145570
60190272,58081126,55811737,57076995,60630030,57915861,61795600,68373132,69307402
89532661,56086359,55747011,57468681,61022867,57322441,62495273,60175075,85729641
90254531,57590711,57001982,57119891,60829800,57916466,60535732,69568196,70088658
90263511,56890316,56715281,56929170,60710331,57521560,58504864,67799209,71281676
89209102,56634114,56644634,57309331,61211614,57659581,61080449,60781803,67475241
88519700,57356500,56613818,56824746,59554951,57646320,61734543,70515636,68877668
88579826,57316945,56158570,55850913,59157536,58118001,61468599,67624124,71367211
88663035,56863657,57787620,57127079,59569778,57664637,61636093,59349437,72829783
88836229,59402985,58041130,57138002,60507642,57899016,62365333,76712905,78659851
88896104,59179987,57498132,57372396,94228929,57538630,62117645,74456356,72127813
89073712,73317213,57604089,57047658,91633842,57977770,61799030,64556726,75651308
89296065,66195274,57221426,57073871,69102673,57767959,61671795,88688534,107277447
89525445,59569624,58328906,56852930,59642075,57606262,79613469,80606601,109513288
89398109,60802096,59229139,57276256,57612096,57772118,65980638,64996421,110639334
88752084,56863773,80576716,57118110,56552828,58378909,62349601,75147898,82979702
88711436,57655625,70999830,56862163,57068133,58484171,60129469,69905175,72474022
88467175,56157586,80702178,56884800,57557447,58741459,58344666,61899778,73062026
88791272,56648670,105371315,60291654,60237912,59103148,58864220,70838648,90019817
88987921,60040994,74730177,55716548,60315126,58329966,61916791,68766615,71583262
88605348,59340500,58049977,56013701,60407070,58444553,61526301,63187291,73256169
88832795,73122759,60173891,56485147,60679315,60402446,61540163,74046522,66095545
89203551,66474283,57717217,56697094,60429016,61273206,63017130,72154929,70632942
89333567,59090994,56897421,56455832,60210524,61304188,62230103,63755862,75880936
89265819,57761255,57027374,56291641,57122264,60762699,61784382,73027789,91367149
65654062,57834359,56952195,56527034,58272781,61111435,61843957,71403444,77666414
55087275,59077212,56770785,58270463,58494763,58964924,62185991,64329793,67764066
55250557,59800203,56670957,57003081,57575575,58830844,95388850,72538801,69717792
55184372,59782509,57845396,57133603,57185246,58272039,94383353,68798756,84285491
56676225,59501151,57039346,57280163,57341245,57597794,72590830,61520178,69886374
56444840,60319440,56766844,57978431,57602506,58034171,99179543,70420940,70323261
56570458,60579608,56559134,57792320,60227933,57725413,95148877,68136798,69969677
56981994,58890737,58885407,57566750,59546830,57725758,71505844,60075377,82189361
56723243,59609886,60064448,57886622,57311329,57582070,61600585,70423685,70467526
56285277,59000949,60210889,58084378,57383330,57987560,86518957,68852593,79586952
55438778,59773604,59587815,57840351,57708264,57596743,63949155,61215778,68949624
55180341,59178305,60053907,57992050,60393983,59298942,63521617,70384407,83377214
54824846,59553226,57419002,57685762,59500254,57604709,63394502,67798042,68903117
55409732,59400414,56612749,57907760,60384021,57640719,62558065,60912431,69381040
57460343,59167976,58605740,58031884,59817866,57655243,61736108,70342480,71323023
57496822,60197285,57093888,57739751,60487780,57476720,62131107,69027538,72301930
57287869,57730972,57221304,57611755,60844940,57884218,62007264,61318733,72267188
56272378,55559515,56713679,57853613,60881010,58391004,62282793,70242428,72413331
55410370,56009360,56438868,57550447,60936492,58258192,62606522,68990863,70815164
55288185,55874202,56704363,57151102,60395387,58477450,62246713,61685399,69433768
56709408,55758573,57512670,57124983,60228315,58569803,58888980,70391029,72505833
56748598,57434791,56850924,57558771,60753343,58299825,60789464,69877813,65259314
56760293,56300014,57764576,57526444,60745458,61339708,61913748,62081429,66163037
57961457,57319468,56862113,56962466,61678482,59382295,59950039,74751897,67233826
56425614,56888402,56054244,57660966,77582267,59227366,58407751,69786954,82607565
143571553,56834231,55733041,56201900,76822325,58565235,58774287,61298013,70333628
112662565,56578684,55926487,56338048,63081568,58635428,60680473,73475931,67233327
93712871,57009753,56909158,57026491,58332677,59615687,60841964,67300805,81382857
91501150,56911266,56543955,56688700,60100935,60117071,59723314,62443625,72054996
79502829,56204154,57626042,57435716,59517341,57679474,59096693,76562295,67916968
72663777,56737141,57064132,56720340,61360247,57098028,64671748,71352887,82197504
71751111,56511214,56825903,57444381,63719973,56951427,64092349,62843418,74816667
59596702,56593955,56357924,56434379,60811029,57026995,63342665,68827890,77224805
56853340,57251426,57643256,57619821,59740701,57358970,61208044,66841629,82030243
56863858,55963409,55887969,56515138,57491338,57014142,59432010,59661342,78133285
58882435,55528563,55950175,56952944,57212553,57159658,60917830,69014723,67737072
56287562,58481562,56410708,56927668,57551408,56600527,62018815,68445226,83305746
56904752,56855522,56991538,57283068,57048547,56164753,61121695,60848143,71443219
56567240,56101712,56668122,57099537,58176342,56321427,59492551,69871996,67925975
56602906,55805188,57644612,57382701,58364786,56304692,59727102,68635557,139073506
56499187,59275174,56706940,58124291,58417001,56195979,60224676,60549803,83663842
56902715,56769042,57264338,58100015,58434994,56866818,60293367,69604489,71790356
57058089,56060462,55996564,57764983,57444363,57003232,61466109,68787554,101753563
59777519,56567256,57691883,56486145,58302232,57251059,62512647,61012235,145951857
60514853,56671927,57085098,58276704,60089586,57162089,58783982,70308087,85631510
57628708,56699478,56688225,57801621,59324133,57139604,58970301,68963427,83067757
57406186,56501792,56786334,56416435,59166446,56566729,62170239,60854936,71651519
57129486,57210783,56317314,56169277,60240545,56169637,62199009,70301293,67871296
56675698,57156868,56582937,56052815,61701086,56008634,62128205,68355585,82700673
56541872,57278832,57207515,56867285,61519394,56281918,62010300,62069499,71680244
56695795,55623584,56812001,56875332,57141069,56247418,62827253,70532454,69131394
56371199,56791284,56637745,57183872,57458592,56110866,59923548,68194341,82085463
56650863,57633349,56512592,57255069,57274229,56277429,58640011,60867718,73844750
56590671,56903094,57368540,56996095,57063277,56001739,58782544,70517586,68533849
56442106,56691508,56881296,56704427,57434005,56886042,61410060,68713457,70318916
56331034,56250551,56333453,58512418,60503074,57405237,61664002,63519417,84931075
56668699,56377387,56513026,60691674,59745945,57101922,74609743,66873782,119739225
56587128,56535515,56139982,59477563,60141541,56996425,63045949,68684878,118648734
56412474,56387155,56700261,60408851,58631088,56892986,59758607,61180217,108248016
56214524,55934310,63054902,61569443,57149746,56644586,59335611,66216460,118124616
56227433,56266627,60305316,57547994,57560202,55936977,59498881,68521136,108351746
57255532,56765770,58114027,56011824,57691677,56132939,59586729,60780054,103639780
55576351,56729835,57541971,56474062,57371987,56321018,59759835,67072126,116890235
56862130,56561529,57552803,57239536,59530068,56068900,59689008,68522192,109012590
56581040,57187871,57601051,57796309,59392489,56130857,59292961,60582516,130321991
58991485,57091529,57834583,57370548,60277628,55985014,58626382,70507320,80798416
60042229,56771404,57520766,57234556,60081134,56101148,61049819,67636547,82441587
59387272,56766908,57368823,57118199,60211491,56140344,61676583,59966686,74824894
56457141,56496537,57302352,57365269,60453262,55876032,61930504,68230105,117700142
56491628,57284054,57093483,56924210,61718538,56136818,77723847,67201766,75293642
56626067,56777758,56550712,56929804,61663822,57044713,68684316,61087660,80642006
56257717,56186883,56715460,57129943,61568965,57162683,62691722,67607581,73399867
57432208,56598096,57538457,57299613,61432708,57046130,66608858,68854614,97207657
57146561,56422133,57204713,57215408,61130121,57117625,73961329,61125997,71479684
56576264,56222637,57375200,56886963,60746703,57055788,65456285,73698756,79722125
56339986,56290506,56543086,57123850,60338726,56258515,62752995,71747021,70300857
56195266,57308077,56502721,57490881,61650344,56273920,63250829,61103460,80131905
56511207,56736122,56493781,57129268,60516669,55867093,62862693,67049801,71908446
56405507,56624135,56898115,56935245,60033906,56391044,62256973,68829613,84964473
56181740,56160898,56546730,57764296,60600675,55815054,62463166,61190452,70506129
56551685,56707300,56796114,57457458,61104245,56071402,62518124,66640051,80873072
74237616,56437170,56735445,56885914,97030007,56421969,61487731,68187522,70169777
88624483,56501597,56612164,57025557,93517373,56630427,84831789,60276716,81754886
67476445,56240652,58099740,56687267,69860724,56194713,72936903,67892659,71217337
55894871,57232076,56660659,56804154,65482816,57949701,62406445,70465229,66568946
56377232,55322012,56508792,58850462,61903279,57370135,60581781,60199499,80642661
57347393,55991314,56671260,56222844,61646352,57294514,61252591,64646749,70455884
57117320,57488738,56681890,55797561,61677129,57121898,61622576,67188414,80545096
56320918,55676103,56501777,55793690,61679126,57481633,61924967,59115996,70428330
56868768,55560978,56498847,56034404,74439896,57361526,59427386,71053003,86178095
56635979,55327917,56318397,56583360,70076320,56424706,58127843,73931100,69689113
56661890,56238552,56598463,56556866,59851916,58361509,61321029,64291710,84462519
56584467,56760264,56750156,59651919,59238129,59820100,62183716,74299239,69429027
56531001,56428312,56554690,60140074,56737538,56357604,59593947,72057874,83802327
56410147,56392989,56766435,57496114,57170519,56114204,60615002,64516744,66317276
56534926,56366886,65412865,57150756,57311713,56369817,61953213,74237184,86723880
56354220,57227547,88649650,57131069,57234312,56737887,61628249,73124123,69952348
56362555,56733777,92344628,57280604,57043232,57416553,61757970,64504294,84521856
56727376,56236610,105466807,57375875,57227592,57764712,62406404,74331868,68542165
56105676,57257964,73910293,56987050,57215767,57308459,61526316,72189734,84529020
57052637,57971787,61637840,56985269,57629223,57597303,90898228,64243627,70801821
57643238,57140650,57652280,57116687,59152040,57454927,71047426,71181747,84159115
56880494,56922382,56097924,57288883,59792332,57635545,60179880,72671287,67510679
56641194,57939978,56359528,57098584,60810700,57615185,59516969,64745600,88195452
56381340,55951410,56024444,57066425,60237477,57581226,61068323,71059913,70463761
56873153,56804339,55581320,58271945,58911852,57661865,61333282,80213821,85709135
57417373,56922841,55047091,56191109,59306722,57708868,61699109,64273029,75336649
56919316,56809756,55088696,57162840,58061841,57463650,94517071,146370475,92460969
57057787,56725304,55280492,57172091,58114726,57622204,94482418,109440651,75306363
56619674,56915661,59520844,57204709,58288802,57701993,70657470,104160752,87324214
56245206,57005683,59669994,56917163,58294758,57541601,61848544,94779478,74742376
57968624,56786744,59368386,56736905,58489794,57455187,62657910,76449824,85582973
56724369,56387247,59208495,57227924,57557941,57440834,62290093,77475873,74026403
55982643,56771406,58637599,57250773,57406141,57407604,61617483,77335199,82702366
56116536,57566098,59186189,57080798,58879360,57427712,61866954,72431828,70426366
56207257,58237047,92677990,57078465,59613033,57661401,61674655,64641427,74967315
56356035,60760467,64378680,56956094,59366508,57415373,62153794,69841982,72790830
56430971,58408824,59013483,57219352,59946948,57601405,60459837,71721247,67786496
56769544,56797201,57278312,57450581,58477291,57592225,59064566,64384827,70446903
55911633,57754930,56846373,56876406,55829194,57452058,60850023,70366509,90586818
56398512,57205091,56739134,56882049,55869056,57606356,62109023,77667820,68532137
56511607,56766882,58505215,58047976,55971411,57496638,61908281,96183277,88125167
56447803,56700987,58739457,57972065,56161458,57665165,63964037,101394338,73871324
56702240,56769275,56464270,59293064,55895924,57385273,62274809,71361149,87610494
56556791,56889211,56754851,57858685,55956640,57726492,61551973,62469634,73745750
56527001,56512601,56764443,56790226,55783433,57480469,61965881,75468169,147083649
55712580,56752267,60680645,57937338,56627124,58808937,59407152,69414903,81434075
57730910,56455722,60594677,57750438,56576552,60719402,58726568,61330636,87374812
58826821,56821180,57914810,57087323,56395884,60301086,59509502,74521748,73096603
56046633,57518337,56579391,56900420,56603294,59506809,61719160,71843575,69211295
56371830,57892096,56562189,57250486,56513704,66088407,59052042,61699561,116834500
56260877,56188124,56952361,57001327,56703178,78350130,58507769,73413783,74643083
56296871,56666908,58956939,57113346,60298760,63659937,59645317,68567088,90904499
56420774,57000608,57265191,56947642,60621107,58781138,60888188,60254006,70220840
57606047,57398165,56979821,57373880,60168077,58500701,57907166,73793418,69698919
55692707,56790365,56586383,56973366,56857468,58607392,58551136,67397958,115561716
56544680,56672314,56501442,56813424,57894629,58459785,60066322,63070401,72232431
56626668,56672479,57550747,56988575,57064588,58206599,60346528,78932841,104737368
56646164,56638558,56931347,57231917,57058607,57259279,58635277,69775358,74328684
57227619,57376793,56609325,57394066,57225627,57168059,58876408,60813861,89988105
57779494,56957449,56524430,56855183,59916088,57394488,59753013,69963309,75099226
57454286,56547472,57555309,57033952,57369684,57212014,58451284,69098997,74112329
56994428,56445174,56778450,57919540,57340715,57058163,58690946,60939763,87921072
