x86 inductor b16,x86 inductor b32,x86 inductor b64,x86 inductor b128,x86 inductor b256,x86 inductor b512,x86 inductor b1024,x86 inductor b2048,x86 inductor b4096
6599436244,2777986810,2770845864,2658864611,2668344135,2592596393,2632467944,2741036573,2671849400
64888413,74938199,75056820,96817981,75278976,76615205,73935101,73619122,74080924
62633529,62962414,62018772,84836180,63356368,60197547,62541621,61887394,64941132
67205542,58648517,57599240,68512269,59493980,57730957,59689856,60228628,65507842
61070551,58452620,57272676,61694554,59340252,57917514,58982342,59627261,62940701
58182155,57984553,57103334,60932474,58580860,57551808,58892050,60083867,61735935
57969981,57663482,57042630,60657612,58255120,59913416,58566874,59715928,61901508
58124288,57548098,56483489,60627391,58044640,61809691,59309666,59928148,61744848
57957672,57028888,56453331,59998590,58567858,61889188,60319687,60241712,61692289
57311786,60164311,56183153,59518330,59329220,61679123,62060542,59558792,61117847
57199199,60512372,56552466,58913457,58536087,62052179,60031038,59334982,62427522
59916345,58526596,56589954,59331016,58217180,61661754,58941548,59695479,63223549
60221876,57461981,55978242,59451124,58456950,62279933,59011049,59492201,62145609
60048685,58498940,56747237,59393501,58088207,61426066,59357881,59588285,62289402
60233325,59776162,57929137,58903113,58320983,61607467,59301563,59881369,61908226
58939278,56700067,57690693,58624529,57761134,60719893,58821265,59691467,61656915
56942587,57289745,57694858,59194022,58182746,57654535,59507297,59628565,60942352
57295357,56897907,57722352,59292671,58008486,58170882,62050146,59517265,61247485
56988321,56475755,57890452,59510242,58142841,58629355,62089296,60068266,64801799
59761236,56317106,56936235,59403325,59844667,58326857,62184789,64831884,63190112
60611912,58305357,57314753,59327471,59108177,58117379,60660677,62959727,61896213
60227862,69236947,56664508,59235845,58018138,57684938,59777386,62875901,68812463
60404187,57214394,59730453,59546721,58069884,58057972,59810791,63690117,61860272
58254894,56632342,59712334,59217069,58293980,57987226,59744045,63648677,61317502
57695020,56921650,59813677,59498673,57985555,58308118,59874827,63429865,60794109
57195164,56197027,59968914,59362188,58477529,58764929,59459270,63437415,60953901
56799445,58550489,59863774,60451958,57896028,58439583,59760932,62861779,62685221
56956004,56924709,59095205,60323629,58083025,58136317,59632855,62819501,63451723
56765831,59689253,59653693,60102311,58146367,57509820,59600828,61872150,60329995
57339079,57534968,59637116,58851378,57966596,58423233,59819972,62734587,62501496
57141124,56578511,60226380,59334994,58511372,57410010,60755094,63421184,61619619
56938243,57586698,59644713,59503818,58093842,58480447,58979415,63110699,63538325
57088793,58395586,58652852,59432412,58485532,58731737,58600515,59703232,61337729
56955743,56678248,59225872,58716783,58015816,58124012,59232832,58938234,66375448
57420660,58615710,59071550,58774004,57380944,58122864,58695339,60827969,62593163
57044478,56232177,59394336,59619619,57998406,58114740,59275038,61521998,63237884
57071472,56581832,60742922,59313975,58390930,58314989,60450574,61585151,61767019
56681545,56685139,59491013,58462546,58399992,57703727,60752240,61608196,63730546
57752823,56769300,60278840,56109553,57938768,58571731,62335267,63158383,61769949
57288505,56718829,57712530,57707928,58222500,59268590,60760817,63955231,63011127
56568128,56213186,57878599,57918108,59907263,58401426,59036088,63824722,61387643
56565600,55547042,59424265,57939647,56919921,58005322,58722417,61245076,63216650
56380780,56899313,59240843,57723971,56856951,57868371,60424075,62224976,62664168
56743561,59201350,59369017,58002050,56622100,57947035,58884684,63057855,63701584
57094582,59145166,66288534,57300475,57192038,58188367,58797256,159288894,61750953
57210268,59854798,60651777,56996788,56812578,58405220,60343596,97868582,63435223
56757714,59967142,58599032,57811645,61313517,58374771,60421903,69277199,62059282
57632932,59140310,57651699,57825567,61500336,58176870,58886451,61872558,60956673
57085246,58864718,57573261,57767188,60098077,58158462,59348853,60713157,64429656
57099920,59770311,59733062,57798384,57813984,57530608,58927423,59947185,62552163
57884717,56542921,60320596,58794186,58002593,60126730,58897099,59965008,61472434
55925242,56492740,59956097,56872591,57956011,56879810,58990234,58755396,63087951
55907234,56824257,60505446,57304706,58558921,56871071,59085627,58839285,60828469
55790172,59805051,91611485,57049480,58121149,57125907,60976626,58722139,60426981
55891349,59252976,89293614,56862315,59690545,56979625,58839439,59127680,60760965
57348340,59428929,88942874,57790911,67174634,57264455,58095492,58990658,60222597
56664686,58898233,90385784,57732103,90296425,56532131,58525215,59145174,61715075
58217703,58852628,89442776,57952538,89825046,56220768,59276064,58754426,60700021
56631790,59747671,91976987,58937120,90835092,56815322,58979648,61662562,61179872
56618317,62242186,89324430,60257734,91991968,56823972,60522120,59819672,60946785
57625984,59152836,88956056,60088162,92910250,56682648,62215496,59717685,62006081
57198604,57477691,83447643,60441484,93899471,58517855,60854723,60444482,62631719
56824165,57130239,56182695,60594488,94195148,58135012,58734861,61183454,61873185
57366376,57294026,55827817,57797896,92022671,57831945,58693521,59665587,63346822
55860723,57087602,58402905,56816209,61984322,58065955,59269148,62273815,63617100
56507069,55505987,56038202,59682481,61393041,57917188,62038033,63057733,64312966
56456522,56482927,57673466,59249685,100340220,57942301,60463871,62983574,62657711
56890442,56948556,57718112,58197766,73630044,57757034,59986493,63002745,63631535
56799137,56512703,60008388,57927032,62660290,58213241,59346994,59758635,61970746
56676527,56826416,56955753,57944154,59001118,58570832,58453686,61060325,64129973
56412482,56458771,56887894,57823193,58745362,58075537,62154463,60764829,61001322
57732816,57589674,56741626,60111315,58509245,57959386,62488242,60026569,63701265
60069686,57283063,59531553,61015937,58741479,58020281,60796977,59765118,64070594
57648081,58805674,60069143,61076531,58271930,58096213,61969513,59691556,64247254
57977795,58091547,59437447,61417105,57896734,57452314,61054388,59674316,62905855
57318876,57631019,60231437,61111005,57864314,57236428,62175219,59768712,61636506
56559703,56329753,60158589,60302301,58136627,57556207,61064085,59451096,61853794
56323289,57394393,60653705,57682690,58205050,57269738,59063141,59797426,61405043
56550224,57347788,60847506,57579765,58181679,57543074,58755890,59708231,60829105
57576447,57409806,59960410,57702571,58511814,57211019,58185340,59564656,64597651
