FP32 eager b16,FP32 eager b32,FP32 eager b64,FP32 eager b128,FP32 eager b256,FP32 eager b512,FP32 eager b1024,FP32 eager b2048,FP32 eager b4096
392689,65441,865907,180495,165527,669190,314276,327284,528416
45254,43239,78813,78007,115236,159130,279902,412468,633534
37241,40344,68027,75215,100656,142427,282105,365768,583366
33784,41147,66510,81137,96816,145715,265536,373738,540396
33439,38870,66487,76413,97713,145376,323861,338526,453537
34213,38240,102157,72965,99732,137737,282279,342727,508541
32876,37593,61161,67822,95777,137460,308667,341259,467686
32185,38874,99073,75662,93452,136025,307648,326679,619089
31685,37500,68758,74360,93839,142432,322455,320856,531672
32192,37058,63002,73912,97090,152683,310689,323805,505859
31314,36991,86306,74629,101546,148849,321044,329763,519762
31825,39019,73747,74193,101167,140384,292029,922846,449682
31337,37532,67837,82859,115113,150163,324478,333797,480526
31347,36864,66603,89686,125822,133328,275143,319605,599835
31040,42683,59557,73200,95997,131289,325180,441147,515052
31984,37766,103881,74297,96134,137051,300555,385477,563278
30847,36900,68047,72162,120771,133611,283088,287015,530897
31349,36375,59594,80068,95905,122890,283690,296953,506381
30727,38515,60850,82427,94105,127949,292934,348258,516089
30873,36360,63384,72487,94797,133874,275193,352474,582661
30687,36413,78228,73341,100381,129972,298886,361521,551317
32575,36935,68038,74217,101411,127887,297214,332436,553828
30557,44740,76706,73803,95293,124623,280904,332730,501972
30492,38482,99498,74116,96175,133901,301421,341397,464051
30790,36781,64986,74338,114502,133175,283877,326164,613241
30530,37212,62138,85622,105460,135897,295988,322801,559513
38062,42139,93380,92453,90595,136110,338942,333029,505788
31684,36423,73609,91029,99148,135936,163857,336670,473036
31046,35896,60213,78886,104675,137720,154590,349637,549930
30762,36178,78192,76838,96599,127760,149074,415021,505280
30088,35863,72678,72784,100368,125442,152862,431383,606926
30380,36512,61468,73348,100585,115923,148416,325477,536352
31751,35726,100569,80017,100590,119945,151154,294313,457545
