FP32 FX b16,FP32 FX b32,FP32 FX b64,FP32 FX b128,FP32 FX b256,FP32 FX b512,FP32 FX b1024,FP32 FX b2048,FP32 FX b4096
212830,85464,353230,216306,160637,183310,403606,400827,594275
71735,67817,104653,156860,127107,447489,332497,416524,645975
64720,74694,95265,148322,128028,156650,305378,383163,672482
59037,64967,96406,153771,124727,147510,356456,354725,602091
57293,63481,135650,138736,117790,127160,289047,352595,597296
58261,64169,96083,147068,120796,120892,292618,348648,534580
61617,64804,115261,145450,115913,126671,305051,366447,562259
57043,62969,103223,141871,111781,133328,342833,351384,536768
56798,63026,126891,139396,116836,134075,309223,474078,646676
55815,64815,105406,132550,116907,132855,299790,339661,614064
56029,63686,107594,134700,115907,133981,338712,379603,520997
69917,63048,129858,132077,125129,117354,306235,321323,470710
60199,64266,95775,131174,115872,128001,311484,313821,479328
57704,62481,107172,138028,121645,125480,309741,372409,516161
56480,62674,90216,143672,122713,134196,309344,392696,652990
63833,70393,94066,133515,124203,130859,338611,364056,592014
56663,62701,92878,153079,121426,133216,312681,375455,558581
55571,64648,116364,144101,123909,132138,295557,361101,519980
55095,62920,91197,142823,124473,144210,301709,360324,506268
55216,62686,114897,140074,123510,148457,315042,369493,511122
61536,62234,91164,143778,113427,132347,308760,368366,644556
55374,61594,123259,143191,126384,133709,340668,349419,569897
55223,63390,107460,135536,125599,149946,339191,343799,530347
54669,65047,118412,144192,118745,132663,308528,460399,519588
54232,62493,90804,138794,126725,132268,348259,305894,542552
57496,61199,115882,130705,128689,145278,318025,354281,674205
54794,61913,106634,141322,123658,133388,350453,308816,589168
54111,61320,116284,139481,147505,131833,317752,359061,580872
54892,61468,91205,131069,128928,133732,376723,360411,561700
54724,60615,138942,131035,125976,126587,319157,349953,612522
56548,62305,95656,134183,143803,134001,341478,369240,493679
54464,60954,116184,138472,125651,144120,313362,366371,726661
54627,60526,107833,129755,126897,132163,324977,358155,587724
55029,63050,115119,127234,126419,131394,305274,358222,609067
54076,61260,103522,149549,127550,132896,339366,380135,800311
56812,61020,114451,120839,145202,134198,300999,379320,509267
54804,60774,91581,129430,125600,146099,325377,377280,508488
54248,62681,130000,128526,127397,133227,309586,347268,655201
54608,60833,91261,135286,128228,134394,305542,344777,591091
54864,60597,116203,138259,123510,145133,416850,353811,523092
61124,65706,98567,116279,143761,130762,189437,454441,520564
53795,61431,115296,117194,125033,132248,189671,277264,496933
52725,60546,94949,117101,125961,131490,186719,297194,495560
52709,61140,116499,115697,126502,143583,186754,326145,644391
52966,61785,91032,117156,149193,133777,186730,382478,607027
56998,61609,117012,122976,150052,143806,183463,393248,486118
54369,60356,92866,117723,133117,146068,174597,413035,533013
53428,59822,136529,118577,149716,143337,176199,381972,466179
52606,61699,90421,118116,129617,147825,181846,353010,496153
53890,61015,132605,123017,145721,146826,174875,376220,721247
53119,60829,91130,112835,153497,133331,178641,389152,1402175
53973,66674,135438,113642,129185,133981,173775,357603,570863
54789,60536,82872,113738,142981,131814,191053,378625,545477
53164,60383,92398,112833,134360,130545,176930,343370,509855
52906,60480,90802,119748,131716,135828,181736,348652,684490
53133,61550,91869,113810,131203,146108,190604,470115,607365
54722,60918,89677,111891,124560,135493,193933,287426,577595
52812,61449,93272,112502,123700,141204,182048,270403,527424
52342,61423,99476,111000,127617,143384,185313,291912,595406
52949,61680,89554,120851,119077,381917,187703,384964,511113
52542,61232,91551,108084,135191,174809,192255,359721,649332
52857,60309,93990,109040,125044,161390,190442,402335,574836
53532,62169,90877,111599,125712,149106,195440,373882,533677
54966,60775,97453,110446,121748,147662,260916,357059,460177
53158,60474,91086,109447,126105,159695,173268,364978,504716
52912,60469,92390,111493,131702,153096,291145,364256,517825
54348,61479,90718,109883,127099,154183,197850,363645,679675
54786,60295,90837,107206,131491,349953,250005,349093,577533
52757,60908,91443,107593,120806,168860,280640,356114,522509
53210,66209,89952,105552,121971,139146,206338,355358,582975
53446,61007,90260,108562,137719,145179,236131,353914,971747
52842,60779,91231,108602,129377,143480,200366,355030,581729
59713,60495,89325,108870,129046,152174,228905,355889,621920
54171,61619,87919,113688,123885,143310,239763,376117,576956
52914,60547,89300,108561,129084,128798,214993,489560,549009
53031,60333,99889,110488,127493,148078,237514,272505,507449
53640,60869,89518,108086,132873,125453,283306,305025,505309
53461,61746,92694,107068,125636,145381,258818,311130,647723
54311,61578,91914,105698,122458,140520,260755,378967,584739
53338,61869,90086,156207,120343,149596,289587,402113,518199
54249,61513,89998,141635,128936,129139,299746,598095,511301
53952,60858,90451,157166,128275,127885,238222,479880,533887
52891,61285,91080,135724,149652,138807,278622,411561,519424
54693,60392,89386,141273,126492,138520,266065,405264,674458
53256,62024,89841,138103,128791,147341,260588,425327,613753
53102,60721,89401,142579,130549,147998,251277,378580,534829
52616,60256,90419,136153,128336,125768,313203,371254,498443
53198,65519,99704,142007,129331,138687,273000,542704,499030
60254,60966,91531,140971,134552,140234,364105,374803,522930
54545,60627,92234,133459,129365,141411,259763,448600,645169
54017,60929,88162,134215,129862,144731,245997,305609,596909
53242,61650,88836,133681,121743,130213,304050,275591,585693
53291,60671,90966,143489,130257,142029,266707,305405,576921
53584,60933,95946,111326,128619,144354,293743,421656,551191
55309,60660,89067,120986,136136,129954,283182,364002,587674
53316,61036,89695,117620,125754,144713,300376,364907,708940
52617,60571,91489,118153,129563,146398,258098,349991,587426
56994,59836,89318,115055,120981,145375,285076,342269,605793
53046,61836,89833,110245,132989,146603,303870,377173,511355
53904,60942,98623,115738,119130,149498,288211,344244,579719
52754,60055,88309,109147,126406,145785,272072,381895,606849
52835,59898,91352,109855,120677,146775,310826,350961,649404
52685,61448,89970,101439,130169,147695,339578,347559,616709
52088,60771,89490,107063,128901,146814,251775,354380,588103
59332,60553,89613,103812,128912,144234,250896,360662,559188
53157,60660,88324,117327,154747,145238,244380,336288,581785
52926,61372,90078,140598,123424,145957,408516,346364,602582
52462,61102,89086,134284,128057,146952,201132,342201,655181
53643,60785,89391,129327,145308,143594,190171,463338,614679
53275,62366,89129,119621,131147,147955,188578,312242,521621
53518,61237,91197,121157,129116,144759,187314,326036,564907
53645,60615,99938,131108,128112,134414,185634,381379,599182
52175,60325,88984,128836,130355,147435,182881,307881,521167
53088,61390,89524,127435,127856,135579,179073,386003,649736
52214,60644,91165,128650,127888,147601,183345,395111,559180
54683,59984,90283,118589,121812,149108,165128,368108,485663
52752,65947,90792,112552,119071,147013,187394,394503,522672
53146,61234,88778,104551,120728,146121,171817,332175,517162
52968,60348,89957,104027,129533,146343,168963,367867,646205
52737,60580,90312,103037,126152,145695,162143,343010,587314
59402,62757,90564,103292,121645,146392,179437,340837,616146
54563,60248,88295,128578,133047,144625,178306,366820,533697
53512,60987,90550,122961,128453,146439,164305,334439,591299
53267,60758,96310,119560,130070,146854,186831,498539,472334
53840,61315,89114,105235,148893,144784,180042,410150,650937
53024,61278,89927,109905,127619,147144,166296,259674,611754
54835,60152,89940,109171,128688,143248,180388,308887,523383
53886,62159,89063,107222,126248,146214,181563,367174,530970
53839,60679,98544,107347,127548,134332,194759,402440,496170
53460,61138,89362,107520,129273,145480,191377,348903,542008
54454,61012,89033,117846,130631,145675,188658,390121,633632
55202,62353,88704,107927,128579,145701,188605,375531,577084
53823,60908,90974,129694,130228,152973,189273,360715,503314
53877,60861,88861,108906,120020,153360,273190,381685,486846
53153,64833,88847,105089,128407,152175,196207,408731,468490
53786,61439,90729,125066,134798,155508,254385,349075,514068
58108,60198,88804,125514,127050,151735,218843,353243,666582
53951,60876,86862,117288,127696,156558,198999,351575,567031
54059,61861,87878,136404,130700,154715,224638,392758,544382
53683,60884,88702,136905,130889,151101,197429,399994,558451
53436,59981,96037,136067,146453,150868,248840,354436,520888
53244,61001,88510,127420,130097,157305,206831,391554,491347
54370,61096,91854,135327,134702,156932,214399,434504,672614
53247,60287,89183,133587,150202,142483,248213,350194,557878
52900,60126,90910,135267,150372,136928,244026,414002,564547
52757,66430,89938,129094,151146,136312,277238,354050,500609
53923,60320,89037,134856,160404,144913,295545,364233,534795
59838,59797,90111,132151,153946,151518,288775,405925,502310
52780,59728,87700,136255,153239,149095,280740,367892,667500
53893,62020,90078,129017,133593,148190,290362,370258,594499
53286,61268,89177,127268,148058,135440,283265,359145,546426
53422,60472,88244,126738,151288,147762,295848,369414,512229
53554,61490,97075,133015,148500,148290,267689,366836,508912
55720,61448,89658,133320,149256,149865,277141,374152,489637
53635,60901,92273,127896,134224,158194,280820,384824,682455
52861,60585,90372,144101,159953,147378,251687,373177,612742
53634,62638,88200,126133,150217,152070,287850,357241,487235
53272,60960,91185,136712,154273,134058,305025,427067,489225
54422,60543,87028,136447,153756,137980,273279,287312,501499
53374,61026,89833,121370,148982,135259,276892,321760,659689
53394,61623,88468,102789,147405,135979,276770,298553,615064
53300,60660,89929,106819,149942,136257,254950,381114,607241
52796,61640,87729,105097,128980,130933,268030,346168,524327
58912,66032,88796,105659,132501,134767,307500,367992,602875
54802,60983,95103,112359,119974,147365,259569,369484,609600
53847,60805,88412,104228,132615,147868,260662,365723,672665
53727,60076,90155,105106,124021,149150,275819,367688,603147
52772,61844,90768,120957,125635,148115,269139,358973,607497
53364,59972,90306,106159,137751,135810,274794,352832,550561
54363,60796,88910,104937,129368,150210,275919,340497,578360
53285,60721,88969,105183,126063,137239,279959,375899,502618
53153,60844,89432,105402,128106,137809,261685,352110,647677
52945,60062,88243,104803,122495,134571,225745,357148,635345
52978,60693,90579,110366,130232,136995,271947,370209,511285
53967,61526,89924,107500,131811,150032,243927,353612,543083
52465,60845,92286,119785,129155,145393,243068,329593,515909
52531,59576,97889,112822,127486,135883,389621,455016,529622
52696,60312,88932,203339,121832,151732,210275,332197,678666
53230,61307,89664,203870,128922,147886,177680,290868,579859
57444,60209,88842,213020,127148,146976,234970,405791,548890
53270,59796,90355,204795,126289,137311,215828,374638,497340
53023,64839,88795,192239,128812,135908,221203,347449,495171
52624,60876,89482,183428,149937,135202,239026,361878,472114
52873,61854,89448,185785,137440,155151,225012,348928,635789
52893,60610,87874,180429,135055,146364,232090,378733,592375
53813,61767,89606,204328,136153,147157,213895,354108,503678
52875,60355,88804,192799,132883,137569,218917,351744,518961
52899,60173,88656,189625,146873,136146,219880,364794,506033
52836,60221,98787,179485,150984,135117,214264,359381,491975
53412,61824,88465,199087,149773,149002,218823,338886,711938
59177,60049,88112,202720,150438,135012,238037,343387,598099
53770,59216,89598,187898,149585,149139,215113,436355,515081
52908,66462,88240,188897,151857,131442,214122,271581,492844
52574,60910,90097,198011,159731,144702,225827,247203,582266
53130,60060,88591,209606,150479,157790,212096,312209,523267
52382,60512,92183,148228,147251,136701,211743,341885,675120
54913,60710,89039,146578,152238,145870,213227,364227,586313
52565,59962,90305,153839,166827,147471,245767,378398,535612
52977,60863,89936,148374,150666,148624,215549,375975,491247
53139,60387,89301,145390,154343,135812,239059,350583,518414
52262,61065,99660,144680,157564,147157,215966,369727,662202
54656,61152,88040,144890,135365,129893,200172,346025,597008
53390,60354,89902,153243,123256,134485,307084,348135,558851
53560,61617,89015,143832,127006,136164,220928,358756,527671
53526,60808,90238,144928,114942,142859,331823,346074,455439
53347,60232,93598,179748,126543,142814,229040,371763,505560
57629,59946,89977,138516,139182,135776,285830,376670,670301
54103,60369,90104,141795,115150,143705,260774,366412,545095
53041,60300,89489,136690,120350,136138,211864,357682,538116
52470,59859,90241,139195,123135,148351,243081,337129,502663
53263,66058,88872,140452,120963,148384,277681,455385,485458
53106,60174,90957,137403,121678,150040,250337,263443,502832
54805,59983,87246,140173,114393,149631,248300,290387,626881
53663,60399,87914,134253,128257,134939,256907,412185,594061
52643,61065,89180,136082,121447,135455,267711,317051,529570
53479,60784,88680,133564,122269,154692,300166,345507,508503
52666,61203,89253,132496,123591,139347,349877,319603,499677
59892,60201,95277,131108,123269,137443,313743,373636,513721
53035,61778,89180,134409,121188,147426,272811,401272,661394
53232,60550,89629,132681,124496,135680,280533,375589,597356
52794,59794,89635,136119,113541,149842,285148,403230,580938
52970,61999,88363,135210,141523,148812,261058,321353,523324
51918,60450,90273,142730,113252,134031,275927,371372,557499
53633,60478,89629,149265,156331,148696,314613,367865,580499
52726,60534,90256,135772,137234,147908,297871,367512,676842
52850,62540,87838,135659,145040,154350,295874,431826,604781
52889,60596,90288,138824,130516,147645,277227,283224,528638
52672,59750,89643,136486,128128,136602,264988,213983,519246
54246,60286,89221,140806,127478,151532,257541,294791,492254
52979,61391,96900,131297,365318,145520,279107,355526,586728
52487,59883,88602,132058,169838,144953,279619,385874,645574
52535,60046,90651,133520,152380,138050,290245,401521,580503
52998,61084,87869,146489,159243,151053,255976,351644,568605
52996,60009,89658,150110,135906,145373,282208,358129,504984
53500,60209,90095,125007,147583,136078,289561,404144,631512
53052,60549,97749,138226,144243,152219,273471,393774,488388
53272,61497,89689,135272,142602,137266,284884,387857,641209
52657,60120,137523,126737,144646,137406,259037,389228,575018
52436,59734,115191,126652,150238,148970,276796,394810,554016
53319,65285,121192,127730,149481,138881,293520,394834,517555
53739,61317,118053,127710,146964,148841,276281,426419,512945
53260,60332,113266,134492,143581,136502,277846,419443,672277
52850,60162,121328,136880,152532,148915,306276,396704,600535
52972,61334,123059,134810,141816,154813,281208,400835,512396
58892,60303,110005,155942,145922,155806,407948,463854,588349
53540,60344,114972,133269,143445,137675,196943,423193,537159
53097,61078,110603,139531,135470,136459,192724,396202,584917
54245,61177,112027,133337,145354,147061,181616,414079,668971
53139,60715,107818,135046,142214,147373,177168,394244,548553
52752,60664,124873,133275,124936,136255,185705,370036,578458
53911,61773,112161,134295,124581,135247,181329,437947,507966
52564,60640,129560,129061,134898,137565,183302,393341,524233
53191,60161,113082,136235,139698,154844,182463,396499,563365
52246,60273,105309,113701,123104,137916,179693,418196,3355722
52466,61508,116359,116386,147543,136510,164830,381520,722835
55706,60798,91677,108354,145365,136362,158256,393339,489617
54388,59989,105200,108281,161275,148468,172458,404385,497080
53172,61256,93661,122984,133962,147448,171748,402088,458629
52760,61250,126600,106797,143929,147087,177606,377166,494827
52679,60213,91205,113173,145481,146839,165724,476339,607732
57960,59973,108253,106026,137294,154439,189574,398808,589654
53405,61682,97931,106415,141347,155925,165806,403745,481713
52464,60450,122321,107291,134115,136357,170906,419959,517673
52109,60683,90326,107048,144508,136307,164802,399139,484820
52639,60196,109728,113740,144481,134973,166578,384427,507003
52664,61501,90951,106189,135389,134796,167500,409883,604315
53882,60223,104868,115069,148458,133230,178616,390692,576626
53399,61073,93293,117004,147151,135701,188391,371702,506131
52566,66406,122862,105613,145747,146610,186744,390857,512671
52725,61075,91375,100517,141439,146403,193262,414172,442069
52617,60258,129636,107341,141433,146189,258235,405288,502934
59619,60452,91471,107271,140236,135714,296303,405650,590737
52977,61735,114193,119031,123237,142271,291878,406634,552340
51792,60850,91706,116722,129425,148038,176155,402714,515063
52102,60489,113197,108373,123127,137034,276748,425673,505700
51761,59823,91662,106394,139895,136335,224024,385200,487248
51719,61749,113801,108461,146998,149691,212807,392625,542306
52865,61181,93293,112731,146618,145602,215064,380801,623749
52650,60759,131235,106875,146924,145810,225894,506231,575993
52342,62619,93970,106182,145635,149103,201012,470628,493368
52530,61238,127592,107455,147810,148697,229609,412080,547178
52418,61156,90136,116259,148643,154638,214741,411626,533763
53378,61652,131453,112110,149045,135060,242673,425228,650023
52388,61539,92623,103771,150936,136952,235056,405416,535588
51965,60751,129070,115617,147339,148305,234392,384370,569223
52704,61338,92481,131050,149928,149123,252728,393191,564703
51730,65108,122731,139798,142907,134196,266886,424783,574705
52035,61486,101560,115064,133891,139018,273659,392623,491244
53894,60968,90156,120754,152826,149662,258456,410239,652223
52954,59302,102295,111910,147418,150581,261929,380501,590659
52401,61220,87820,121438,151863,148882,250509,404192,548802
53103,60363,88124,113932,134022,148460,237685,394452,495536
52130,59921,93798,139966,149594,149107,267674,409183,501268
53216,59738,86554,123468,150740,135587,259906,479041,484257
52420,61580,84978,120805,137048,136672,265530,416089,660586
52772,60193,86214,104443,128475,137219,330061,416317,566053
52996,60015,86998,101030,123555,151876,262700,405489,531264
53003,67151,86583,103643,123712,148640,276443,404127,525494
58738,60620,87767,102448,125227,135345,263244,415906,526338
53464,60165,93575,124639,127042,152586,284733,398953,492606
53761,60126,85439,104674,132036,150313,232489,379529,650871
52498,61411,86767,105790,131923,147421,272056,385612,585346
52211,60610,86927,105717,111651,160797,231595,395871,553796
52185,60267,86173,109887,112836,149177,258541,413806,505051
53165,60517,86599,95417,112730,149924,250487,385394,527151
52637,61440,86406,106055,117154,147746,265217,438131,525027
52381,63380,87552,104338,116259,138134,265794,407676,673166
52266,63034,87680,111216,125789,136499,265528,392243,573472
52598,65384,87318,114378,125059,149058,265558,401037,546868
53732,63822,85546,119176,111514,146121,386583,398941,513298
52943,61258,85537,105692,112319,135922,197487,410624,569533
52452,60190,88366,104713,117803,150696,197921,375126,548464
52735,61846,86538,106268,121262,149700,183658,459445,662946
52979,60547,85963,114834,116602,149444,181145,454005,587120
53120,61213,86316,115775,128973,148130,177117,377422,520399
53811,62354,94282,114341,112824,152468,169921,395562,511750
53260,60970,86625,113973,112949,149541,180086,414849,504752
53160,60781,86485,104916,110656,150169,193251,400568,498884
52281,60476,86456,104885,110875,132511,175811,397821,639873
52405,61346,87316,114390,110975,136685,177429,385697,571064
54019,60414,87753,112685,124740,134809,180974,423999,534808
53316,60724,85762,103118,124147,144690,185984,416016,503054
52233,65509,94100,104352,129886,154488,179826,417827,455244
52194,60677,88277,105893,124811,149394,181239,382125,642251
52292,59924,85294,103642,127225,152617,175285,393886,583790
57939,60052,86744,111793,117022,136232,171511,373727,583323
