FP32 inductor b16,FP32 inductor b32,FP32 inductor b64,FP32 inductor b128,FP32 inductor b256,FP32 inductor b512,FP32 inductor b1024,FP32 inductor b2048,FP32 inductor b4096
2314740419,46121954,44879241,52740271,45500383,48283963,44999082,45014517,45612966
117349,111207,135998,138963,166424,208201,219325,505843,642675
83090,87720,132733,131936,152009,178675,211175,424577,655049
79129,91937,136058,124504,167966,191779,204013,418305,578226
75033,84834,122955,116988,156079,166141,193045,417088,616405
74873,85478,132419,123237,143052,182313,196600,418889,518651
74092,82660,111357,123022,148124,185800,198909,416525,550229
79769,81294,117144,129111,149722,185843,194153,402360,714408
72986,79890,136353,135627,140809,184934,191112,400855,595179
73976,98223,144521,121320,155890,177197,181218,388382,586099
71962,82974,123499,133826,160018,169224,190757,397686,560032
71484,81610,134747,115652,158489,181799,249831,375426,522493
77888,83760,107438,113371,158892,178029,200062,388726,759547
72310,79440,137096,114628,159300,184750,199675,380038,655704
72758,78331,141118,123418,158721,172583,200414,373073,597488
71287,79479,126414,114481,154724,167533,202599,403518,533247
74688,79060,147550,113191,154016,168551,209592,370926,616568
71375,78003,149625,112288,157335,155558,196614,506183,656498
85785,78519,146167,113953,148337,177858,285023,365896,619250
75158,78019,123035,114468,150813,182594,265008,341677,704007
75974,76869,128473,111898,131286,175643,270922,389669,643992
72675,83841,124361,113001,132951,172049,260010,373293,568228
71436,81495,118594,112967,137160,181683,274500,432717,561260
78758,83727,127104,111976,149979,178044,293061,412854,508276
78429,87544,125535,114088,130986,173184,274920,380227,526723
72309,77420,138690,113500,136533,170159,258740,380366,676398
70791,76387,112789,112573,134308,185955,316477,393220,644361
70627,77509,124056,107380,145842,163749,345379,478326,570759
69432,77649,119888,112067,147573,156520,324616,430967,556110
72566,76932,126968,112172,157651,171913,286893,453578,581954
73377,76025,128289,121445,135249,168501,344948,412752,509834
68857,77595,126672,119255,145594,181561,315593,431786,511264
68886,76114,162721,115661,136647,173783,332396,419924,662470
76150,76125,138928,112287,132498,173550,287092,438077,636601
69896,94752,162504,113978,132969,178624,289787,410061,609528
69516,79150,127134,113090,143757,185069,310147,542182,547668
69836,78911,113020,112818,139717,168157,275631,452036,563482
69958,81161,145128,115092,138179,170379,289991,391607,630971
72112,75624,149296,111916,129568,171392,305231,423839,739311
68507,74707,142798,124707,134814,176709,332131,395264,650872
68172,83029,110654,126974,133863,171641,287235,410552,542507
72510,76446,144490,133765,138106,160708,306017,438891,544299
73499,76587,159113,127192,135134,172065,255611,477399,617460
69061,75562,142325,120258,135820,179204,312344,468184,725120
68240,76487,115089,125182,132909,176205,290727,441849,633148
69070,75176,127479,124822,126992,174723,304126,408995,601418
67302,74929,136959,126365,138262,173076,274429,441020,555143
75940,94312,133083,133472,133271,172605,300748,439366,545097
68779,79210,110379,125311,133381,182678,338513,408550,586127
69055,77931,146384,119136,130645,173542,304301,398122,630163
68816,80080,121503,122257,133307,171852,308930,383460,714876
68540,75495,164943,120296,141365,183850,317991,397187,633832
74442,76134,112141,120472,132557,173564,286585,436663,559926
68812,82588,151731,127646,130554,173138,321796,547818,630792
68776,75483,132583,121862,132552,171608,304131,427013,607667
