SHIR FPGA (buffered) b16,SHIR FPGA (buffered) b32,SHIR FPGA (buffered) b64,SHIR FPGA (buffered) b128,SHIR FPGA (buffered) b256,SHIR FPGA (buffered) b512,SHIR FPGA (buffered) b1024,SHIR FPGA (buffered) b2048,SHIR FPGA (buffered) b4096
203294,225773,268056,305197,380622,583449,1045377,2089697,4274032
192569,227416,268388,295018,380300,539335,971301,1673651,3334443
191860,216853,274127,302190,386266,546503,944157,1713388,3093660
188008,223545,262859,292634,375549,551674,1017814,1665326,3031725
190514,215197,263671,294286,379033,544151,958458,1654374,3065666
187649,214460,266522,297261,377271,554300,1026772,1645960,3015161
192090,216583,258406,293570,386706,545435,1006677,1651495,3259738
188953,214168,254628,292076,372542,545812,959488,1643727,3183902
190045,223993,258737,298418,394934,548349,1029921,1654454,3075207
191343,217445,259507,296026,372363,546294,1037643,1668152,3022822
188783,220057,264420,298753,375614,548323,987233,1692642,3025298
186306,214833,267903,292566,380416,547514,2840638,1652056,2998419
190660,214121,268485,293719,381533,547508,1712274,1906612,3241941
184912,214498,258924,308742,372396,882676,1018816,1666433,3220374
187871,210758,258504,300443,374723,590665,994158,1630161,3132679
187145,214883,261504,300143,391139,578170,992423,1620055,3065729
187169,213714,269284,305713,378237,574468,996269,1633550,3038133
186564,221294,265549,295312,377064,560821,966369,1597340,2991138
194386,213453,267131,297404,375315,557534,969050,1607020,3282983
193793,222729,275858,297817,388931,571711,1000906,1644933,3231511
188457,213642,262291,296089,376470,567203,977954,1647732,3089538
193250,209457,258643,295838,380435,567585,992077,1670912,3046086
191900,213260,269350,293041,376093,564044,998186,1655116,3036604
192472,213782,257213,296955,380576,562865,988856,1625966,3015791
190943,214159,260798,296393,380514,569556,999081,1671007,3253771
187322,210855,263674,295965,374084,569837,1015770,1642652,3227702
190994,218449,258955,297381,372567,555134,990666,1641821,3109816
187697,212551,259750,295161,385147,555544,1006663,1658002,3065697
190760,209577,268320,300784,390767,568366,991787,1632239,3054691
189913,212132,258969,298383,373478,569518,926890,1643425,3167633
185981,217835,256144,299611,374008,552022,985875,1619662,3412776
187406,211160,268076,299690,378334,554593,1006240,1826550,3204217
186531,209540,259971,293586,372544,568050,988120,1702770,3065957
189936,218432,257754,295296,377520,552714,1029926,1633253,3047298
187434,211315,264330,302479,375128,548695,994721,1670809,3027658
184022,212377,261214,301041,371522,550386,959985,1650305,3031527
192438,214139,261785,321137,381957,565064,1004772,1655229,2964632
183704,213694,270020,307029,377246,543630,993476,1660173,3185873
184015,213248,264348,302109,376684,541495,1018109,1637613,3205512
188659,211866,268909,297945,369880,558996,985456,1655157,3110177
187222,212570,272429,300125,379002,558721,1016569,1677192,3094520
182409,232743,258570,296206,373843,560716,967706,1663029,3056259
189248,233510,261858,300586,380158,550770,984976,1631289,3013357
189736,213311,260468,304808,372409,548180,972131,1667341,3239801
186635,216902,261575,300640,388807,554634,983886,1657002,3218709
187606,212203,264599,293534,372160,574154,1042849,1626780,3130825
187788,211465,264626,295734,378393,538234,984936,1629871,3049372
185785,209809,261302,289806,377308,559272,996589,1892699,3032206
186325,210212,262557,292221,385337,557253,1003036,1729189,3295669
188281,212313,254487,290997,376397,545842,1016533,1668098,3247202
187134,210612,264478,290669,377043,564667,1020878,1677204,3109691
190787,222549,272024,291344,374972,544473,973126,1648975,3045400
186373,211384,272357,292292,379833,549385,1028099,1657196,3039803
186788,215361,272857,291106,375239,565191,1151137,1738268,3034092
187270,209467,260730,291407,372270,552954,928105,1676680,3255910
187956,213453,265596,293097,380908,544370,905100,1644737,3205671
184604,210453,260403,291768,381096,560190,913975,1671543,3091248
190489,213240,272054,292029,381493,562661,901013,1661100,3052604
184977,212947,257932,298187,380126,580066,915337,1687857,3007970
189474,211884,264284,293420,379215,567649,903280,1683888,3062449
188398,216137,269740,294665,400617,545022,903521,1655460,3234141
184975,210201,263150,295668,372056,546324,893688,1672458,3213439
186109,215424,265979,292400,378200,546384,881028,1628461,3088977
186943,211196,266973,292891,375720,551537,879613,1666579,3098856
186631,208579,259026,293843,377422,550741,882730,1634635,3014136
185017,211528,260005,293241,372787,561600,888627,1660128,2957751
188673,212010,266605,292600,380901,550774,888008,1662170,3297411
187093,221079,256100,295023,381961,547037,886733,1900573,3211214
191400,213815,267456,291974,378767,550100,890750,1700459,3201711
186692,220943,279382,292491,376306,531239,876241,1695715,4088491
184774,211915,259273,294638,391133,559297,880520,1677568,3071139
187082,211354,263123,291189,371379,569379,877510,1684728,3084484
187859,212749,266862,293368,376879,553153,861330,1640699,4388100
