b16,b32,b64,b128,b256,b512,b1024,b2048,b4096
4083994295,4238838715,4090486470,4083148762,4087858975,3928440858,3930587656,4242038655,3932773740
48232,54542,51631,50689,58917,49388,46742,44128,43286
30351,34933,33615,35539,38389,32643,28959,29658,38994
29381,33719,31004,30936,32748,27236,24663,22542,34873
27854,33062,30634,30062,33202,27848,22776,19649,19375
28054,33872,28833,29766,41540,24421,21894,28337,16191
28646,33208,28289,30150,30678,24430,21220,17032,16262
27155,30830,29140,27767,30469,23192,19877,16644,15060
27549,30945,28214,28730,29843,23306,19274,15593,14932
26758,30987,27737,28923,29543,22125,19141,15193,31527
26679,30407,27877,27915,27854,21835,18599,15349,32938
25626,30507,27670,28000,27522,21255,18274,29487,17850
24918,30259,26211,25489,25956,21293,17232,17433,16419
25326,30509,25594,26238,26551,19770,17325,14332,15186
25459,30369,25812,25855,26184,19748,17341,15568,15146
25432,28596,26168,26560,25006,19283,17071,14997,33108
26643,28171,26438,26372,24976,19472,16476,15160,32140
25928,28446,26843,25024,25104,24977,16335,14746,26844
25424,28482,26272,24381,24386,17719,16211,14681,19356
24861,28200,24337,23956,23699,17407,15728,14737,17643
25533,27698,24555,25129,23721,17629,15233,14344,18814
25748,28189,24098,24288,23025,17304,15104,14290,35373
25473,28426,24438,24862,23176,17621,14887,14281,36678
24888,27842,23416,23746,22822,14594,14813,21124,22065
25046,26461,24690,22878,19762,22541,14899,18823,20493
23836,26198,24225,31162,19801,14250,23153,17518,19720
23390,26496,24720,23541,20214,14127,14433,17208,39637
24194,26602,23645,23789,20269,14321,13852,16236,63174
23976,27122,23258,21878,19589,14199,13859,16020,30662
23861,26622,23167,21990,19533,14027,13730,15618,28733
24151,38912,22990,22651,19490,14355,13252,14826,25937
23984,26327,23316,22239,19257,13675,13513,32742,27809
24080,27137,23380,22361,18688,13545,12825,21579,22706
23675,26674,23397,22020,18037,13340,13134,16236,47201
23899,25297,23389,20924,18677,13550,13426,19774,43293
23975,24813,22419,21361,24707,13658,13486,14831,46370
23906,25287,29543,21307,17410,13355,13159,14565,21185
23941,25090,22332,21356,18295,13459,12990,14536,21716
23783,24641,22143,21178,18392,13430,13410,14440,29053
24107,25241,21487,20901,18604,13747,13209,14521,34074
22807,24778,21958,20601,17653,13966,13185,14585,23117
22652,24801,21638,20224,17424,13630,13138,14363,17798
22830,24830,21376,19935,17401,12879,13314,14238,15306
21844,25273,22445,20703,16980,13560,13340,14181,29179
21548,25254,20757,20212,17058,13044,13294,14323,20610
22165,23560,20590,20660,17148,13210,30809,14296,31636
21816,24041,21007,20112,23603,12932,27192,14379,22548
21644,24000,20837,19867,17216,13805,14493,13998,16831
21521,23820,20719,19242,17132,14132,14411,31551,16212
21721,23417,20940,19563,17131,13591,13871,20234,16367
21727,23371,20954,19090,16422,13085,13076,16235,17814
21795,23435,20299,19124,16160,13844,13336,14986,31456
21604,23936,21248,18950,16488,13873,13183,14184,23196
22178,24057,20193,19484,16504,14467,13478,14182,17790
22009,23810,19958,18910,26799,15937,12897,14915,17565
32389,23982,19589,18681,16132,15599,13470,14309,16491
20751,22383,20166,18452,16229,14400,13072,13790,16931
20028,22800,19576,18472,16457,15355,13441,14377,36342
20512,27217,19917,18103,16059,15328,13555,14058,27504
20726,22600,20589,18614,15631,15616,13165,14279,21379
20393,22454,20341,18264,15608,15906,12972,14530,17690
19863,22477,28660,17959,15553,15875,13056,14153,17637
20706,23055,20376,18223,16025,12760,12831,13734,17822
20447,22675,19267,17922,16035,13860,13121,14124,37303
19614,23127,19345,17869,15159,12567,12870,14219,38503
20292,23642,18771,18399,15292,12620,12990,14384,19991
20412,24116,19209,18327,15422,12724,12896,14232,17916
20102,23390,19657,17891,15204,13366,13107,31983,17141
20844,21878,19148,17577,15439,13671,12707,20632,17711
20448,21551,19290,17490,18372,12487,12863,15324,17764
20516,21938,18935,17431,16357,13433,13428,14896,37181
20933,22076,19098,17353,16545,11993,13403,14562,38272
32598,21684,19374,17286,15722,13457,13242,14554,28941
20054,21373,18792,17258,16333,13776,13883,14056,24607
19879,21470,18474,17379,15979,15850,13841,14002,19044
20098,22058,18663,16796,16007,14166,13069,21591,18749
20056,21818,18559,16918,15960,14038,12939,14232,35953
19968,21374,18816,16687,16234,14125,13070,14471,28156
19832,22226,18719,16799,16335,13992,13366,14183,20782
19693,22403,18741,17498,16234,14070,13112,14149,18716
20494,21655,18782,16913,16708,14216,13372,14091,17386
20326,21033,19301,17482,15891,14229,14129,14852,37971
20386,21173,18873,17014,14668,13758,13362,13978,34546
20647,21299,18231,16735,16156,12272,13180,14322,34700
20390,21408,18362,15912,14259,12456,13369,14182,34127
30212,20909,18306,16273,13110,13402,13439,12516,23223
20258,21132,18243,16468,13159,12567,13068,24915,20572
20831,21068,18035,16973,13024,12223,13335,17436,38913
20374,20878,17875,16736,14141,13572,13487,14968,34600
20733,20962,17626,16502,12820,13667,13928,12617,30996
21136,20810,17582,16256,12905,12296,13533,12390,22647
19798,20826,17509,16036,12985,12430,13339,12083,20460
20036,20749,17503,15817,12990,13298,13262,11896,19719
20182,19651,17830,16370,12232,13595,13208,12132,36587
20132,19511,17744,16053,12850,14311,13255,12313,27288
19942,19511,17127,15824,12698,13931,13381,12293,20931
19861,19781,17235,15929,13099,13893,13490,222658,18940
19715,20166,17166,15814,12945,13898,13441,12393,18949
20267,19443,17150,15682,12868,14097,13489,11636,17415
19629,19598,17104,15361,12608,13908,13568,12321,37326
26323,19942,17195,15755,18412,14106,13456,12171,27622
19469,20185,16605,15672,12791,14126,13472,11972,20520
19380,19710,16673,15202,12911,13863,13445,27466,21460
19549,27329,16970,15447,12657,13671,13463,17592,18439
19340,19560,16943,15545,14839,12514,13456,13040,18766
19199,19594,16448,15636,15696,19881,13587,12106,37969
19209,27199,16269,15389,13543,12550,13239,12163,36422
19452,20495,16361,15723,13773,13396,13439,12120,29328
18819,20221,16634,15066,13323,12784,13222,11869,25715
19077,18398,16376,14778,13198,20699,13245,11962,20461
17970,18819,16471,14865,13195,12662,13131,11973,17974
17784,18407,16641,15284,13480,12542,13659,12034,37162
25852,18666,16388,14884,13295,12455,13490,11847,25094
17676,19017,16227,15143,13304,12115,20824,11933,21440
17929,18672,16399,15006,13083,12321,13014,12151,19105
17858,18801,16571,15102,13763,12369,13258,11988,17734
18058,18491,15733,14729,13146,12272,13214,11767,18169
18069,18639,15950,14777,13456,12178,13106,11759,38838
18163,18174,15928,14812,13300,12570,13023,12349,38595
17791,18727,15791,15230,13383,13718,13361,12074,28268
17916,18639,15928,14779,14705,13488,12802,12241,35462
17972,14857,15750,14797,13144,12471,13310,11791,19046
18376,14762,15948,14542,13341,12113,30258,27482,19084
18449,14876,15653,14687,13178,12507,15942,18094,37597
17903,14886,16075,14729,13484,12495,13408,13751,35815
18978,14653,16212,14567,14645,13557,13346,13061,30193
18565,14848,15946,14351,16501,13828,13351,12512,23702
18586,15063,16091,14366,16357,12174,13036,12589,21363
18515,15123,16262,13959,14831,13603,21797,12106,17839
17964,14764,15785,14199,16763,12243,12963,12098,38541
17888,14907,15729,14490,16933,12327,13431,11715,38164
17561,20481,15106,14859,16466,11940,12818,11935,28034
17947,14823,15625,14426,16659,12254,12731,11871,22330
17557,14806,15775,14629,16792,13411,21799,11915,20293
18093,20239,15984,23620,16970,13877,13001,18010,19177
17328,14852,16044,14675,16226,12452,13055,16880,39366
17540,14981,15475,14170,16485,12292,12811,13428,39169
17660,14872,15437,14237,16274,12411,12947,12901,29499
17721,15295,16011,14246,22828,12201,12936,13265,23485
17709,15310,15994,14145,16345,12452,13064,28456,19401
18621,14645,16005,14308,16056,12199,12792,15528,21052
17779,14824,15702,14744,16342,12359,13363,14019,17572
18062,14939,15467,13954,14346,12299,12787,13068,37483
18353,14693,15200,14182,13603,13434,13120,12844,25513
17971,15388,15689,13865,14566,13391,13010,22279,21344
18172,14770,15242,13841,13091,12169,13134,12288,19038
17459,15401,15530,14193,13592,12296,12437,12059,28366
17894,15372,15395,14782,12936,12357,13003,12257,31280
17306,14906,15502,14003,13038,16089,12656,12006,38355
17065,15311,15182,14404,13215,18801,12655,12364,27195
16710,15018,15217,13837,13637,16772,12569,11995,21086
16544,14980,15992,14108,13181,22027,12684,12314,18294
16270,14980,15404,13945,13227,15367,12793,12138,18354
16355,14858,15526,13941,13382,14268,13023,12344,36750
16435,15040,15326,13981,14376,13886,12974,12144,28423
16545,15217,15204,13817,13543,14347,12807,11992,23232
16366,14840,15464,14057,13102,15359,12794,12397,19316
16337,14543,14877,14031,14869,14066,13017,11870,18600
16526,14283,15269,13964,13172,14557,13066,27464,17745
16749,14515,15058,13985,13041,15284,13187,17731,47707
25043,14626,15220,13949,13218,24530,12969,14329,28942
16545,14486,14927,14003,13306,15514,12984,12723,23064
16618,14613,14989,14090,13912,15527,12466,12680,19996
16257,14505,14824,13441,14061,15531,13038,12587,26145
16668,14503,14703,13970,12796,15398,12595,12462,32379
16651,14243,14632,13177,12695,12826,13299,12512,38118
16663,14434,14705,13187,12581,13276,12863,12350,28059
17188,14749,14191,13476,14022,12607,17265,22431,21560
17126,14814,14714,13834,13662,13818,12713,12271,19047
