b16,b32,b64,b128,b256,b512,b1024,b2048,b4096
33065,38544,55364,91771,164839,309018,607180,1200349,2348553
17545,28479,43248,76080,147640,285883,550597,1081343,2138806
18355,26726,42359,76330,147332,281563,556061,1097464,2177559
18807,27856,43955,76245,142985,281286,550856,1083588,2134942
18288,27031,44456,76238,145596,263027,547442,1070747,2106557
18781,27759,44690,75536,143251,277527,543897,1082605,2120639
19215,27237,44642,76919,144989,278001,541733,1078297,2102467
18597,28314,42455,76865,141371,263004,543787,1076572,2106585
19174,28290,40777,75788,137919,275535,544598,1076529,2104954
18719,28060,41346,77744,138982,274294,547936,1085909,2116964
18864,25783,41623,75443,137410,273822,545827,1076446,2121662
17953,25548,41675,75130,137514,273111,525619,1085836,2113233
16957,25440,41698,74254,139058,272915,530353,1082968,2092165
18023,28159,42656,73595,136206,271426,534540,1068348,2102758
17768,27793,41564,76153,140381,270624,532292,1087967,2107606
17698,26738,42107,73597,136902,273220,539526,1096859,2119483
17694,33624,41971,74524,141384,275628,539929,1078069,2141266
16950,27134,42307,78134,142332,273228,538710,1080920,2106922
16773,26650,41525,76790,139120,264268,539086,1102388,2116898
17182,26939,42154,75928,142136,273084,537455,1092198,2106252
17375,26948,41920,71439,138828,280157,549108,1092404,2112731
17016,27039,42120,75602,142641,273613,539233,1077781,2133679
16879,27022,48229,76621,136413,264808,538643,1087408,2105672
17734,26539,42419,75127,142362,271525,539727,1084105,2120580
16359,27756,42625,72320,139332,266022,537948,1081625,2114107
28396,25236,42222,74231,134858,271390,538837,1087293,2102147
18625,25223,42328,73771,141653,276708,538626,1079509,2102894
18477,25035,39682,74782,134804,272753,527425,1075775,2112499
16240,25770,42428,72290,135404,262697,543648,1078026,2123669
18470,26817,40484,72754,135498,262180,519586,1072419,2103191
16715,25400,40453,75491,140502,267462,535045,1075103,2099309
16694,25796,41137,74089,140585,267902,516920,1088549,2091342
18542,25390,40664,75061,140600,258510,534966,1091781,2110042
18453,26265,42513,71355,140342,271399,535854,1079337,2137613
16639,25726,42723,73973,135066,257476,543648,1084055,2150652
16838,35656,42240,73734,135540,267585,537436,1092337,2117975
18550,27346,40924,71163,139214,272207,539831,1082647,2111560
16533,26842,42946,71769,137512,270042,534629,1074726,2098605
16873,27520,41998,73009,134002,270038,537250,1078085,2095365
17988,25054,41938,71363,140204,263073,513775,1076488,2124819
17984,25034,39372,70847,145365,272129,523546,1067129,2114392
18246,24878,41441,73440,140217,271565,536838,1068160,2109950
18131,24581,41526,75319,135434,262818,540963,1071288,2096871
18488,24664,40649,70692,134509,257847,547248,1078163,2101768
18387,24798,41384,73321,135445,260518,536432,1080846,2102635
18338,24742,41284,73070,135465,261959,548522,1077937,2130764
18117,24863,41079,73866,139656,267858,540939,1071704,2161411
18201,24776,42411,75950,134246,268783,544667,1062804,2133754
17758,27134,39991,70377,136503,262987,545471,1098298,2100213
16390,25044,39957,72274,139008,262380,545606,1107366,2101920
16249,24299,39905,76538,140668,270849,541929,1090532,2099271
17922,25880,40121,71782,141534,263666,541647,1080756,2112985
17767,25752,40471,72948,139500,271519,548597,1081991,2110588
18072,25680,39890,72260,138984,271575,530974,1085033,2100505
18089,26165,40279,71223,138792,269963,542218,1077476,2090309
16959,26191,42365,70969,135699,261714,528538,1086090,2100719
17250,25929,42265,71839,138071,270164,540507,1042583,2105287
17248,26154,39037,71399,134343,255817,534305,1077953,2113980
17269,26353,38892,72463,137488,269227,536109,1086955,2121934
17681,25902,40993,74096,134105,269404,538903,1072399,2124186
17285,25672,40741,71876,139370,263049,536909,1068664,2106402
17160,25623,40160,70828,139868,271064,542864,1073734,2089806
17285,26142,40607,71985,139508,270389,536605,1076667,2096370
17022,24945,40134,71342,139215,270899,530248,1088817,2133992
17332,25330,40049,70641,138865,271555,521071,1067645,2158383
17628,25184,40976,70624,141326,256391,525820,1071758,2106167
16857,25509,38774,70449,140949,268325,532042,1070671,2111835
17195,25216,39218,73171,137125,269376,530637,1109202,2108069
17134,25022,38821,71756,139946,268801,530567,1102176,2109829
16737,24946,39346,71876,134388,268150,538153,1068974,2100708
17000,25372,40886,73761,137993,268654,537662,1088052,2103074
17276,25515,39271,71412,133399,264273,535526,1079716,2123747
25168,25148,39589,72440,134195,270160,536465,1074467,2109870
16705,25252,41262,70574,140368,268381,537245,1070829,2099501
16442,26828,40809,73910,136555,268138,536933,1073634,2109208
16652,24820,39000,72372,139325,258715,541061,1083469,2109990
16123,24302,39602,72417,138142,271514,535460,1069846,2163343
16554,24278,38692,71108,138582,271527,536001,1070259,2139447
15869,24757,39540,73572,140759,255979,534834,1070357,2153771
16585,24360,41821,71040,132937,257398,533220,1065848,2132180
