b16,b32,b64,b128,b256,b512,b1024,b2048,b4096
521105,500499,467187,530935,481855,557557,520293,555539,550945
67396,72818,74346,82304,84118,92825,102011,127850,191614
59823,67902,68234,76765,71509,78917,87890,109698,149604
62775,66699,69437,70156,66709,74904,76236,94529,135058
63087,66564,70915,72787,67096,70904,72516,87472,118164
62058,66426,68667,69495,64894,69226,72117,83258,107500
66707,69805,65437,71479,65140,66618,71112,79654,102613
73961,68383,67165,65636,61590,64994,81423,76471,100329
62285,62706,65302,64942,65817,64265,66061,77282,106216
61756,63767,67926,65018,62100,62558,66279,73218,144350
66977,61195,63589,67322,61479,61010,65588,71098,119012
58547,61653,64781,68426,58177,58650,63280,89091,108340
62836,62809,65073,61761,60445,60265,61764,73444,104027
56272,63049,60192,61040,57737,68780,61789,65990,99796
57193,62383,58495,61955,69074,56618,58172,65425,100235
56542,62910,63245,66200,61224,54957,68312,64683,131660
58243,62819,59655,62553,57163,53935,57201,62793,128152
63448,62530,62256,58588,53084,67798,55960,63898,118666
56703,62225,58328,58516,63818,64060,54798,66217,109682
60340,58823,57632,58573,55978,54008,57823,63590,121199
57544,58589,59945,57930,53772,51041,55433,64587,109429
57179,58483,57051,60273,51925,50992,56858,63391,135020
60161,56615,59787,56810,53280,51825,55537,63362,116545
56369,58508,56322,55968,52802,50946,54500,68951,109393
53854,57990,56629,55819,47695,50256,55285,61927,103261
57146,57691,58621,56696,51246,47880,54769,62134,98144
58380,61070,57950,55780,51260,51109,52853,61582,98359
53740,58847,55340,56460,51314,47025,50697,62675,136235
55082,57444,59244,55911,58833,50968,52074,62536,117302
56718,57941,55311,53342,46265,48369,50504,63976,108609
56791,61991,60729,54744,49081,46193,52089,63173,112739
54794,55934,54438,54453,47132,45999,48321,85079,104163
53723,67402,54924,53209,47247,45343,48953,70493,102395
55688,56540,55384,54237,47552,47803,51026,67542,129842
57392,56148,55378,53385,46437,54863,51079,66583,137899
55434,56732,54585,52103,48445,55319,49879,64290,117051
54202,56946,54848,52411,44828,46216,52989,63719,110285
52674,55164,56893,51393,47145,44444,49566,63859,99617
67358,56382,51713,52725,46924,45098,51632,65167,100880
52798,53968,57943,53494,54163,42981,50960,63820,146677
52156,55409,51490,50252,43545,47192,48587,62301,117512
53176,56027,52115,48887,45426,44664,48464,65374,110061
51922,64784,53553,51795,45659,42662,50054,62524,103835
53180,52752,51682,51708,43683,44164,49535,63516,99866
50253,53095,51654,51775,45001,44571,49346,63789,98192
50306,52958,51477,50890,43545,45797,64433,63778,148691
52229,52894,51570,50248,44800,42172,55090,63281,121628
54448,52952,48965,47794,45087,43429,51524,62282,130863
52348,54238,49255,47869,47058,42134,49172,84770,111333
53458,62789,48644,50576,46213,50291,53606,72472,109729
53021,53209,50181,48039,43706,42301,50944,67312,111391
51275,53550,51610,47547,42487,41569,50396,65999,134905
51365,50990,50699,55290,43206,41206,50452,62881,135879
51186,52436,48289,46877,42243,41586,50161,62368,116471
54006,51461,50751,48212,42791,41429,51218,64009,112957
49348,52174,50580,47519,41857,41785,51954,62001,106181
49269,50225,51236,46363,43701,39510,59443,63524,101920
50297,49320,49081,58293,43358,40716,50660,64586,133670
52701,51647,50753,48397,41553,43892,49607,61963,128100
50691,50469,48187,45843,42598,39754,49174,62487,108264
50395,51002,49752,47625,41764,39528,49318,62390,103123
50348,61014,46591,46005,43789,40517,50829,62710,97957
52148,50992,47954,45346,41014,41018,50503,62182,101522
49046,50049,47735,47005,39562,38896,49191,62897,137385
50492,52025,49528,45117,41610,43642,50520,63421,118332
49643,51145,50695,46220,41272,43579,49916,62308,108462
49098,51839,50168,46443,41536,39035,50815,63771,105032
48496,50541,48268,44466,42511,42322,49917,89883,104599
48739,50939,44765,43114,40425,43596,49721,70130,108686
50292,59797,47384,45248,39579,42753,51221,65428,101977
49448,48260,46136,44657,40252,52474,50423,64660,132795
49056,47691,47430,44789,40453,40712,50841,63645,133421
46526,49656,47517,43657,42403,40875,48852,64426,115673
48640,49456,47860,43920,37900,40521,49119,65514,110148
47050,46945,45467,44370,38934,39923,50370,62700,102827
48141,50789,46470,42475,37796,38946,50121,62878,106331
47267,48048,47313,42742,39800,42205,49854,69784,133105
58257,47942,46074,43308,37986,39317,48343,63966,118359
48356,47494,47679,42407,41448,40685,49611,63300,111416
48210,46561,48118,44652,38311,39368,48696,63796,102915
46469,58567,45409,43705,38022,39309,49474,62714,112105
49640,49816,43732,44484,37421,47749,49285,70066,136470
48883,48606,44938,41867,38470,41411,48184,65340,120152
48435,50944,44288,44975,39638,41085,48163,63713,107116
