b16,b32,b64,b128,b256,b512,b1024,b2048,b4096
12717,16235,27619,30408,29525,34478,45042,62756,101535
26779,31991,42652,44695,46171,45120,59584,74737,79647
18703,22576,35492,36559,37450,37354,42071,46152,109587
18568,20671,34633,36042,49110,34029,42073,40636,103546
17961,21380,31861,32533,34101,31157,35107,47204,65126
18208,20364,32671,34337,31928,31140,51617,36166,56412
18312,20737,31123,34165,31456,32016,32098,42815,63660
17797,20721,31161,34093,31906,31814,33147,35426,60455
17620,19039,30419,33467,30860,28134,33052,32688,82516
17735,18558,29340,32529,30841,27233,30757,64884,87940
17172,18219,31611,31069,31923,26574,28109,32795,92799
16080,18695,31165,31630,31154,26620,30787,68445,71266
16141,19936,30421,32065,29680,26376,30257,34346,53604
16685,19406,29657,31010,30047,26754,26877,30161,51531
16178,18431,28985,31129,29398,28225,27007,31616,58231
16883,18636,29393,30960,29001,24292,27286,31630,79883
15924,19254,28035,30401,28992,23751,25503,30352,88871
16585,19601,29164,31132,29422,25424,28011,32410,57632
16210,17481,29719,29921,27629,24892,26120,35045,69854
17107,17725,29230,31344,28618,24022,26344,30664,61916
16764,24540,29212,29519,28400,23382,27448,30975,67008
16135,17937,29736,29908,28438,24214,25442,31532,75083
16007,17858,28717,30791,28949,33751,33786,31483,62213
16434,17899,27753,29545,37751,23563,29280,29692,52465
15827,17217,28961,28240,27608,23697,27811,29030,68667
15937,17329,27891,28115,26564,23954,32681,31165,53699
15670,17876,27957,26228,28675,23791,27124,29787,81056
15167,17447,28921,29505,33740,23122,38037,32603,56065
15224,29171,28514,26870,26458,23116,29124,29459,54890
16570,17304,28468,29175,24855,24655,30349,30547,45793
15175,16620,29034,29536,25498,23533,29348,33603,48603
15345,16293,27391,39221,25631,23375,28408,49630,46150
15408,16241,27543,28959,26152,21491,26910,35228,84732
16044,16960,26485,27936,35584,23395,25445,30208,58065
15370,16110,28276,27905,24325,22824,27567,33753,51735
15647,16853,27994,26124,25412,22630,27986,30609,51106
14744,16281,27661,27791,24841,21091,31084,29595,50540
15465,17026,27585,28282,25336,23542,29276,31398,46303
14832,17795,25921,26246,26021,20616,26658,32118,86459
14136,25260,27083,25815,25933,20729,26864,31091,83194
14281,17441,33467,26666,24117,23410,30093,30713,62668
13489,15987,25626,25735,25624,20626,25126,32280,55574
13875,15099,25314,36025,26732,22763,29189,40146,83193
14163,15217,26739,25406,25426,21827,29017,32367,56916
26500,15744,26807,26686,23674,22316,27910,31660,74989
13684,15672,26378,27442,24785,20097,39262,28038,95881
13735,15096,26699,26321,24473,20178,33313,28608,53677
13664,15302,25835,23414,23723,22553,28289,28241,49068
13594,14816,23911,24339,25811,20600,30712,40533,48187
13953,14818,25134,25258,31295,21359,32354,35006,47737
13705,15392,25473,25369,25310,20406,30878,39210,108722
13737,15638,24196,25450,24389,21181,37540,30550,69479
13632,15898,23500,25565,24306,22199,31976,42145,58795
14021,15920,25026,25197,22623,21463,28000,31911,60269
13754,15403,25513,34109,22534,19017,38003,33261,83071
14144,14813,25899,29151,21646,19798,30557,33312,89995
12980,15783,24565,29106,22113,20146,30046,32470,79347
13033,14802,26258,30728,24037,18714,26603,31315,59164
13362,14756,25094,30549,23225,20675,26928,31110,55992
13132,14867,25344,29149,22890,21794,30042,33572,61348
13125,14610,24392,27682,23144,20761,27973,41677,48864
13145,15291,25613,26211,23819,21969,31128,33949,48008
13506,14781,24867,26604,32590,19811,30085,31280,73247
13563,14765,24879,25318,23874,20685,28048,29382,57484
13324,15191,24762,27290,21209,19918,27410,29373,49336
23451,14444,24896,28656,23188,20352,27849,42066,57915
13241,14547,24078,29393,24726,20703,26588,30030,49748
13508,14928,23740,26798,22043,20735,29922,58169,47319
13144,14594,22544,26076,24857,20625,30396,35331,70058
13170,14107,23469,27398,24731,21419,29167,32837,57174
13458,13611,24279,25144,23512,18719,30074,34386,49308
12937,13964,24066,27938,22368,20160,27877,32672,49957
12723,13879,24977,23360,21880,21577,27629,33096,56208
13231,14647,22712,24477,21872,20740,41944,32543,49450
12978,13938,23311,23319,22445,20290,29640,30529,66150
12625,13942,23490,28397,22975,20391,30232,31768,59402
12720,14010,23437,21722,22336,20785,33218,30496,54636
12499,14396,23441,22168,23190,21549,29324,42937,52823
12860,13927,23553,21415,21634,20228,31431,31327,56308
12678,13896,23081,21999,22466,20973,30217,31734,49475
12785,13771,22274,21439,21778,21867,25980,41879,48558
12931,14354,22844,20454,23853,19301,29819,32264,89376
12752,14100,23277,21602,23722,20767,28765,29963,64167
12692,13791,23682,22972,21406,21529,34950,29800,56182
12675,13293,22798,22566,22687,21646,48372,31210,54849
12429,13618,23342,22055,20207,21051,39056,31492,50148
12600,13020,23035,22188,20447,21805,37336,43917,50458
12390,13049,30952,21532,22104,21715,28356,33781,71331
12694,13362,22931,23839,21748,22042,30238,29935,63212
12721,13862,22452,27592,21569,19523,24864,33459,49607
12254,13684,22530,21260,19397,21769,27800,32896,53803
12010,13599,22655,21262,21307,20340,26693,41931,46765
12144,13795,24786,22175,22386,21388,31732,31278,97661
11902,13634,23824,21649,22383,20279,26035,35365,56693
12259,13387,24626,22795,22589,20439,28138,38695,56169
12366,13799,21695,22377,19347,19588,36039,32111,59141
12186,13311,22138,23470,20811,20515,39464,49920,49349
12227,13082,29026,22380,20978,21612,30584,31597,47637
12166,13034,23129,20249,19940,19806,33449,31295,68917
11614,12998,22035,21590,21388,19932,29300,29265,58065
11985,12687,21500,22060,21145,19174,26374,30790,51357
11550,12967,22192,21144,22508,20912,38122,29904,50361
11447,12693,23373,21770,22899,21133,27282,45950,48228
11666,12782,22035,21859,22345,22380,27339,35236,46877
11720,12790,22433,21353,20162,20815,24982,32693,67015
11671,20450,20732,20915,23560,21093,33723,31444,79581
