SHIR FPGA (buffered jit-copy) b16,SHIR FPGA (buffered jit-copy) b32,SHIR FPGA (buffered jit-copy) b64,SHIR FPGA (buffered jit-copy) b128,SHIR FPGA (buffered jit-copy) b256,SHIR FPGA (buffered jit-copy) b512,SHIR FPGA (buffered jit-copy) b1024,SHIR FPGA (buffered jit-copy) b2048,SHIR FPGA (buffered jit-copy) b4096
205507,230047,274410,320254,390951,572160,1011701,2152891,4129228
195540,223079,277735,312988,379801,553219,965859,1735232,3410391
192641,217889,267404,306706,380440,550311,985092,1732419,3253356
192686,213630,267104,300880,377959,543187,973919,1757090,3215602
193854,216575,279362,303404,382232,542835,969491,1729076,3244577
191643,214492,269056,299854,408157,550576,1003652,1779477,3967042
195463,215811,269028,300626,376753,550836,954744,1722026,3311220
189277,229056,271196,299042,375973,544988,1010680,1784140,3416656
193770,213238,263589,301169,377999,540887,931928,1725234,3219609
190463,223030,271072,300175,374316,542483,1034756,1740566,3188253
188735,215455,272327,317946,376488,566721,996187,1716587,4018121
188607,211301,269615,305570,380115,538821,999246,1924392,3181048
189105,214834,267333,301160,390305,552832,1017975,1712138,3243372
196546,215986,271668,301772,388001,540283,998764,1699838,4134298
188762,214456,269921,302605,380071,565570,1009504,1673871,3155246
194007,216217,265567,299025,374005,557166,983796,1727206,3250289
193513,222970,268386,298260,376114,547197,1029907,1758987,3937492
191634,235626,271766,302349,395879,553631,1016389,1730550,3140203
193120,237507,267337,298335,388898,540247,1010455,1725086,3196332
190482,216855,274982,298748,387751,542871,966624,1708505,4306125
193353,223249,269862,301903,376366,551002,1011661,1744955,3241123
196843,214861,265536,298146,375060,542392,989699,1714886,3269186
189773,216678,274222,304986,383338,568820,1013708,1705026,4077655
195443,219858,270426,302867,381677,568364,991366,1730583,3159831
198410,218435,264542,302729,374939,545243,1040922,1780726,3202631
190285,215680,273028,300258,375085,571577,980722,1701544,4234144
187199,215771,261918,299302,380389,540337,951191,1730700,3208935
199053,221946,263880,298762,382812,565302,974589,1727069,3197628
189565,215754,273083,298750,382772,560462,963028,1725191,4032931
192962,220721,265524,300027,377743,545224,902253,1719783,3133937
197669,217020,275594,298557,372041,562964,938302,1959881,3164193
190648,214440,277180,294543,394868,541881,973010,1722587,4329833
189235,217983,266388,296770,379025,545932,959541,1674067,3233112
200448,232128,265194,296606,375093,539202,956301,1773731,3050313
190378,234924,268810,298351,375949,541148,922627,1731526,3001034
190031,214070,259942,301871,376451,569168,927653,1782596,3111454
215923,218297,268521,296888,386923,544242,979692,1723864,3994553
204763,214671,269868,294476,371321,570944,947507,1747797,3082896
186584,223222,268742,296240,379783,560801,915307,1709217,3283677
201132,212035,268774,298351,375642,549257,966308,1742694,4186071
189712,224327,266047,295399,382120,539551,981759,1708417,3129552
187517,213269,262017,295211,378083,572408,1006196,1765115,3166319
201356,221715,263432,316013,371966,539217,980787,1701501,4012358
191638,217009,273871,302536,376202,562319,998143,1720237,3410438
188954,216152,270013,294131,395265,539590,974596,1777594,3263685
198850,213251,261726,300574,385955,543640,981190,1728277,4115324
191076,215163,278787,301523,378859,550544,1185051,1967227,3142728
207826,215479,269811,298842,376197,545198,880974,1675735,3210317
208587,215734,266679,299957,379090,540902,863388,1659746,4011832
185455,244871,266115,297689,380663,550136,830556,1684659,3107977
191212,233755,265656,300701,377884,539068,839727,1732705,3341234
190612,228977,267387,296169,394342,541459,830316,1740463,4124413
186619,217857,275886,293585,370922,560557,850517,1761538,3167565
187262,223843,261435,298016,381070,540643,828378,1710576,3168864
191635,213401,266313,297568,381458,555040,836746,1726392,3974547
184264,213772,266847,301768,374125,566268,832730,1784087,3165999
183896,214335,270793,297940,396195,543585,837184,1736147,3434248
186673,217446,282231,296207,375546,562756,838771,1726123,3152621
188477,213851,285967,297751,385116,539861,844208,1730161,3210145
188727,214031,267910,298473,376253,544552,830881,1742231,3996406
185621,223616,271326,300052,376113,562474,850758,1748973,3093093
191032,212352,271917,299798,376628,542703,846199,1750619,3136944
187206,216551,267023,297534,380115,537741,857470,1726612,4328106
191401,214203,272074,299083,374350,543646,848310,1750512,3231362
187866,215056,269243,320998,390854,538631,849177,1716367,3106444
187302,213957,269830,295493,376835,566819,882003,1740693,3130997
190382,217510,265458,297591,375875,546382,915751,1913609,3069318
188307,217389,282819,298105,396403,544827,939559,1663236,3074285
188184,215708,268422,297438,377099,541053,854465,1677710,3019046
187105,230016,263296,295678,372328,542992,907752,1772543,3392198
186251,215032,264777,295897,373476,549752,901956,1733353,3208794
190006,223563,270071,299422,375906,562196,1020779,1744045,3148736
188310,215026,268113,293342,382811,544020,933898,1762079,3111844
186276,218978,264157,300936,381380,555169,872821,1708929,3016111
189378,215824,267061,296972,374613,540495,901851,1709262,3450366
189261,233434,290286,299969,375881,548844,951950,1744690,3168594
