b16,b32,b64,b128,b256,b512,b1024,b2048,b4096
92731,96607,100556,94325,98674,94562,99003,103529,111564
62012,63554,68572,63529,66524,61562,66140,68921,89019
54270,57250,62151,56628,55743,54538,54059,55236,80380
52631,56312,61212,52671,54845,51265,49428,47964,72436
52183,55236,57561,52162,52722,48966,47719,44171,55626
51199,54897,57476,52400,50342,47879,45777,43524,122273
52672,55572,56274,51547,49980,46459,44839,40782,105389
52135,54950,57221,59098,48541,46160,44408,54146,101825
51956,52754,57271,50048,49256,44457,41849,39127,97142
52072,52008,56695,49298,47848,43280,50839,38173,127051
51509,50931,52960,49242,45868,43465,39731,36924,109771
62024,51977,53221,49147,45942,41671,39846,60706,78399
49394,51815,53589,48570,45505,41881,38992,41695,61442
48742,52142,62160,46965,44980,40885,37776,36366,55060
49122,51027,53360,47666,44365,40600,37417,34773,50277
48651,51979,53799,47016,44304,39502,37001,33638,69117
48942,51187,51208,60466,44381,39673,36760,34140,69534
48923,51924,51133,47407,42644,39488,35840,33699,54148
48424,49853,50840,45346,42856,38513,35647,33588,45815
48260,49258,50041,44403,43104,38048,35369,33574,42528
48851,49853,49846,45521,41333,38113,35121,33833,41934
49007,49539,49555,45449,41628,38237,34442,33377,70050
47980,49030,48250,45411,41542,37181,34362,33448,52987
49131,48290,48607,45032,41197,36767,34003,42970,44006
49145,49241,48198,44513,41297,36749,33760,33669,43074
48596,49159,48500,54731,40549,36425,33667,33588,46947
46017,48701,48353,44030,40822,37012,33478,33630,46228
47276,48676,48851,43694,41357,36254,33410,33667,79793
46221,46043,48919,43555,39618,36253,32948,33775,65305
47356,46020,46627,42312,39976,35978,35441,33617,50777
45966,46430,46086,42810,39580,35052,32387,61688,46975
47430,46897,46744,42977,40218,35114,32278,40676,46201
46145,47161,46864,53147,38555,35192,32087,36800,46114
45917,46565,46593,42839,38316,34757,31560,34670,79005
46219,47143,46733,42091,38012,34756,31714,34126,80915
46644,49110,47020,40801,38429,33909,32282,33825,60401
57012,46185,44872,41000,37370,34125,31797,33412,51998
46288,46533,45276,40573,37483,34165,32051,34147,63327
45988,47161,45331,41072,36868,33811,31741,34146,60432
46809,47435,45738,41229,36837,33717,31799,34048,71176
46397,44962,52975,40880,36891,33790,31916,33951,57497
45097,44678,45447,41376,36605,33318,33338,34115,47017
44609,51633,45200,40021,36590,33352,31815,34010,45585
44153,43806,45176,40000,37094,33152,31966,33960,42531
44813,45272,43021,39550,35603,32568,31409,33953,41277
44893,44960,43398,40114,35808,32237,55763,33641,71381
44671,45119,43822,39976,36376,33022,36760,60162,68327
45546,55441,43828,39604,36880,32319,32868,40298,69183
44885,43995,43788,38599,36047,32404,31834,37164,59218
54819,44128,43693,38522,35337,32188,32293,36216,65365
44239,43861,43066,38664,34944,31852,31975,34067,53669
44920,44881,43578,38927,35778,32150,31982,33855,71977
54845,43319,42076,38929,35399,32424,31932,34266,51115
44004,43094,42366,38648,35472,31512,31396,33788,57845
44637,43507,42770,47251,34596,31536,31928,33495,64719
45030,55480,42113,37652,34773,31991,32066,33688,52208
44629,42948,42401,37438,34938,31684,32385,33924,56959
43245,43252,42397,37724,34626,31376,32020,33784,76614
42786,43206,42553,37938,34603,30951,32215,33937,56722
43021,43609,42547,37873,34165,31162,31609,33992,51726
42566,43537,41507,37855,34393,30881,31641,33024,46407
42328,43024,40978,37814,34327,30756,31887,33367,45117
42811,43564,41634,37517,34849,32442,31517,33255,44501
42685,43506,41282,36732,33856,31003,31676,33452,71515
42695,43549,42184,36573,33663,30948,31968,33529,68270
42798,41353,41163,36701,33869,31170,31699,33559,66305
42789,41834,40843,37457,33719,30892,32097,59565,47933
42585,41536,40871,36599,33817,30237,31864,42161,42743
42117,40887,41194,36271,33258,30593,32085,36610,42075
42456,42080,40907,36741,33556,32056,32004,34630,41649
41974,41924,40364,36410,33503,31081,32203,34152,70425
42413,41653,40479,36451,33174,30420,31851,33855,64258
42017,41557,40473,36151,33768,30482,37715,34017,43833
42356,40967,40091,36583,33241,30854,31970,33814,43740
42709,41703,40095,36413,32808,31739,31640,34076,41836
41600,42079,40340,36785,32427,32189,31565,34080,41863
41380,41655,40123,36078,32565,30312,32081,33928,69011
41032,41948,40639,36592,33176,30767,31839,33952,60908
41387,40679,39250,35591,32545,30297,31826,33571,45641
41493,39523,38941,35664,32488,30077,32176,40988,40925
41053,39959,39165,35607,32273,30330,32220,33230,48930
41161,40864,38963,36067,32129,30197,31993,33776,80426
41799,40510,48660,35246,32349,30479,31922,34022,56817
41794,40277,39244,35594,32705,32017,31974,61744,46614
41894,40307,39030,44176,31772,30418,31664,41449,44688
41398,40375,39328,35557,32150,30573,31674,37810,43623
41243,40296,39585,35430,31927,30546,31630,44708,40593
41067,40138,38856,35057,32453,30532,31743,33730,72729
41214,40030,38368,35048,31881,32293,31991,33857,51442
41735,40794,38064,35112,32490,36575,31710,33839,43969
40754,40686,38454,35242,31941,30630,31708,33359,41958
41614,41626,38899,35084,38338,31049,40617,33641,42423
52319,39716,38582,35170,31620,30511,31806,33957,41623
40004,39494,38690,34083,31363,31128,31655,33684,81093
40076,39881,38848,34307,31537,36660,31988,39057,52793
39747,39153,38730,35066,31803,32285,32193,33788,45011
41474,39200,38300,33979,31324,30998,31699,33586,43736
39828,39183,38862,34137,37994,30767,31478,33462,42827
40202,39116,38038,34587,31372,30517,31689,34378,42251
39389,47188,37553,33966,30798,30839,32042,34314,69728
39280,38966,37746,34366,37096,30800,31351,33528,62014
39908,39146,37394,34605,32476,30694,39184,33046,44532
38829,39453,37606,34156,31030,30655,31672,60196,43768
39656,38732,37455,33793,30719,30456,31463,50361,42079
39781,38987,37371,33959,31289,30790,31474,35303,43026
39604,38865,37442,33807,31143,30509,31720,36410,69411
39967,39236,37611,33637,32608,30620,31851,34158,51993
39873,39043,37653,34104,32337,31768,31677,33651,43972
39405,38007,43001,34130,30845,30780,31759,34017,41404
39550,37776,37115,40740,31047,35867,31548,33674,40028
39744,38288,37183,34040,30970,32357,31787,33791,42970
39548,38295,37047,33610,31010,30682,42462,33561,88196
38231,38354,36688,33057,31157,30787,32025,33889,73619
39026,37896,36570,41615,31805,30394,31320,33617,47200
38137,37986,36760,33486,31560,30594,32129,41929,43932
39118,37346,36730,33489,30394,32521,32075,33786,40099
38537,38021,37219,33423,30837,32466,31553,33461,41141
38809,38593,36656,40195,30751,32195,31627,33242,68230
38480,37950,36517,34079,30398,30595,31809,33210,68643
38497,37755,36410,33142,30542,30499,31646,35624,56275
38906,38159,36150,33599,30789,30501,31664,38269,47489
