b16,b32,b64,b128,b256,b512,b1024,b2048,b4096
292857,328733,423879,510277,550551,652823,739443,788208,1479991
101588,136133,143203,159292,185665,201728,372224,545433,1363280
83307,109891,128765,149242,165351,199626,309415,489280,1521836
86146,113873,124305,132733,135142,154839,295335,453441,778566
86606,110497,124715,126828,132486,151945,301959,548051,691176
84814,109787,149117,127913,138023,156536,246866,451182,1677574
86317,119058,124597,128067,138957,148028,286734,431190,659678
89177,111734,132653,129372,129370,144362,248911,433954,606360
85777,110065,112910,136067,122139,133457,261869,440033,590833
86882,103742,128920,119390,119174,137606,282002,414334,629140
89404,108162,119061,118393,128041,138667,275053,395169,696195
93867,105069,128324,133506,117576,129575,256455,410256,558906
80407,103346,117363,115823,116940,132432,234382,396758,566925
79330,104799,111065,114526,118206,127924,272626,350930,540400
79971,101117,110793,114221,111249,120064,280633,341800,556584
79712,115453,107379,112174,111648,117321,277353,323863,642212
79937,128908,106698,120690,111780,128394,218505,379695,1419330
80070,102723,108304,113477,108248,115684,207237,349327,585330
82818,109886,106198,108734,107759,114493,219876,368589,525726
80979,98529,107371,109722,109006,121701,217218,382121,533651
97079,113554,106042,104600,108539,125171,211097,399912,641378
75643,108127,112289,106472,103788,109373,200998,405557,1519989
76300,108304,100105,108463,102855,110898,165841,415537,645674
76426,96476,104410,103375,104317,105508,161228,409550,608381
86811,96749,100202,104483,102025,108173,166879,388107,621326
75663,95408,103524,103473,101897,112003,205493,349361,666150
78058,96410,102667,103558,100917,101961,167116,364447,984052
77771,97178,102302,104062,108191,104728,187069,364195,761296
90456,99075,103184,105606,98685,101905,157891,393382,714277
73282,95709,102785,108464,98409,105312,163058,359144,650074
77295,91439,103088,101246,98327,112640,208101,435065,680798
76478,92184,96903,100015,111966,97649,191529,381598,904644
76325,90947,96068,98216,95064,106840,209334,360467,627683
74436,89700,102631,98127,109410,98805,170823,358546,677811
76211,93916,95987,100044,94287,109281,153514,375052,697386
87397,91530,102486,98193,95104,107771,218697,389326,726340
74702,92156,98364,96503,92895,95148,156584,365726,943757
71880,102754,100957,97905,92263,99090,204264,374440,607398
72066,93295,94913,96520,91092,95008,199772,384066,686709
71964,92619,97510,95682,92294,103136,247567,357250,1498097
73117,92594,104787,93540,89041,117278,239690,358662,600287
73026,92322,93766,93071,91121,94439,203319,366533,562367
71220,87569,96380,91878,92183,99074,206790,377553,552726
70706,87840,94966,99214,90924,105215,279027,378815,607837
71565,88161,90504,94487,90598,106901,223747,349108,1475100
71399,85868,95376,91187,90695,102089,376213,361808,565011
71613,96037,96189,93141,89562,93997,170376,414842,595747
72114,86601,92253,89970,89699,95023,161920,356689,581334
73247,89059,94550,105071,90149,92494,169408,340322,618569
71310,85996,91662,96569,86167,117908,148237,337738,1297846
72071,87728,92181,88510,88050,101568,159662,361161,601535
71849,85577,90625,102278,87828,91297,151298,351066,547510
70219,87189,94232,89113,86280,97699,161343,352629,567725
72640,86769,103924,86506,86956,95335,146090,359690,606306
74325,88617,91432,94593,87871,93622,146864,370049,1391150
74131,84284,92772,88769,85880,101126,144727,356215,576375
69926,85644,92585,90826,94372,97030,148590,363000,605335
68121,82577,86187,91129,85826,93989,154531,352996,1424606
69425,83248,86721,90659,87270,86455,147360,385698,544905
83215,83263,85746,89390,83364,91466,148557,351047,577034
68662,84840,85967,91111,85232,99262,145967,370036,1434709
68075,82396,86783,88589,83529,95874,207809,352289,547979
69181,83678,97268,86379,85701,91735,142163,354325,579445
69900,81326,97360,85679,85375,96743,143860,352455,520177
67911,91775,85016,82351,95771,101709,191935,374860,599825
69069,83178,84721,81889,81853,102016,188353,388456,1357295
70723,83369,86726,84393,82779,95217,257051,456019,563404
70937,83069,88491,82863,83722,96443,189334,397173,555734
68994,81360,82865,81884,81151,94515,177704,393390,623559
70275,80554,83316,89664,81565,91114,136542,365207,1450122
68481,81436,83538,82667,80900,101968,232637,382558,521144
68456,79598,85000,80334,82000,86131,206272,377085,587556
68624,80533,87159,81720,82952,90580,155329,367727,1295687
67497,77771,86245,78730,81598,92880,251493,353052,522281
69176,92305,86104,81625,81579,101093,205227,394186,620548
65880,78193,94111,81876,91508,83257,252105,365884,564176
66567,80054,84443,78282,99125,91137,271778,405055,576017
63229,79667,81849,78130,80895,93339,277636,367032,1425584
65616,82761,80935,90837,79352,98515,275957,372599,534171
67061,81044,80762,81340,79444,91514,254329,384870,560918
65166,81027,80215,80139,80104,87924,276984,379781,551836
63303,78412,83224,78962,79015,91379,277538,364988,629267
66201,77979,80841,79323,78999,88027,226353,399447,1445313
65846,89157,81819,85045,80008,102525,305021,441644,574915
65893,75915,84300,77913,81414,100514,269762,519628,568046
64679,75166,80746,76523,77824,90617,250102,452208,540301
65678,77650,80093,77815,90045,102774,217045,424585,565876
64656,87384,96038,77025,76025,93134,307845,424720,4896286
66809,76326,82720,77042,79563,89815,268720,421965,593376
64223,76255,81542,77260,77090,94210,281543,416411,576780
65371,78184,81985,76275,77081,101297,307099,383946,590637
66523,86360,77484,76363,75907,113860,287209,369368,547259
65199,76129,78218,76872,76477,91222,284884,416864,655572
62176,75471,76616,75262,76546,93928,276809,398235,605571
61508,76683,78266,74702,76294,100883,241868,383105,579588
72180,77527,78899,74778,76857,92471,283322,374123,569642
62401,77916,81575,74876,75323,91164,272837,358096,558747
