SHIR FPGA (unbuffered) b16,SHIR FPGA (unbuffered) b32,SHIR FPGA (unbuffered) b64,SHIR FPGA (unbuffered) b128,SHIR FPGA (unbuffered) b256,SHIR FPGA (unbuffered) b512,SHIR FPGA (unbuffered) b1024,SHIR FPGA (unbuffered) b2048,SHIR FPGA (unbuffered) b4096
281396,387177,558754,906855,1728177,3355944,5961948,11886090,25441370
269569,381340,561113,906032,1726809,3175883,5910350,11474203,24502199
269635,389134,550932,906297,1705243,3180289,5949219,11448609,24556840
271056,375282,552060,902314,1705976,3170783,5927812,11534781,24420809
267966,376548,555689,901982,1699009,3185141,5969407,11452901,24388005
278372,373701,566141,912508,1704601,3168427,5980900,11446267,24227477
265384,372741,565899,900819,1699860,3186569,5977107,11703378,24697659
266970,380137,564872,910327,1706026,3183750,5987003,11407188,25448811
268578,382173,566773,901767,1706200,3199126,5971584,11431862,24458910
267790,372565,561164,901358,1704223,3192936,5969706,11415048,24472739
280442,374670,558735,918651,1702156,3188943,5926903,11443610,25258566
267464,375622,555853,902543,1702709,3169633,5965395,11448866,24394993
270584,372304,554787,901019,1702502,3170149,5915688,11466215,24685705
269420,381182,555886,901326,1700172,3184367,5976657,11438116,24415130
268736,376259,574076,909680,1706673,3169440,5978692,11500010,24383253
270079,373735,552303,906337,1702064,3169564,5972331,11451911,24278477
265398,376949,553197,900358,1694484,3182658,6839638,11451367,24391274
276378,375609,561191,896917,1702748,3184735,5742259,11452205,25666492
267054,384714,555498,898524,1702244,3179830,5697753,11471998,24539549
265855,371617,556868,903828,1704323,3166226,5714483,11462249,24486730
266237,372572,552081,900472,1703834,3170470,5718074,11453061,25330875
265960,374157,549695,901877,1704361,3168124,5705770,11451277,24339498
277158,376202,555068,901329,1700012,3174079,5713310,11648566,24575923
267845,383226,554077,910578,1717019,3191590,5722461,11443266,25863221
269281,375565,554897,909016,1714879,3169861,5730600,11572084,24505424
268866,385129,568848,912036,1699245,3173271,5957424,11475085,24428072
265013,371718,552044,908252,1698752,3177840,6023913,11454202,25422031
265968,371723,549836,903626,1704836,3172007,6162779,11460555,24455586
268094,379043,553248,902507,1705308,3176026,5910418,11445474,24331508
274519,372383,573097,902690,1704526,3175890,5985084,11445296,24572779
268310,382329,563202,901019,1702798,3174803,5963951,11457192,24573441
267033,369505,562954,903827,1699962,3171574,5974079,11469248,24522478
266311,370666,578511,902473,1697244,3193259,5972849,11469273,24478295
264098,378115,550564,897309,1696229,3166771,5985972,11489942,24307532
271207,372358,555459,904496,1701230,3173792,5986584,11481062,24357159
267877,370565,550991,899405,1721535,3174917,5932115,11455850,24618917
273453,373244,555996,906443,1706657,3168442,6004194,11474448,24517118
267465,371323,549434,898423,1701370,3181911,6066471,11449669,24386677
266058,378714,551864,895874,1703391,3178216,7465139,11473705,24333279
267481,372179,566593,902269,1704455,3163103,6032850,11451211,24241169
262214,374128,550298,900419,1694512,3191424,5965334,11426897,24308343
266811,371024,560161,903815,1703865,3185458,5953034,11426026,24631291
265193,370627,555266,899337,1697635,3164165,5960361,11639384,24489740
264883,373705,555457,918140,1694126,3183701,5927785,11633579,24303021
265061,376578,551940,907613,1696421,3178453,5962467,11524873,24457956
264392,372895,557144,901808,1701019,3179467,5926356,11479755,24471104
276405,372703,546840,909187,1706086,3180327,5931825,11463242,24373350
266035,371457,551721,904313,1718663,3174674,5967412,11438353,24555675
265189,382218,550273,904528,1695875,3164379,6003054,11503163,24581272
266281,373920,549597,907580,1718690,3168258,5993271,11477622,24424324
264421,374833,552644,905794,1695052,3176434,5942116,11444012,24382011
270302,371638,560590,897059,1699671,3175129,5938010,11435779,24475828
