SHIR FX b16,SHIR FX b32,SHIR FX b64,SHIR FX b128,SHIR FX b256,SHIR FX b512,SHIR FX b1024,SHIR FX b2048,SHIR FX b4096
397613,508224,773609,803881,864408,1235472,1616309,5830949,8276287
365345,545585,668840,620349,856884,754363,1555006,4054583,9841619
395662,613212,561609,557249,632587,879288,1028033,4158538,6319804
388346,546888,575337,583248,633006,773230,1019319,4829896,9691281
383834,542951,580982,542363,617300,814106,1036501,4345677,4971761
395854,472717,576568,559482,651430,738164,1012447,4967278,9048888
383161,466902,587248,578074,639522,747825,1014127,2758386,5954870
392621,479827,599554,558784,637001,795770,998995,2024388,8836945
381581,482841,555773,569363,629479,873743,1053376,5466730,6678015
387392,457520,587756,577209,609819,713383,1000916,4245484,11669059
382307,494112,587207,561985,643579,709618,1040009,4328504,5765487
378147,462164,576739,561119,627046,734187,960468,4311064,10145074
393764,484397,573136,560421,626402,718998,995004,4256717,6535670
380166,477925,603201,569294,600309,704167,1010020,4311706,9775909
386457,471836,586721,558946,643227,724695,1233009,4350916,5480536
375531,478271,556662,565475,631558,724466,936103,4283417,4949181
383448,487433,583422,559630,647425,695600,913826,4326242,6297977
386591,468233,589936,564774,625320,749802,1587964,4361214,9508558
377543,463915,568169,561992,631433,729172,2304335,4340399,6387554
388949,474304,602157,561600,619908,768003,1347151,4224098,9865144
378251,474994,554692,550999,637323,712882,1386136,5028391,6487052
378065,464316,571474,566583,608529,755066,2245058,4585067,9710708
382007,460815,593020,554671,635790,723178,1275714,4571944,6385274
430897,453949,576664,561664,624903,739765,860255,4509747,10035684
465267,453107,547855,566662,614677,713137,856860,4424069,6432828
397613,472321,589627,555215,648536,768968,864369,4536197,9903267
458583,465703,545230,554069,650202,710552,1446144,4419503,8831887
406727,459288,578594,557871,632775,755466,2126890,4384613,10006417
462621,477583,584589,547453,609115,711470,1346820,4404016,6414892
449734,476027,535663,561890,627204,755592,887574,4460917,9662017
419488,467434,555438,573959,634037,726321,899055,4311313,6598528
430178,454272,568608,550753,620013,713550,881961,4364409,9825418
405514,467698,543801,565367,641347,713513,954700,4529407,6536317
404233,472040,544531,566978,616381,768641,924303,4215440,5131750
