SHIR inductor b16,SHIR inductor b32,SHIR inductor b64,SHIR inductor b128,SHIR inductor b256,SHIR inductor b512,SHIR inductor b1024,SHIR inductor b2048,SHIR inductor b4096
8139764591,2056071889,2064680591,2039051494,2090622443,2066954488,2046730533,2095388398,2062062768
693602,1064692,1848826,2766549,669391,797296,1806923,2061651,4225557
596146,961138,1675983,2716368,616716,666035,1010849,1978074,3495047
584714,950482,1668429,2552289,605837,678557,1129024,1873569,3208717
578991,942445,1481164,2539423,620427,643559,945521,1732623,2949217
577392,943932,1464766,2481777,589814,637094,1107825,1737274,2912567
588650,934262,1484625,2381302,555358,631565,865876,1692727,2805120
573370,932565,1461482,2381357,550758,586618,926014,1742486,2886004
582463,936461,1453654,2223083,558239,589013,1024468,1697324,3306621
579244,920176,1400379,2266099,548466,592977,795217,1655456,3307474
575108,886020,1386663,2249286,538363,590424,844758,1675207,3468403
581092,891006,1384782,2109961,518404,601359,867460,1661828,3218883
600538,891105,1386708,2097205,504029,584041,1022648,2150701,2970174
571533,871315,1291414,2119669,510856,576101,762411,1696477,2946729
569953,890411,1322185,2006770,510396,565606,736313,1610501,2925913
567194,884695,1309968,2016075,493863,569053,902605,1746626,2855857
568870,890068,1304510,2010679,472198,531268,742115,1762178,2935869
558531,814760,1290236,1960420,479940,534379,895445,1701601,2897766
559120,805576,1264532,1912106,474953,534588,907353,1701051,3484615
556911,813526,1240364,1905115,456397,511245,773177,1602136,3157099
559952,807609,1239843,1914887,469521,547806,756374,1668243,3030429
562801,809791,1234864,1833571,459327,521679,1036318,1620336,2878872
569279,816169,1204546,1819329,434054,510029,758773,1635676,2866528
567521,811214,1188037,1808182,427349,497458,927790,1647846,2846053
583707,810040,1200357,1783455,421308,505893,1042625,1597202,2989636
549066,787286,1172271,1758370,432637,479903,795868,1663791,3077100
534163,767163,1174586,1746100,431221,495068,979584,1589005,3449165
529522,764602,1171102,1751556,417728,494037,895543,1550755,3188252
527403,767409,1122420,1691952,412763,494743,793221,1670986,3016769
525860,757309,1129043,1674347,420695,468967,859574,1649945,3011449
530360,768257,1127758,1686474,413846,476330,987360,1602249,2982790
536404,770572,1127933,1650746,395215,468379,1037869,1471123,3294052
536466,766223,1125434,1614392,386361,467991,1034595,1606896,3121892
535075,757877,1078862,1607923,389084,457242,916547,1487247,2933942
534359,738336,1080035,1626345,386815,454972,752846,1595514,3502111
524968,723374,1073690,1608541,401675,448610,799957,1521589,3188966
526848,728377,1100252,1557160,394232,441963,980436,1957485,3054349
512446,730437,1086944,1554442,396824,446720,905147,1740691,2895660
507339,721211,1089341,1552556,400247,454640,884018,1630882,2893017
485367,715716,1032133,1545286,386531,453054,908071,1669109,3290239
505809,728514,1025610,1494795,368734,447377,886342,1701503,3183777
504902,727332,1024203,1488923,384567,448920,990912,1694501,2961567
506329,724958,1028643,1495384,381022,438230,771513,1691038,3477861
514461,723360,1022700,1495076,375451,423770,885074,1664145,3201585
518594,657340,1056099,1487241,351163,434007,1033336,1578777,2996161
504176,657082,1015673,1437986,373198,430926,764020,1640116,2857073
496333,657181,991608,1435887,378207,427032,1032601,1588804,2886278
509328,658006,1006609,1440325,361247,433073,808763,1573706,3293654
514911,666994,1001321,1454216,349733,435188,1004176,1532775,3147345
514875,669713,1474800,1386470,355704,424571,761248,1541950,2971221
503344,666043,1810768,1392027,356716,431700,1016606,1634077,3370095
502709,666601,1778876,1392552,355419,421889,854813,1512645,3194358
481018,668849,1771342,1386015,351057,416163,794240,1536618,2956396
489376,660861,1756822,1395569,355284,427085,926537,1550354,2833618
487532,636952,1637786,1345052,340607,404119,946546,1595400,2927640
480519,630255,1653424,1344583,348317,407712,947331,1580166,2940524
480919,633286,1635767,1362028,348054,426257,1030650,1535935,2958814
489193,633173,1603155,1349919,342269,428110,723391,1472893,2935715
479243,635081,1531027,1329255,346561,410145,871731,1509699,3489678
479742,636605,1510865,1308415,345979,413270,1005532,1473365,3203413
481016,635379,1532685,1307258,326219,416940,954476,2099579,2970864
491270,626917,1512000,1302161,351432,410842,961269,1733906,2880125
492193,628664,1447007,1309982,351755,402754,1034399,1629049,2990450
481879,625947,1429955,1302471,337419,411753,913341,1597692,3139072
484107,611532,1444541,1312358,332356,410118,1039079,1699502,3160097
462361,598659,1424047,1319993,345586,413312,1004919,1710068,3250235
466261,599439,1412617,1301817,344500,423234,923717,1655076,3467997
454703,596586,1343088,1323279,332326,396940,847966,1629233,3198780
451108,597354,1327235,1298464,325809,400928,906063,1640560,3017813
440446,597842,1340687,1299102,341539,404378,751231,1576313,2886143
461477,599322,1333774,1315502,335219,401075,844342,1601550,3327628
459027,595876,1336699,1312967,353729,403625,996361,1629101,3136389
441640,594922,1267280,1311889,325804,399275,1037879,1571207,3376823
438546,598575,1267824,1312610,328242,421811,963048,1502491,3163924
458811,606787,1261736,1296462,336279,421069,982487,1522320,4141286
456900,609179,1259786,1315827,336603,415798,961547,1576413,3213196
468801,581357,1254416,1307791,327654,403890,786841,1441631,3006844
433663,580424,1196908,1305015,349109,399648,892752,1538135,3007663
458004,576523,1192724,1313602,350465,412945,826639,1614000,2874466
462619,579719,1192998,1323705,334895,405282,999089,1480289,3136503
467580,577660,1197109,1301977,345170,420357,958648,1494952,2984284
455793,579323,1198210,1296581,333389,407248,1042035,1422175,2957245
426297,577846,1143784,1313059,338988,406471,847360,1417270,3441910
443729,575256,1149629,1312791,324880,436616,930708,1462074,3221676
406225,577342,1134328,1309072,346963,419126,998874,2058546,2993327
408223,577081,1146900,1297949,338567,418795,1049564,1747677,2860523
409164,571881,1144309,1316147,337319,412418,821412,1629421,2905722
406945,568767,1154173,1305403,340140,401124,1011684,1752227,2794817
407827,545969,1085977,1310621,334365,414732,878371,1720591,3129222
419148,550174,1100309,1303812,322525,403353,964050,1683133,3017627
404533,547180,1086610,1310866,327317,422810,1034480,1721762,3472277
405825,549942,1084669,1305332,334376,395911,764786,1646063,3456295
415887,555197,1092763,1298703,320908,403709,943301,1559902,3019017
443362,555167,1097891,1318388,336076,421626,902341,1586500,2870705
411076,556139,1051479,1319233,342849,415257,1053037,1595510,2750793
