x86 fx b16,x86 fx b32,x86 fx b64,x86 fx b128,x86 fx b256,x86 fx b512,x86 fx b1024,x86 fx b2048,x86 fx b4096
1501243,1069699,1268971,1487480,1832502,1781706,3136897,5665578,8778884
1190888,1082617,1194833,1272271,1260022,1528377,1721657,4397086,9802863
1134091,1080197,1231178,1164982,1256124,1325364,1698880,4362863,6065802
1130889,1082654,1202661,1145251,1285881,1315990,1727660,3448873,9122916
1158335,1081136,1220145,1169897,1281175,1328265,1677968,2954906,6683876
1173367,1082833,1206627,1148688,1285944,1334083,1739358,3469209,6372573
1135702,1081969,1220181,1170708,1316052,1311125,1746581,3975852,6329279
1132968,1083180,1189161,1153437,1266757,1335482,1681778,5054749,6227449
1134917,1089160,1208173,1167902,1281005,1324186,1680018,4772272,6148751
1124413,1090597,1215783,1160869,1275523,1300620,1715856,2880449,3895631
1136407,1086818,1200541,1170338,1290519,1332020,1642381,3685037,9919889
1127475,1092729,1176069,1160284,1285478,1323344,1617253,2755543,6799684
1137491,1089084,1188996,1165020,1280074,1329656,1705142,5760596,6583375
1130172,1089710,1178199,1162943,1268909,1338691,1636378,4809355,4028498
1129999,1081899,1192926,1169295,1309273,1313643,1673601,5461910,9991165
1128992,1105626,1189733,1166808,1257690,1299470,1724536,4580524,6533657
1127760,1112078,1178460,1184121,1288587,1339754,1692285,5386821,6192891
1132357,1117709,1183806,1164395,1267069,1310430,1608196,4593654,5621973
1138200,1108584,1143518,1158939,1279901,1314753,1662942,5335015,3819842
1128094,1107330,1142520,1158477,1260361,1344168,1651159,4648438,9773152
1127362,1103656,1148423,1161326,1285352,1310647,1637052,5282166,6320113
1136677,1106410,1146571,1167006,1273038,1304987,1686913,4488690,9438537
1129816,1108310,1145346,1142670,1297981,1345380,1643159,5383060,6308948
1126659,1111613,1132660,1149622,1246936,1303325,1594115,4492249,4265981
1139750,1110673,1145782,1148717,1290430,1311774,1690806,5333655,10362038
1146718,1115811,1145543,1159247,1259668,1328512,1602896,4552721,6496832
1130789,1108133,1145060,1164832,1293778,1326755,1587990,5273410,9608956
1158879,1096294,1136897,1154150,1270519,1310975,1639379,4164836,6171653
1168477,1101459,1141282,1147781,1297763,1344856,1616919,5984474,3932785
1132993,1129263,1157336,1151849,1245930,1330912,1577508,4741352,10424139
1138012,1119507,1148297,1153853,1277597,1305775,1650910,5352478,6402418
1128151,1131783,1161179,1157885,1290708,1361030,1590447,4686311,6308117
1127981,1120441,1150419,1159451,1305588,1315620,1563246,2789778,5074147
1138450,1121496,1153457,1159193,1255717,1309831,1652017,5717616,3708221
1129647,1127143,1153584,1159734,1294091,1325044,1581989,4631728,9970192
1129012,1133649,1145045,1145233,1248781,1330119,1892068,5364142,6641271
1132179,1127045,1161764,1159020,1274899,1325498,1648459,4720856,6216833
1130798,1141949,1139843,1150399,1266777,1326750,1598688,5317267,4138504
1130365,1121935,1149290,1165872,1273960,1317118,1602410,4744841,9790383
1129734,1128312,1157010,1156702,1242199,1315330,1646634,3557100,6357455
1133867,1128972,1137010,1136514,1293989,1320489,1639442,3053554,6004296
1128659,1129380,1154343,1164272,1260970,1300800,1600101,5375115,5618605
1121553,1136689,1141900,1159120,1305164,1292065,1632878,4629343,3818652
1127818,1127670,1151856,1154808,1260175,1346296,1575648,5289889,9667288
1130442,1125319,1160839,1165957,1292363,1315031,1546745,4093836,6588916
1131242,1128592,1151984,1157070,1245886,1310213,1609432,5957339,9531733
1127001,1120742,1162292,1158802,1285811,1350122,1587743,4729872,6337056
1127235,1141747,1140344,1164298,1247105,1328926,1569111,5866689,4286639
1134455,1123647,1135656,1165799,1289476,1318377,1606034,4757867,10354237
1126634,1128212,1147474,1155372,1239963,1330114,1592366,5474691,6274370
1126657,1123907,1158025,1163676,1293928,1326823,1548944,4699590,9809737
1125105,1128948,1141138,1150345,1267572,1307967,1607643,5410048,6334392
1122802,1125620,1150234,1166344,1290686,1330722,1550459,4651257,3954280
1122979,1131776,1136026,1153275,1268688,1336103,1544679,5334465,9357715
1129830,1121401,1138675,1157381,1304521,1314020,1586029,4634762,6782824
1126383,1124749,1152956,1168731,1273316,1352483,1579877,3183649,9758805
1128995,1124341,1151104,1157507,1282721,1321876,1561878,2632532,6568228
1127987,1127770,1139113,1154775,1262176,1301282,1605859,3532408,9209812
1127076,1130541,1153513,1158617,1294024,1346682,1599872,2614880,6218667
1123420,1141857,1166476,1145220,1268690,1311105,1643903,3522173,9022741
1127798,1127633,1144803,1167588,1271631,1296282,1614013,2402327,6738446
1124018,1125919,1140486,1155919,1287382,1338756,1649302,2091962,5242789
1128414,1127665,1156430,1155401,1292798,1314573,1633702,6421247,5136850
1156132,1124073,1165118,1153298,1244320,1311974,1696770,4753189,9369126
1176869,1136796,1143448,1153555,1293557,1349169,1675808,5088691,6308432
1124244,1124672,1137127,1156105,1245838,1330335,1596162,4735723,9885749
1135345,1122588,1154826,1148712,1305017,1300956,1618611,4642576,6523718
1118638,1128287,1153389,1166263,1273262,1344214,1622837,3289243,6801599
1122545,1123298,1170498,1146724,1274372,1306379,1607878,2651259,10216404
1127065,1131943,1144431,1172638,1245655,1304227,1659335,3636016,6272346
1135916,1120848,1154002,1147629,1287243,1334610,1594009,2688542,9418414
1126513,1131358,1149282,1163769,1238342,1316051,1583176,3592372,6770918
1124086,1125665,1146502,1154468,1288774,1321874,1636093,2585353,9629618
1122434,1133976,1143376,1169945,1249791,1335581,1570714,3628149,6360855
1125108,1130710,1138076,1154061,1293301,1325512,1609819,2639814,9715193
1131003,1129046,1135626,1170365,1254717,1301620,1620399,3436859,6506323
1124706,1125446,1161860,1160076,1281346,1327730,1603911,2529747,9354721
1126190,1130786,1152848,1156376,1273048,1314738,1586493,3615663,6635212
1131759,1125307,1133980,1157970,1308638,1292060,1655986,3026065,9713037
1129065,1126660,1150107,1154302,1266456,1322233,1595960,6053265,6396358
1129861,1124406,1154913,1158180,1289675,1330547,1560926,3713035,9623389
1135380,1125022,1149913,1172221,1244252,1315933,1653534,6038259,6397201
1126498,1124102,1158525,1158518,1279054,1331106,1602499,4654297,6229505
1057880,1132276,1128327,1149343,1240330,1320418,1578308,5425338,6805100
987064,1126949,1138417,1163206,1283036,1310349,1650515,4690403,6362188
986634,1128889,1161051,1151649,1249843,1344595,1589853,3240261,4017764
991606,1133081,1154181,1153758,1273129,1328445,1585974,2652699,9998012
984052,1113459,1145623,1150116,1273150,1302933,1636132,3731429,6215671
988574,1100256,1151272,1157021,1288839,1336742,1599971,2651680,9326648
991260,1123980,1136265,1147451,1291778,1311760,1574667,3641446,5502774
986825,1124950,1150383,1159496,1265795,1301676,1762505,2594199,10048151
990154,1124664,1154088,1153009,1277471,1345720,1587436,3534506,6500052
985589,1122258,1162613,1161708,1282920,1321810,1581489,2624774,9430736
984920,1134257,1138534,1165203,1258918,1318990,1634982,3475386,6229134
982783,1121588,1147278,1152757,1293826,1356549,1590779,2660415,9528452
987880,1129892,1140763,1144755,1274732,1306148,1561416,3515043,6736483
984788,1133801,1160411,1154476,1292488,1301894,1650715,2962982,9615664
986381,1125282,1137684,1161301,1252884,1337437,1641335,5923636,5151743
