x86 inductor b16,x86 inductor b32,x86 inductor b64,x86 inductor b128,x86 inductor b256,x86 inductor b512,x86 inductor b1024,x86 inductor b2048,x86 inductor b4096
8244763506,2060255545,2054046394,2051994176,2016849836,2048500390,2046050834,2061308953,2033238217
2939937,2993686,3449875,2279019,2132069,2506370,3653709,2305709,2497507
2910748,2910380,3370599,2187355,1917471,2001382,2097315,2037750,1787314
2871849,2908900,2788852,2124743,1921746,1919763,1888836,1878029,1538835
2722780,2734923,2789622,2046137,1848712,1841299,1762893,1706759,1509986
2725106,2729456,2695579,2036642,1800797,1830367,1762070,1656372,1507144
2722902,2726773,2633630,1952668,1799334,1711656,1637171,1576241,1426946
2577288,2552219,2646614,1915783,1691790,1652970,1584099,1482323,1579220
2533163,2525813,2522531,1923158,1684714,1646975,1541527,1492005,2266412
2527753,2538651,2517324,1837665,1609915,1587623,1477670,1375366,1544068
2528980,2412419,2537301,1835855,1595018,1556722,1464824,1421263,1748511
2368957,2379421,2404436,1803479,1581653,1512340,1435866,1360707,1501663
2369207,2380762,2403999,1819245,1561400,1476066,2028472,1387347,1634759
2368029,2378587,2398574,1702119,1526004,1448797,1426498,1291842,2281000
2368762,2255429,2303654,1705757,1473446,1403167,1314818,1365076,1557992
2253371,2271818,2316353,1708947,1490313,1305004,1284695,1313233,1462032
2244509,2270765,2299112,1650286,1468482,1261714,1270338,1528702,1409290
2248830,2235332,2199020,1627638,1412464,1250087,1253001,1331953,1638225
2243182,2161383,2208080,1635028,1400316,1221701,1211728,1263338,2533843
2150218,2151202,2197513,1626427,1394679,1215597,1240709,1245674,1559025
2135946,2148919,2114213,1567240,1345474,1206439,1268941,1250243,1500265
2133283,2120395,2107480,1565572,1334023,1178588,1198404,1246818,1409393
2139192,2069796,2097601,1570708,1353236,1182775,1205497,1259041,1566208
2080514,2075504,2116704,1546647,1267263,1122146,1222625,1294172,2263265
2027460,2071635,2032290,1488331,1270344,1132247,1175538,1234577,1548833
2025636,2071083,2029746,1481408,1253765,1097951,1204795,1310235,1436238
2023778,1951054,2031087,1497226,1217156,1099563,1188361,1242022,1720535
2031511,1973604,1960439,1487054,1220965,1076150,1196498,1317761,1615416
1935365,1983286,1958123,1449623,1222124,1086594,1234833,1236600,2246419
1935267,1981012,1954509,1432715,1178847,1071885,1217043,1305959,1527302
1928007,1888214,1714048,1458633,1189464,1025419,1198217,1257403,1572651
1934297,1891996,1562661,1416972,1173098,1026271,1217550,1307539,1475788
1944653,1885965,1551544,1380702,1175096,1042311,1212629,1249086,1697052
1855143,1896278,1559737,1359975,1132425,1041032,1222071,1305733,2361031
1840953,1872663,1352999,1372254,1141753,1025935,1209892,1227018,1552895
1851347,1788723,1202472,1356481,1149691,1034196,1204778,1298886,1732610
1849554,1790246,1206415,1325976,1103133,1019798,1242906,1265759,1524571
1848504,1817547,1191086,1316274,1113642,1016921,1213740,1322897,1674491
1770360,1785067,1203597,1321822,1102071,1034248,1248010,1266811,2310606
1770183,1771772,1204574,1318631,1104035,1015880,1214965,1319389,1549497
1767061,1718889,1214668,1283069,1062052,1024471,1215637,1261907,1462250
1776705,1720614,1196800,1282413,1065036,1026774,1196146,1499065,1411397
1767257,1714054,1195390,1257913,1078684,1027156,1194213,1353744,1772497
1725862,1719626,1207237,1258866,1028602,1023750,1226838,1270441,2299764
1702542,1711780,1204848,1259003,1023288,1038158,1198290,1258221,1538514
1703270,1654463,1183767,1213357,1045412,1032773,1199495,1310407,1521147
1699481,1654668,1192816,1212564,1033151,1021584,1214746,1264446,1443775
1694935,1650400,1170056,1205907,1026713,1027086,1233683,1320153,1594588
1680892,1648365,1179731,1222760,1011712,1042263,1213910,1251502,2316519
1629725,1656118,1180960,1217445,1039578,1036578,1205414,1307895,1614926
1628546,1591835,1182266,1177099,1020342,1035927,1220894,1236767,1751501
1640225,1586696,1179795,1168694,1000976,1045606,1223302,1296545,1491022
1639985,1593221,1169395,1174481,1018065,1025745,1213100,1259975,1672983
1633401,1588394,1165306,1168101,1012079,1043386,1193694,1335227,2289184
1603023,1588553,1169559,1189713,1006457,1030879,1189640,1271111,1548793
1578038,1560168,1172988,1129562,1010860,1060778,1214718,1302700,1582995
1577417,1535170,1163738,1132848,1009742,1055390,1230928,1244971,1430057
1573215,1532821,1173248,1134032,1007547,1037289,1183373,1311269,1642408
1572164,1536489,1170436,1133063,1000844,1032894,1199506,1231845,2454633
1577669,1536983,1172722,1133032,1024983,1054105,1177570,1324018,1550878
1560392,1543936,1157025,1102974,1010912,1020662,1207013,1262475,1478210
1528361,1488742,1187992,1102655,1012282,1038696,1188222,1335912,1377525
1518485,1489821,1149953,1114161,1013273,1043060,1213607,1270179,1646592
1522401,1488011,1170327,1109024,1003861,1021167,1200806,1337875,2266036
1526707,1489387,1170064,1101723,1029369,1029874,1240629,1274895,1555567
1525868,1488711,1183863,1095729,1007061,1037550,1236011,1309072,1428223
1517595,1480535,1157312,1075896,1014700,1044558,1216933,1454311,1454296
1466965,1437542,1480470,1072310,1005635,1026813,1219218,1397699,1765809
1467924,1436723,1258507,1085614,1008899,1043057,1187108,1240106,2292101
1476045,1440210,1247019,1088013,1008924,1038552,1225718,1260101,1534051
1468117,1441156,1243600,1081455,1028422,1018308,1196508,1291183,1458207
1472442,1438874,1220953,1076102,1012156,1026443,1234376,1285203,1431592
1482146,1415023,1205014,1073358,1020784,1016232,1235832,1341219,1636062
1428527,1393718,1193174,1089016,1005459,1039694,1206181,1252502,2325921
1424054,1392894,1053340,1085562,1010705,1034960,1206316,1297542,1825234
1426363,1397203,1052865,1087697,1015269,1027234,1205198,1268429,1764415
1428447,1397857,1026930,1088044,1008716,1028688,1238147,1300949,1445583
1426767,1391228,1040460,1079920,1023211,1032264,1193384,1246366,1600862
1420951,1384962,1061116,1076514,1008954,1037062,1194254,1330496,2381877
1398495,1362456,1055513,1093785,1005274,1032659,1222459,1253151,1527512
1378190,1354373,1059522,1080548,1028334,1038760,1207171,1303670,1481004
1381138,1346501,1063879,1070220,1020872,1029342,1229785,1269146,1503541
1381031,1349498,1055282,1089188,1010917,1026013,1213547,1297049,1779700
1377685,1356789,1085927,1079301,1033413,1033661,1203525,1225923,2235037
1382614,1350181,1035156,1100376,1004574,1020110,1186611,1315417,1516935
1376030,1337652,1066743,1085381,1001923,1020458,1237439,1270618,1444460
1359545,1318415,1066574,1094130,1017143,1042293,1203481,1309990,1414174
1337116,1325992,1109649,1078816,1012494,1023942,1244034,1219605,1686714
1333685,1320868,1609817,1080664,1012915,1019199,1191947,1297725,2167180
1341087,1320515,1585153,1082639,1013065,1030973,1236260,1286450,1534620
1340370,1321781,1555849,1079794,1008852,1033187,1207677,1311850,1769669
1338415,1323449,1564168,1093048,1013493,1021434,1240418,1439368,1490380
1336133,1284799,1557890,1091327,1027912,1035700,1203784,1402938,2111390
1322151,1287242,1557908,1079844,996425,1035245,1191636,1277153,2558270
1306038,1283673,1548627,1088157,1010836,1025931,1224453,1230847,1606792
1305134,1287698,1550580,1079277,1017010,1032860,1188226,1277853,1505653
1305306,1288761,1548184,1084230,1018399,1032248,1224562,1235626,1485583
1307147,1285742,1553440,1094626,1042918,1024730,1228799,1348766,4919655
1313442,1274598,1521253,1107513,1023627,1032052,1226184,1228076,2596211
1304579,1247801,1553182,1107121,1008450,1041140,1191921,1374678,1778962
1291417,1248340,1556219,1095824,1008393,1021802,1203145,1262738,1644077
1271739,1257794,1560049,1092760,1007820,1044897,1334612,1318093,1559475
1274444,1250223,1204000,1111443,1018008,1020814,1065052,1265516,1662592
1269131,1254187,1053057,1077169,1009958,1032122,1013045,1292967,2701951
1274134,1249954,1037670,1071244,1020481,1035404,1021637,1266364,1546389
1272456,1220271,1065372,1069517,1003914,1061298,993348,1337194,1655708
1277552,1204982,1059410,1074969,1013862,1016936,998104,1272237,1793598
1270106,1202494,1058792,1083707,1008966,1034885,1032724,1339590,2861038
1236437,1207858,1027456,1074074,1014457,1037617,1022588,1241681,1645764
1234009,1203228,1043930,1074457,1005362,1033761,997241,1327276,1669935
1237713,1206850,1059103,1071944,1018711,1034381,971635,1240515,2271488
1237263,1203117,1058884,1073854,1007979,1022377,999917,1308268,2636578
1235843,1189315,1071648,1080971,1005551,1047917,989164,1256572,3562007
1236013,1153705,1080548,1077709,1010939,1034997,1012543,1322909,2477341
1236510,1159984,1058966,1077741,1004237,1029002,1015595,1245265,2127192
1232569,1155601,1061920,1095113,1013026,1018041,999661,1320383,1796637
1190998,1158329,1072442,1076836,1003007,1026595,1004830,1282667,1739715
1189630,1153739,1063703,1088616,1028413,1039514,1063671,1285241,2929808
1189064,1155817,1049753,1084987,1021985,1028841,1051338,1440430,2286465
1190217,1165739,1073325,1076656,1013802,1038557,1044993,1308736,2017760
1193183,1156676,1047964,1071901,1017412,1027562,1121124,1241590,1832983
1187128,1153100,1073357,1082846,1004874,1040322,1081921,1261686,1892759
1190564,1155746,1072293,1083922,1008947,1053371,1142860,1216722,3043373
1153901,1152256,1242367,1084802,1022335,1031074,1083548,1295775,1716940
1138371,1150703,1038390,1086786,1003576,1039419,1140399,1244342,1542401
1135151,1153661,1067234,1098109,1025937,1056123,1074864,1312317,1539186
1136342,1152703,1070854,1088941,997558,1029146,1101967,1275789,1627860
1136112,1149275,1065325,1076405,1008772,1034352,1110049,1327641,2701021
1145616,1152504,1058284,1081598,998404,1029407,1092336,1284322,1513372
1136706,1150693,1057228,1065198,1008852,1024362,1106367,1318213,1578041
